address	name	signature	status
0x00428110	CUnitAI__UpdateActivationStateAndSpawnPickup	void __fastcall CUnitAI__UpdateActivationStateAndSpawnPickup(void * param_1)	OK
0x00428800	CUnitAI__HandleTriggerEventAndMoveToOffset	int __fastcall CUnitAI__HandleTriggerEventAndMoveToOffset(void * param_1)	OK
0x00438050	CUnitAI__SetOwnedDebugString	void __thiscall CUnitAI__SetOwnedDebugString(void * this, int param_1, void * param_2)	OK
0x00489040	CUnitAI__TryPlayActivateAnimation	int __fastcall CUnitAI__TryPlayActivateAnimation(void * param_1)	OK
0x004b7b70	CUnitAI__ResetField2C0	void __fastcall CUnitAI__ResetField2C0(int param_1)	OK
0x004c0150	CUnitAI__ComposeTransformFromOffset	void __stdcall CUnitAI__ComposeTransformFromOffset(int param_1, void * param_2, int param_3)	OK
0x004c7d90	Vec3__CopyXYZ	void __thiscall Vec3__CopyXYZ(void * this, void * param_1, void * param_2)	OK
0x004cab30	Color32__LerpArgb	int __cdecl Color32__LerpArgb(uint param_1, uint param_2, float param_3)	OK
0x004cac40	Math__InvLerpClamp01	double __cdecl Math__InvLerpClamp01(float param_1, float param_2, float param_3)	OK
0x004d1f10	CUnitAI__Hit_CheckFatalDamageAndDie	void __thiscall CUnitAI__Hit_CheckFatalDamageAndDie(void * this, void * param_1, void * param_2, int param_3)	OK
0x004d1fd0	CExplosionInitThing__PlayWingCloseAnimationOnce	void __fastcall CExplosionInitThing__PlayWingCloseAnimationOnce(void * param_1)	OK
0x004e6ff0	CSquadNormal__SyncFromLeaderUnit	void __thiscall CSquadNormal__SyncFromLeaderUnit(void * this, int param_1, void * param_2)	OK
0x004e7110	CSquadNormal__Process	int __thiscall CSquadNormal__Process(void * this, void * param_1, void * param_2)	OK
0x004e7cf0	CSquadNormal__UpdateFormationAdvanceScale	int __fastcall CSquadNormal__UpdateFormationAdvanceScale(int param_1)	OK
0x004e7f40	CSquadNormal__IsLeaderNearFormationCentroid	int __fastcall CSquadNormal__IsLeaderNearFormationCentroid(int param_1)	OK
0x004e8100	CSquadNormal__ScheduleTargetReaderRefresh	void __fastcall CSquadNormal__ScheduleTargetReaderRefresh(void * param_1)	OK
0x004e81d0	CSquadNormal__EvaluateLeaderTargetPursuitMode	int __fastcall CSquadNormal__EvaluateLeaderTargetPursuitMode(void * param_1)	OK
0x004e83b0	CSquadNormal__PruneDeadMembersAndReschedule	void __thiscall CSquadNormal__PruneDeadMembersAndReschedule(void * this, void * param_1, float param_2)	OK
0x004e84e0	CSquadNormal__ResolveFormationSlotConflicts	int __fastcall CSquadNormal__ResolveFormationSlotConflicts(int param_1)	OK
0x004e8730	CSquadNormal__BuildColumnFormation	void __fastcall CSquadNormal__BuildColumnFormation(void * param_1)	OK
0x004e8930	CSquadNormal__BuildAttackFormation	void __fastcall CSquadNormal__BuildAttackFormation(void * param_1)	OK
0x004e8dd0	CSquadNormal__ShouldSwitchToAttackFormation	int __fastcall CSquadNormal__ShouldSwitchToAttackFormation(void * param_1)	OK
0x004e8f80	CSquadNormal__TryMergeWithNearbySquad	void __thiscall CSquadNormal__TryMergeWithNearbySquad(void * this, void * param_1, int param_2)	OK
