address	name	owners	xref_count
0x0048f1e0	CUnitAI__Unk_0048f1e0	CDXPatchManager	3
0x0048f2f0	CUnitAI__Unk_0048f2f0	CDXLandscape	1
0x0048f620	CUnitAI__Unk_0048f620	CDXEngine	1
0x00490280	CUnitAI__Unk_00490280	CEngine	1
0x004905f0	CUnitAI__Unk_004905f0	CDXEngine	1
0x00490e30	CUnitAI__Unk_00490e30	CGame	1
0x00490f10	CUnitAI__Unk_00490f10	CGame	1
0x00490f50	CUnitAI__Unk_00490f50	CWorld	1
0x00491060	CUnitAI__Unk_00491060	CResourceAccumulator	1
0x00496250	CUnitAI__Unk_00496250	CMeshPart	1
0x00496270	CUnitAI__Unk_00496270	CMeshPart	2
0x00496910	CUnitAI__Unk_00496910	CMeshPart	2
0x00496f60	CUnitAI__Unk_00496f60	CMeshPart	5
0x0049f670	CUnitAI__Unk_0049f670	CMeshPart	2
0x004a1390	CUnitAI__Unk_004a1390	CDXEngine	4
0x004b5250	CUnitAI__Unk_004b5250	CDXEngine	6
0x004b52a0	CUnitAI__Unk_004b52a0	CDXEngine	3
0x004b52c0	CUnitAI__Unk_004b52c0	CDXEngine	4
0x004b5e80	CUnitAI__Unk_004b5e80	CSphere	1
0x004b6cd0	CUnitAI__Unk_004b6cd0	COggLoader	1
0x004b7320	CUnitAI__Unk_004b7320	CGame	1
0x004b7d90	CUnitAI__Unk_004b7d90	CGame	1
0x004b82b0	CUnitAI__Unk_004b82b0	CDXEngine	1
0x004b8850	CUnitAI__Unk_004b8850	CDXEngine	1
0x004bc260	CUnitAI__Unk_004bc260	CWorld	3
0x004bffa0	CUnitAI__Unk_004bffa0	CWingmanStart	1
0x004c0000	CUnitAI__Unk_004c0000	CEscapePod	1
0x004c0370	CUnitAI__Unk_004c0370	CParticleDescriptor	1
0x004c0510	CUnitAI__Unk_004c0510	CParticleManager	1
0x004c78d0	CUnitAI__Unk_004c78d0	CEngine	1
0x004d3b10	CUnitAI__Unk_004d3b10	CPolyBucket	1
0x004d6e00	CUnitAI__Unk_004d6e00	CRepairPadAI	1
