address	name	signature
0x0056d4a6	CDXTexture__Helper_0056d4a6	int __cdecl CDXTexture__Helper_0056d4a6(uint param_1, uint param_2, void * param_3)
0x0056db76	CDXTexture__Helper_0056db76	int __cdecl CDXTexture__Helper_0056db76(uint param_1, int param_2)
0x0056e2ee	CDXTexture__Helper_0056e2ee	int __cdecl CDXTexture__Helper_0056e2ee(uint param_1, int param_2)
0x0056e34f	CDXTexture__Helper_0056e34f	int __cdecl CDXTexture__Helper_0056e34f(int param_1, int param_2, int param_3, int param_4, uint param_5)
0x0056e462	CDXTexture__Helper_0056e462	int __cdecl CDXTexture__Helper_0056e462(int param_1, int param_2, int param_3, int param_4, uint param_5)
0x0056e62d	CDXTexture__Helper_0056e62d	int CDXTexture__Helper_0056e62d(void)
0x0056e8aa	CDXTexture__Helper_0056e8aa	int __cdecl CDXTexture__Helper_0056e8aa(void * param_1, int param_2)
0x0056e8d5	CDXTexture__Helper_0056e8d5	int __cdecl CDXTexture__Helper_0056e8d5(void * param_1, int param_2)
0x0056ea5c	CDXTexture__Helper_0056ea5c	int __cdecl CDXTexture__Helper_0056ea5c(void * param_1, int param_2)
0x0056eab4	CDXTexture__Helper_0056eab4	int __cdecl CDXTexture__Helper_0056eab4(void * param_1)
0x0056eb1b	CDXTexture__Helper_0056eb1b	uint * __cdecl CDXTexture__Helper_0056eb1b(void * param_1)
0x00572310	CDXTexture__Helper_00572310	void __stdcall CDXTexture__Helper_00572310(void * param_1, void * param_2)
0x00574476	CDXTexture__Helper_00574476	int __stdcall CDXTexture__Helper_00574476(int param_1)
0x00574492	CDXTexture__Helper_00574492	int CDXTexture__Helper_00574492(void)
0x00574abb	CDXTexture__Helper_00574abb	void __stdcall CDXTexture__Helper_00574abb(int param_1, int param_2, int param_3, void * param_4)
0x00574ae5	CDXTexture__Helper_00574ae5	int CDXTexture__Helper_00574ae5(void)
0x00574b9d	CDXTexture__Helper_00574b9d	int CDXTexture__Helper_00574b9d(void)
0x0057516c	CDXTexture__Helper_0057516c	int CDXTexture__Helper_0057516c(void)
0x005758e6	CDXTexture__Helper_005758e6	void CDXTexture__Helper_005758e6(void)
0x00575923	CDXTexture__Helper_00575923	int __stdcall CDXTexture__Helper_00575923(void * param_1, void * param_2)
0x005759c3	CDXTexture__Helper_005759c3	void CDXTexture__Helper_005759c3(void)
0x00575a65	CDXTexture__Helper_00575a65	void CDXTexture__Helper_00575a65(void)
0x00579ca5	CDXTexture__Helper_00579ca5	void __fastcall CDXTexture__Helper_00579ca5(void * param_1)
0x00579cbe	CDXTexture__Helper_00579cbe	void __fastcall CDXTexture__Helper_00579cbe(int param_1)
0x00579d17	CDXTexture__Helper_00579d17	void * __thiscall CDXTexture__Helper_00579d17(void * this, void * param_1, int param_2)
0x0057bf1f	CDXTexture__Helper_0057bf1f	int __thiscall CDXTexture__Helper_0057bf1f(void * this, void * param_1, void * param_2, void * param_3)
0x0057d47e	CDXTexture__Helper_0057d47e	void CDXTexture__Helper_0057d47e(void)
0x00581e8c	CDXTexture__Helper_00581e8c	int __thiscall CDXTexture__Helper_00581e8c(void * this, int param_1, int param_2)
0x005961d0	CDXTexture__Helper_005961d0	void __stdcall CDXTexture__Helper_005961d0(void * param_1, void * param_2, void * param_3)
0x005962b3	CDXTexture__Helper_005962b3	void __stdcall CDXTexture__Helper_005962b3(void * param_1, void * param_2, void * param_3)
0x0059902a	CDXTexture__Helper_0059902a	int CDXTexture__Helper_0059902a(void)
0x00599406	CDXTexture__Helper_00599406	int __stdcall CDXTexture__Helper_00599406(void * param_1, void * param_2, void * param_3, void * param_4)
0x005994c4	CDXTexture__Helper_005994c4	int CDXTexture__Helper_005994c4(void)
0x0059b920	CDXTexture__Helper_0059b920	void __stdcall CDXTexture__Helper_0059b920(int param_1)
0x0059b960	CDXTexture__Helper_0059b960	int __stdcall CDXTexture__Helper_0059b960(void * param_1)
0x0059be70	CDXTexture__Helper_0059be70	int CDXTexture__Helper_0059be70(void)
0x005ab420	CDXTexture__Helper_005ab420	void CDXTexture__Helper_005ab420(void)
0x005ad550	CDXTexture__Helper_005ad550	void __stdcall CDXTexture__Helper_005ad550(int param_1)
