address	old_name	inferred_owner	new_name	xref_count	top_counts
0x0040c630	CGeneralVolume__Unk_0040c630	CDXCompass	CDXCompass__Helper_0040c630	3	CDXCompass:2;CVBufTexture:1
0x0040d120	CGeneralVolume__Unk_0040d120	CMeshCollisionVolume	CMeshCollisionVolume__Helper_0040d120	83	CMeshCollisionVolume:8;CExplosionInitThing:6;CPDSimpleSprite:6;CMeshPart:3;CInterpolatedCamera:2
0x0040d150	CGeneralVolume__Unk_0040d150	CExplosionInitThing	CExplosionInitThing__Helper_0040d150	76	CExplosionInitThing:6;CMCTentacle:4;CMeshCollisionVolume:4;CMeshPart:4;CCylinder:2
0x0040d180	CGeneralVolume__Unk_0040d180	CMeshCollisionVolume	CMeshCollisionVolume__Helper_0040d180	15	CMeshCollisionVolume:11;CPDSimpleSprite:1;CUnitAI:1
0x0040d1f0	CGeneralVolume__Unk_0040d1f0	OID	OID__Helper_0040d1f0	22	OID:2
0x0040d2c0	CGeneralVolume__Unk_0040d2c0	CSquadNormal	CSquadNormal__Helper_0040d2c0	56	CSquadNormal:11;CPDSimpleSprite:7;CDXEngine:5;CMCBuggy:2;CMCTentacle:1
0x0040d320	CGeneralVolume__Unk_0040d320	CMCBuggy	CMCBuggy__Helper_0040d320	64	CMCBuggy:6;CMCMech:5;CMCTentacle:5;CMeshPart:4;OID:3
0x0040d660	CGeneralVolume__Unk_0040d660	CExplosionInitThing	CExplosionInitThing__Helper_0040d660	6	CExplosionInitThing:4;CDXCompass:2
