0x00560cc3 CDXTexture__ProbeFeatureModuloGate
0x005623c7 CRT__UnlockHeap9_SbHeapMsizePath
0x00562442 CRT__UnlockHeap9_DeferredMsizePath
0x00563ad3 CRT__FpuTransDispatch2_ClearStatusAndHandle
0x00563ada CRT__FpuIntDispatch2_Handle
0x00564486 CRT__FmodReduceCore
0x0056468c CRT__FmodCore
0x00564ba5 CRT__UnhandledExceptionFilterDispatch
0x00564fdf CRT__FlushOrCloseAllFileHandles
0x0056585a CRT__ReadIntAndAdvance8
0x0056611f CRT__ReadMainModulePeVersionBytes
0x00567ed0 CRT__SystemTimeToUnixTimestampLocal
0x00568667 CRT__PowSpecialCaseCore
0x00568797 CRT__PowClassifyIntegralExponent
0x005687fc CRT__InitializeFileDescriptorTable
0x00568a51 CRT__UnlockHeap9_SbAllocPath
0x00568ada CRT__UnlockHeap9_DeferredAllocPath
0x00568c4e CRT__StructuredExceptionFilterDispatch
0x005696e9 CRT__AreHigherMaskBitsClear
0x00569732 CRT__PropagateMaskCarryBackward
