0x0056614c CRT__SelectHeapStrategy
0x00566294 CRT__InitializeHeapSubsystem
0x005662f1 CRT__InitSmallBlockHeap
0x00566339 CRT__FindSmallBlockHeapEntryForPtr
0x00569449 CRT__ControlFp
0x0056aff4 CRT__AllocOsHandleSlot
0x0056b117 CRT__SetOsHandle
0x0056b193 CRT__FreeOsHandle
0x0056cbb4 CRT__EnsureTzsetInitialized
0x0056cbe2 CRT__Tzset
