0x005890f1 CDXTexture__CpuHasMmxFeature
0x00589116 CDXTexture__IsMmxEnabledBySystemConfig
0x00589367 CTexture__ReleaseIncludeNodeTreeRecursive
0x005893d1 CTexture__FreeChildIncludeNodeChainRecursive
0x005893e9 CTexture__IncludeNodeChain_scalar_deleting_dtor
0x00589438 CTexture__CleanupIncludeContextRecursive
0x00589689 CTexture__FreeIncludeFileChainRecursive
0x00589cab CTexture__HandleDirective_Include
0x00589e73 CTexture__HandleDirective_Error
