target_addr	target_name	from_addr	from_function_addr	from_function	ref_type
0049bc40	CUnitAI__Unk_0049bc40	0049dece	0049dcd0	CMCTentacle__UpdateSpline	UNCONDITIONAL_CALL
0049bc80	CUnitAI__Unk_0049bc80	004a6bd2	004a5b70	CMesh__Load	UNCONDITIONAL_CALL
0049bc80	CUnitAI__Unk_0049bc80	004a7c4b	004a5b70	CMesh__Load	UNCONDITIONAL_CALL
0049bc80	CUnitAI__Unk_0049bc80	004b45f0	004b4250	CMeshPart__Merge	UNCONDITIONAL_CALL
0049bc80	CUnitAI__Unk_0049bc80	004b47ef	004b4250	CMeshPart__Merge	UNCONDITIONAL_CALL
0049bc80	CUnitAI__Unk_0049bc80	00549bc9	00549570	CMeshRenderer__RenderMeshCore	UNCONDITIONAL_CALL
0049bc80	CUnitAI__Unk_0049bc80	0054a6a2	00549570	CMeshRenderer__RenderMeshCore	UNCONDITIONAL_CALL
0049bc80	CUnitAI__Unk_0049bc80	0049ae22	00499e30	CMCMech__UpdateBone	UNCONDITIONAL_CALL
0049bc80	CUnitAI__Unk_0049bc80	0049b008	00499e30	CMCMech__UpdateBone	UNCONDITIONAL_CALL
0049bc80	CUnitAI__Unk_0049bc80	004edb50	004ec2f0	CStaticShadows__BuildShadowMaps	UNCONDITIONAL_CALL
0049bc80	CUnitAI__Unk_0049bc80	0049c0fe	<none>	<no_function>	UNCONDITIONAL_CALL
0049bc80	CUnitAI__Unk_0049bc80	0049c170	<none>	<no_function>	UNCONDITIONAL_CALL
0049bc80	CUnitAI__Unk_0049bc80	0049ddd6	0049dcd0	CMCTentacle__UpdateSpline	UNCONDITIONAL_CALL
0049bc80	CUnitAI__Unk_0049bc80	0049deb6	0049dcd0	CMCTentacle__UpdateSpline	UNCONDITIONAL_CALL
00451a40	CUnitAI__Unk_00451a40	00450da1	<none>	<no_function>	UNCONDITIONAL_CALL
00451a40	CUnitAI__Unk_00451a40	0045139b	<none>	<no_function>	UNCONDITIONAL_CALL
00451a40	CUnitAI__Unk_00451a40	00451638	<none>	<no_function>	UNCONDITIONAL_CALL
0044adb0	CExplosionInitThing__Unk_0044adb0	00471798	004714c0	FrontendUpdate_CheatChecks	UNCONDITIONAL_CALL
0044adb0	CExplosionInitThing__Unk_0044adb0	004f7ff2	004f7e90	CActor__ctor_like_004f7e90	UNCONDITIONAL_CALL
0044adb0	CExplosionInitThing__Unk_0044adb0	004f8026	004f7e90	CActor__ctor_like_004f7e90	UNCONDITIONAL_CALL
0044adb0	CExplosionInitThing__Unk_0044adb0	004f89c5	004f86d0	CUnit__Init	UNCONDITIONAL_CALL
0044adb0	CExplosionInitThing__Unk_0044adb0	004f8cb0	004f86d0	CUnit__Init	UNCONDITIONAL_CALL
0044adb0	CExplosionInitThing__Unk_0044adb0	004093cb	004081c0	CMonitor__Process	UNCONDITIONAL_CALL
0044adb0	CExplosionInitThing__Unk_0044adb0	004112e9	00410c50	OID_Unk_005078f0__Wrapper_00410c50	UNCONDITIONAL_CALL
0044adb0	CExplosionInitThing__Unk_0044adb0	00536ee5	<none>	<no_function>	UNCONDITIONAL_CALL
0044adb0	CExplosionInitThing__Unk_0044adb0	004060d8	<none>	<no_function>	UNCONDITIONAL_CALL
0044adb0	CExplosionInitThing__Unk_0044adb0	004061ad	<none>	<no_function>	UNCONDITIONAL_CALL
0044adb0	CExplosionInitThing__Unk_0044adb0	004061e1	<none>	<no_function>	UNCONDITIONAL_CALL
0044adb0	CExplosionInitThing__Unk_0044adb0	00415361	<none>	<no_function>	UNCONDITIONAL_CALL
0044adb0	CExplosionInitThing__Unk_0044adb0	0041921b	<none>	<no_function>	UNCONDITIONAL_CALL
0044adb0	CExplosionInitThing__Unk_0044adb0	004193c6	<none>	<no_function>	UNCONDITIONAL_CALL
0044adb0	CExplosionInitThing__Unk_0044adb0	0041956b	<none>	<no_function>	UNCONDITIONAL_CALL
0044adb0	CExplosionInitThing__Unk_0044adb0	00419736	<none>	<no_function>	UNCONDITIONAL_CALL
0044adb0	CExplosionInitThing__Unk_0044adb0	004df20f	<none>	<no_function>	UNCONDITIONAL_CALL
0044adb0	CExplosionInitThing__Unk_0044adb0	004fe4b0	<none>	<no_function>	UNCONDITIONAL_CALL
0044adb0	CExplosionInitThing__Unk_0044adb0	004fe4d0	<none>	<no_function>	UNCONDITIONAL_CALL
00428110	CUnitAI__Unk_00428110	005e4300	<none>	<no_function>	DATA
00428110	CUnitAI__Unk_00428110	005e3e48	<none>	<no_function>	DATA
00428110	CUnitAI__Unk_00428110	004f0b84	<none>	<no_function>	UNCONDITIONAL_CALL
00428800	CUnitAI__Unk_00428800	005e42c0	<none>	<no_function>	DATA
00428800	CUnitAI__Unk_00428800	005e3e08	<none>	<no_function>	DATA
00438050	CUnitAI__Unk_00438050	00437f5f	<none>	<no_function>	UNCONDITIONAL_CALL
