address	old_name	inferred_owner	new_name	xref_count	top_counts
0x0055db0a	CFastVB__Unk_0055db0a	CDXLandscape	CDXLandscape__Helper_0055db0a	49	CDXLandscape:3;CEventManager:2;CMixerMap:2;CRocket:2;CRenderQueue:2
0x0055e14f	CFastVB__Unk_0055e14f	CLIParams	CLIParams__Helper_0055e14f	24	CLIParams:6;CD3DApplication:4;CTokenArchive:3;CConsole:3
0x0055e1c4	CFastVB__Unk_0055e1c4	CConsole	CConsole__Helper_0055e1c4	7	CConsole:6;CTexture:1
0x0055e2a6	CFastVB__Unk_0055e2a6	CSoundManager	CSoundManager__Helper_0055e2a6	20	CSoundManager:5;CTexture:4;CMCMech:3;CDXTexture:2;CMeshPart:1
0x0055e673	CFastVB__Unk_0055e673	CTexture	CTexture__Helper_0055e673	4	CTexture:2;CDXTexture:1
0x00562c76	CFastVB__Unk_00562c76	CTexture	CTexture__Helper_00562c76	11	CTexture:5;CDXEngine:3;CDXTexture:3
0x00563951	CFastVB__Unk_00563951	CTexture	CTexture__Helper_00563951	30	CTexture:10;CDXTexture:6;CMCBuggy:1
0x0056a089	CFastVB__Unk_0056a089	CTexture	CTexture__Helper_0056a089	18	CTexture:15;CDXTexture:3
0x0056eb70	CFastVB__Unk_0056eb70	CDXMeshVB	CDXMeshVB__Helper_0056eb70	3	CDXMeshVB:2;CLandscapeIB:1
0x0056eb80	CFastVB__Unk_0056eb80	CDXMeshVB	CDXMeshVB__Helper_0056eb80	3	CDXMeshVB:2;CLandscapeIB:1
0x0056eb90	CFastVB__Unk_0056eb90	CDXMeshVB	CDXMeshVB__Helper_0056eb90	3	CDXMeshVB:2;CLandscapeIB:1
0x00574270	CFastVB__Unk_00574270	CMeshCollisionVolume	CMeshCollisionVolume__Helper_00574270	8	CMeshCollisionVolume:5;CDXTexture:2
0x00575986	CFastVB__Unk_00575986	CDXTexture	CDXTexture__Helper_00575986	13	CDXTexture:4;CTexture:2
0x0057600b	CFastVB__Unk_0057600b	CVBufTexture	CVBufTexture__Helper_0057600b	7	CVBufTexture:5;CVertexShader:2
0x00576161	CFastVB__Unk_00576154	CDXEngine	CDXEngine__Helper_00576161	8	CDXEngine:4;CDXTexture:1;CTexture:1
0x00576b47	CFastVB__Unk_00576b3a	CVertexShader	CVertexShader__Helper_00576b47	11	CVertexShader:6;CTexture:2;CAtmosphericsProfile:2;CVBufTexture:1
0x00576e0a	CFastVB__Unk_00576e0a	CVertexShader	CVertexShader__Helper_00576e0a	11	CVertexShader:6;CDXEngine:3;CTexture:1
0x00579cbe	CFastVB__Unk_00579cbe	CDXTexture	CDXTexture__Helper_00579cbe	6	CDXTexture:3;CTexture:1
0x0058083d	CFastVB__Unk_0058083d	CDXTexture	CDXTexture__Helper_0058083d	3	CDXTexture:2;CTexture:1
0x00580a00	CFastVB__Unk_0058092d	CDXTexture	CDXTexture__Helper_00580a00	3	CDXTexture:2;CTexture:1
0x00580a05	CFastVB__Unk_00580a05	CDXTexture	CDXTexture__Helper_00580a05	4	CDXTexture:2;CTexture:1
0x00581e8c	CFastVB__Unk_00581e8c	CDXTexture	CDXTexture__Helper_00581e8c	42	CDXTexture:15;CTexture:14
0x0058210e	CFastVB__Unk_0058210e	CTexture	CTexture__Helper_0058210e	41	CTexture:11;CDXTexture:9;CMeshCollisionVolume:1
0x0058926b	CFastVB__Unk_0058926b	CTexture	CTexture__Helper_0058926b	61	CTexture:16;CDXTexture:13;CMeshCollisionVolume:1
0x0058c893	CFastVB__Unk_0058c893	CTexture	CTexture__Helper_0058c893	62	CTexture:57;CMeshCollisionVolume:2;CDXTexture:1
0x00595079	CFastVB__Unk_00595079	CDXTexture	CDXTexture__Helper_00595079	6	CDXTexture:4;CTexture:1;CMeshCollisionVolume:1
0x005b1db0	CFastVB__Unk_005b1db0	CDXTexture	CDXTexture__Helper_005b1db0	4	CDXTexture:3;CTexture:1
0x005bda5e	CFastVB__Unk_005bda5e	CDXTexture	CDXTexture__Helper_005bda5e	7	CDXTexture:4;CTexture:3
