address	current_name	owner	new_name
0x00409950	CGeneralVolume__Unk_00409950	CMonitor	CMonitor__Helper_00409950
0x0040a580	CGeneralVolume__Unk_0040a580	CMonitor	CMonitor__Helper_0040a580
0x0040acc0	CGeneralVolume__Unk_0040acc0	CBattleEngine	CBattleEngine__Helper_0040acc0
0x0040b120	CGeneralVolume__Unk_0040b120	CMonitor	CMonitor__Helper_0040b120
0x0040b6d0	CGeneralVolume__Unk_0040b6d0	CBattleEngine	CBattleEngine__Helper_0040b6d0
0x0040c2e0	CGeneralVolume__Unk_0040c2e0	CEngine	CEngine__Helper_0040c2e0
0x0040c340	CGeneralVolume__Unk_0040c340	CEngine	CEngine__Helper_0040c340
0x0040c3a0	CGeneralVolume__Unk_0040c3a0	CExplosionInitThing	CExplosionInitThing__Helper_0040c3a0
0x0040c3c0	CGeneralVolume__Unk_0040c3c0	CExplosionInitThing	CExplosionInitThing__Helper_0040c3c0
0x0040c460	CGeneralVolume__Unk_0040c460	CExplosionInitThing	CExplosionInitThing__Helper_0040c460
0x0040c480	CGeneralVolume__Unk_0040c480	CExplosionInitThing	CExplosionInitThing__Helper_0040c480
0x0040c4a0	CGeneralVolume__Unk_0040c4a0	CExplosionInitThing	CExplosionInitThing__Helper_0040c4a0
0x0040c550	CGeneralVolume__Unk_0040c550	CExplosionInitThing	CExplosionInitThing__Helper_0040c550
0x0040c590	CGeneralVolume__Unk_0040c590	CExplosionInitThing	CExplosionInitThing__Helper_0040c590
0x0040c5b0	CGeneralVolume__Unk_0040c5b0	CRepairPadAI	CRepairPadAI__Helper_0040c5b0
0x0040c5e0	CGeneralVolume__Unk_0040c5e0	CRepairPadAI	CRepairPadAI__Helper_0040c5e0
0x0040c650	CGeneralVolume__Unk_0040c650	CBattleEngine	CBattleEngine__Helper_0040c650
0x0040d0f0	CGeneralVolume__Unk_0040d0f0	CEngine	CEngine__Helper_0040d0f0
0x0040d1a0	CGeneralVolume__Unk_0040d1a0	CMonitor	CMonitor__Helper_0040d1a0
0x0040ef20	CGeneralVolume__Unk_0040ef20	CMonitor	CMonitor__Helper_0040ef20
