address	name	xref_count	owners	top_counts	unambiguous_non_cfastvb
0x0055d90b	CFastVB__Unk_0055d90b	2	CDXTexture,CFastVB	CDXTexture:1;CFastVB:1	false
0x0055db0a	CFastVB__Unk_0055db0a	49	CAnimal,CBattleEngine,CCockpit,CDXEngine,CDXLandscape,CDXMeshVB,CDXPatchManager,CDXSurf,CDebris,CEscapePod,CEventManager,CFEPDebriefing,CFEPMultiplayerStart,CFastVB_Unk_0055db0a,CFeature,CInfluenceMap,CLandscapeIB,CMapWho,CMesh,CMissile,CMixerMap,CParticleManager,CRenderQueue,CRocket,CShell,CStaticShadows,CTexture,CUnit,CWeapon	CDXLandscape:2;CDXMeshVB:2;CEventManager:2;CMixerMap:2;CRenderQueue:2;CRocket:2;CAnimal:1;CBattleEngine:1	false
0x0055db72	CFastVB__Unk_0055db72	1	CFastVB	CFastVB:1	false
0x0055de6f	CFastVB__Unk_0055de6f	2	CDXTexture	CDXTexture:2	true
0x0055de78	CFastVB__Unk_0055de78	2	CDXTexture	CDXTexture:2	true
0x0055e14f	CFastVB__Unk_0055e14f	24	CConsole,CD3DApplication,CLIParams,CTokenArchive,con_map	CLIParams:6;CD3DApplication:4;CConsole:3;CTokenArchive:3;con_map:1	false
0x0055e183	CFastVB__Unk_0055e183	24	CGame,CLIParams,CTexture,CWorldPhysicsManager	CTexture:21;CGame:1;CLIParams:1;CWorldPhysicsManager:1	false
0x0055e1c4	CFastVB__Unk_0055e1c4	7	CConsole,CTexture	CConsole:6;CTexture:1	false
0x0055e21b	CFastVB__Unk_0055e21b	5	CFastVB,CTexture	CTexture:3;CFastVB:1	false
0x0055e2a6	CFastVB__Unk_0055e2a6	20	CConsole,CDXTexture,CFastVB,CMCBuggy,CMCMech,CMCTentacle,CMeshPart,CSoundManager,CTexture,con_map	CSoundManager:5;CFastVB:3;CMCMech:3;CTexture:2;CConsole:1;CDXTexture:1;CMCBuggy:1;CMCTentacle:1	false
0x0055e45f	CFastVB__Unk_0055e45f	1	fopen	fopen:1	false
0x0055e673	CFastVB__Unk_0055e673	4	CFastVB,CTexture	CFastVB:2;CTexture:1	false
0x0055f506	CFastVB__Unk_0055f506	1	fread	fread:1	false
0x0055f5ee	CFastVB__Unk_0055f5ee	3	EnumerateSaveFiles_1,EnumerateSaveFiles_2,EnumerateSaveFiles_Main	EnumerateSaveFiles_1:1;EnumerateSaveFiles_2:1;EnumerateSaveFiles_Main:1	false
0x0055f6bb	CFastVB__Unk_0055f6bb	12	EnumerateSaveFiles_1,EnumerateSaveFiles_2,EnumerateSaveFiles_Main	EnumerateSaveFiles_1:4;EnumerateSaveFiles_2:4;EnumerateSaveFiles_Main:4	false
0x0055fe26	CFastVB__Unk_0055fe26	7	CDXTexture,fclose,fprintf,fread,fwrite	CDXTexture:3;fclose:1;fprintf:1;fread:1;fwrite:1	false
0x0055fe55	CFastVB__Unk_0055fe55	3	CDXTexture,CFastVB,CTexture	CDXTexture:1;CFastVB:1;CTexture:1	false
0x00560520	CFastVB__Unk_00560520	1	CDXTexture	CDXTexture:1	true
0x005605ca	CFastVB__Unk_005605ca	1	CDXTexture	CDXTexture:1	true
0x00560e28	CFastVB__Unk_00560e28	1			false
0x00560e89	CFastVB__Unk_00560e89	2	CFastVB	CFastVB:2	false
0x00560f4b	CFastVB__Unk_00560f4b	1			false
0x00560fa0	CFastVB__Unk_00560fa0	2	CFastVB	CFastVB:2	false
0x00561047	CFastVB__Unk_00561047	1			false
0x00561679	CFastVB__Unk_00561679	1	CDXTexture	CDXTexture:1	true
0x00561834	CFastVB__Unk_00561834	6	CDXTexture,CFastVB,fprintf,sprintf,vsprintf	CDXTexture:2;CFastVB:1;fprintf:1;sprintf:1;vsprintf:1	false
0x00561f75	CFastVB__Unk_00561f75	4	CFastVB	CFastVB:4	false
0x00561faa	CFastVB__Unk_00561faa	3	CFastVB	CFastVB:3	false
0x00561fdb	CFastVB__Unk_00561fdb	3	CFastVB	CFastVB:3	false
0x00562ab1	CFastVB__Unk_00562ab1	1	CTexture	CTexture:1	true
0x00562b15	CFastVB__Unk_00562b15	2	CFastVB	CFastVB:2	false
0x00562b3e	CFastVB__Unk_00562b3e	3	CDXTexture,CTexture	CTexture:2;CDXTexture:1	false
0x00562b98	CFastVB__Unk_00562b98	1	CTexture	CTexture:1	true
0x00562c59	CFastVB__Unk_00562c59	1	CDXTexture	CDXTexture:1	true
0x00562c67	CFastVB__Unk_00562c67	1	CDXTexture	CDXTexture:1	true
0x00562c76	CFastVB__Unk_00562c76	11	CDXTexture,CTexture	CTexture:8;CDXTexture:3	false
0x00563951	CFastVB__Unk_00563951	30	CDXTexture,CFastVB,CTexture	CDXTexture:14;CFastVB:10;CTexture:6	false
0x00565d9c	CFastVB__Unk_00565d9c	4	CFastVB,CTexture	CFastVB:2;CTexture:2	false
0x00565dc1	CFastVB__Unk_00565dc1	1	CTexture	CTexture:1	true
0x00565e8d	CFastVB__Unk_00565e8d	1	CTexture	CTexture:1	true
0x00565ee0	CFastVB__Unk_00565ee0	8	CDXTexture	CDXTexture:8	true
0x00566104	CFastVB__Unk_00566104	5	CDXTexture,CTexture	CTexture:3;CDXTexture:1	false
0x00568d8c	CFastVB__Unk_00568d8c	1	CDXTexture	CDXTexture:1	true
0x00569788	CFastVB__Unk_00569788	2	CDXTexture	CDXTexture:2	true
0x0056983b	CFastVB__Unk_0056983b	1	CDXTexture	CDXTexture:1	true
0x00569f35	CFastVB__Unk_00569f35	3	CDXTexture	CDXTexture:3	true
0x00569f92	CFastVB__Unk_00569f92	1	CFastVB	CFastVB:1	false
0x0056a05b	CFastVB__Unk_0056a05b	8	CFastVB,CTexture	CFastVB:4;CTexture:4	false
