0x00586bb7 CFastVB__FlushPendingConvertedRows16
0x0058735a CFastVB__StoreDecodedBlockToScratch
0x005873f8 CFastVB__LoadDecodedBlockFromScratch
0x005876ab CTexture__WriteTexelBlockWithQuadCache
0x00587af0 CTexture__ReadTexelBlockWithQuadCache
0x00587daf CFastVB__TexelPackProfile_scalar_deleting_dtor
0x00587dee CFastVB__InitTexelUnpackVTable_005ea264
0x00587e06 CFastVB__InitTexelUnpackVTable_005ea274
0x00587e66 CFastVB__TexelCodecProfile_scalar_deleting_dtor
0x00587e82 CFastVB__CreateTexelUnpackProfileByFormat
