address	name
0x00401000	CGenericActiveReader__SetReader
0x00401040	CMonitor__AddDeletionEvent
0x004011b0	vector_constructor_iterator_nothrow
0x004011e0	CActor__VFunc_09_004011e0
0x004013d0	CActor__ctor_like_004013d0
0x004014c0	CFrontEndPage__ActiveNotification_NoOp
0x004015c0	CActor__VFunc_01_004015c0
0x004015e0	CUnit__Unk_004015e0
0x004019b0	VFuncSlot_21_004019b0
0x004019e0	VFuncSlot_00_004019e0
0x00401b50	CMCMine__ComputeClampedScaleFactor
0x00401be0	VFuncSlot_00_00401be0
0x00401c50	VFuncSlot_01_00401c50
0x00401ec0	Vec3__SetXYZ
0x00401ee0	Vec3__Add
0x00401f10	Mat34__SetRows
0x00401fa0	HeightDelta__Below025_D0
0x00401fd0	HeightDelta__Below015_D4
0x00402000	CUnitAI__Helper_00402000
0x00402010	CUnit__Unk_00402010
0x00402020	CGeneralVolume__Helper_00402020
0x00402030	VFuncSlot_18_00402030
0x00402150	CAirGuide__ctor_like_00402150
0x00402200	CAirGuide__VFunc_01_00402200
0x00402220	CAirGuide__ShutdownAndUnlink
0x004026b0	SQRT__Wrapper_004026b0
0x004026e0	VFuncSlot_00_004026e0
0x004027c0	VFuncSlot_00_004026e0__AcquireNearestTargetReader
0x004028e0	VFuncSlot_00_004026e0__UpdateGroundClearanceCache
0x00402ad0	CAirUnit__Init
0x00402d30	VFuncSlot_02_00402d30
0x00402dd0	CHeightField_Unk_0047eb80__Wrapper_00402dd0
0x00402fa0	CUnit__Unk_00402fa0
0x00403650	CMeshRenderer__Helper_00403650
0x00403690	CUnit__Unk_00403690
0x00403730	CFEPMultiplayerStart__Helper_00403730
0x00403760	CUnitAI__Helper_00403760
0x00403a50	CFrontEndPage__Unk_00403a50
0x00403ba0	CThing__Unk_00403ba0
0x00403bf0	CThing__Unk_00403bf0
0x00403d30	CAnimal__VFunc_09_00403d30
0x00403f40	CResourceDescriptor__ctor
0x00403f80	CResourceDescriptor__dtor
0x00403ff0	CFastVB_Unk_0055db0a__Wrapper_00403ff0
0x00404010	CAtmospheric__Destructor
0x004041f0	CAnimal__VFunc_01_004041f0
0x00404210	CAtmospheric__Unk_00404210
0x004046d0	CAtmospheric__Constructor
0x00404790	CAtmospheric__Unk_00404790
0x00404860	CAtmospheric__Unk_00404860
0x004048c0	CAtmospheric__Unk_004048c0
0x004048f0	CMesh__Helper_004048f0
0x00404920	CAtmospheric__Link
0x00404960	CAtmospheric__Unlink
0x00404a00	Atmospherics__Init
0x00404b90	Atmospherics__ResetAndUpdate
0x00404bd0	Atmospherics__UpdateAll
0x00404bf0	Atmospherics__RenderAll
0x00404c10	Atmospherics__Shutdown
0x00404c90	Atmospherics__NotifyAll
0x00404dd0	CBattleEngine__Init
0x00405930	CControllerDefinition__VFunc_03_00405930
0x00405970	CDXCockpit__VFunc_01_00405970
0x00405990	CCockpit__ctor_like_00424730
0x004059a0	CCylinder__VFunc_01_004059a0
0x00405a10	CMCMech__Destructor
0x00405a20	CRadarWarningReceiver__scalar_deleting_dtor
0x00405a40	CBattleEngine__scalar_deleting_dtor_00405a40
0x00405d80	CParticleManager__RemoveFromGlobalList
0x00405db0	VFuncSlot_12_00405db0
0x00405f60	CBattleEngine__VFunc_01_00405f60
0x00405f80	CBattleEngine__VFunc_02_00405f80
0x00406040	CDXCompass__Helper_00406040
0x004062d0	CSquadNormal__Helper_004062d0
0x004063a0	CBattleEngine__Unk_004063a0
0x004063b0	CBattleEngine__UpdateWeaponEffect
0x00406460	CBattleEngine__Unk_00406460
0x00406560	CBattleEngine__Unk_00406560
0x00406d20	CSPtrSet__First
0x00406d30	CSPtrSet__Next
0x00406d50	SQRT__Wrapper_00406d50
0x00406da0	CBattleEngine__Unk_00406da0
0x00406fc0	CBattleEngine__AddProjectile
0x00407060	CEngine__Helper_00407060
0x00407140	CMonitor__RemoveActiveReaderById
0x00407310	CEngine__Unk_00407310
0x00407540	CGame__UpdateMouseLookAngles
0x00407940	CGeneralVolume__Unk_00407940
0x00407a50	CMonitor__Unk_00407a50
0x004080f0	CGame__IsWalkerGroundedOrCollision
0x00408120	CUnitAI__Unk_00408120
0x00408150	CUnit__Unk_00408150
0x004081c0	CMonitor__Unk_004081c0
0x00409760	LinkedPtrCursor__MoveFirstAndGet
0x00409780	LinkedPtrCursor__MoveNextAndGet
0x004097a0	CUnit__Helper_004097a0
0x00409880	CMonitor__Unk_00409880
0x004098c0	CLine__VFunc_01_004098c0
0x004098e0	CGeneralVolume__ctor_like_004098e0
0x00409950	CMonitor__Helper_00409950
0x00409e60	CGeneralVolume__Unk_00409e60
0x00409e80	CGeneralVolume__Unk_00409e80
0x00409e90	CGeneralVolume__Unk_00409e90
0x00409ec0	CGeneralVolume__Unk_00409ec0
0x00409ef0	CGeneralVolume__Unk_00409ef0
0x00409f20	CGeneralVolume__Unk_00409f20
0x00409f70	CBattleEngine__ChangeWeapon
0x0040a580	CMonitor__Helper_0040a580
0x0040ac50	CGeneralVolume__Unk_0040ac50
0x0040acc0	CBattleEngine__Helper_0040acc0
0x0040b100	CGeneralVolume__ctor_like_0040b100
0x0040b120	CMonitor__Helper_0040b120
0x0040b660	CGeneralVolume__Unk_0040b660
0x0040b6d0	CBattleEngine__Helper_0040b6d0
0x0040bfd0	CBattleEngine__StartDieProcess
0x0040c2e0	CEngine__Helper_0040c2e0
0x0040c340	CEngine__Helper_0040c340
0x0040c3a0	CExplosionInitThing__Helper_0040c3a0
0x0040c3c0	CExplosionInitThing__Helper_0040c3c0
0x0040c460	CExplosionInitThing__Helper_0040c460
0x0040c480	CExplosionInitThing__Helper_0040c480
0x0040c4a0	CExplosionInitThing__Helper_0040c4a0
0x0040c550	CExplosionInitThing__Helper_0040c550
0x0040c570	CGeneralVolume__Unk_0040c570
0x0040c590	CExplosionInitThing__Helper_0040c590
0x0040c5b0	CRepairPadAI__Helper_0040c5b0
0x0040c5e0	CRepairPadAI__Helper_0040c5e0
0x0040c630	CDXCompass__Helper_0040c630
0x0040c640	DebugTrace
0x0040c650	CBattleEngine__Helper_0040c650
0x0040c720	CGeneralVolume__Unk_0040c720
0x0040d0f0	CEngine__Helper_0040d0f0
0x0040d120	CMeshCollisionVolume__Helper_0040d120
0x0040d150	CExplosionInitThing__Helper_0040d150
0x0040d180	CMeshCollisionVolume__Helper_0040d180
0x0040d1a0	CMonitor__Helper_0040d1a0
0x0040d1f0	OID__Helper_0040d1f0
0x0040d2c0	CSquadNormal__Helper_0040d2c0
0x0040d320	CMCBuggy__Helper_0040d320
0x0040d470	CGeneralVolume__ctor_like_0040d470
0x0040d4d0	CGeneralVolume__Unk_0040d4d0
0x0040d5b0	CExplosionInitThing__Helper_0040d5b0
0x0040d5f0	CGeneralVolume__Unk_0040d5f0
0x0040d660	CExplosionInitThing__Helper_0040d660
0x0040d7c0	CExplosionInitThing__Helper_0040d7c0
0x0040da30	CExplosionInitThing__Helper_0040da30
0x0040dc90	CExplosionInitThing__Helper_0040dc90
0x0040dcb0	CCockpit__Unk_0040dcb0
0x0040dcc0	CGeneralVolume_Unk_0040a580__Wrapper_0040dcc0
0x0040dce0	CBattleEngine__HostileEnvironment
0x0040dda0	CUnitAI_Unk_0044c720__Wrapper_0040dda0
0x0040de40	CMonitor__Unk_0040de40
0x0040dfb0	CGeneralVolume__Unk_0040dfb0
0x0040e1b0	VFuncSlot_00_0040e1b0
0x0040e280	DXMemBuffer_ReadBytes__Wrapper_0040e280
0x0040e840	CMonitor__Unk_0040e840
0x0040e860	CGeneralVolume__Unk_0040e860
0x0040e8e0	CUnit__Unk_0040e8e0
0x0040e910	CUnit__Unk_0040e910
0x0040e940	CMonitor__Unk_0040e940
0x0040eb50	CMonitor__Unk_0040eb50
0x0040ebf0	CMonitor__Unk_0040ebf0
0x0040eeb0	CUnit__Unk_0040eeb0
0x0040ef20	CMonitor__Helper_0040ef20
0x0040f110	CEngine__Helper_0040f110
0x0040f140	OID_FreeObject__Wrapper_0040f140
0x0040f180	BattleEngineConfigurations__Load
0x0040f260	BattleEngineConfigurations__Skip
0x0040f2f0	CCockpit__Unk_0040f2f0
0x0040f520	CSPtrSet_Init__Wrapper_0040f520
0x0040f590	CBattleEngineDataManager__Init
0x0040f890	CBattleEngineDataManager__Clear
0x0040f980	CBattleEngineDataManager__Load
0x00410210	CBattleEngine__Helper_00410210
0x004102a0	CBattleEngine__Unk_004102a0
0x00410310	CGeneralVolume__Unk_00410310
0x00410490	CGeneralVolume__Unk_00410490
0x00410670	CGeneralVolume_Unk_00409e60__Wrapper_00410670
0x00410740	CGeneralVolume__Unk_00410740
0x004109d0	CGeneralVolume__Unk_004109d0
0x00410c50	OID_Unk_005078f0__Wrapper_00410c50
0x004114d0	CGeneralVolume__Unk_004114d0
0x00411500	CMonitor__ApplyHostileEnvironmentPenalty
0x00411630	CMonitor__Unk_00411630
0x00411a60	Vec3__Cross
0x00411aa0	CMonitor__Unk_00411aa0
0x00411b70	CGeneralVolume__Unk_00411b70
0x00411b90	CEngine_Unk_00506010__Wrapper_00411b90
0x00411bf0	CEngine_Unk_0050a080__Wrapper_00411bf0
0x00411e70	CCockpit__Unk_00411e70
0x00412000	CMonitor__Unk_00412000
0x00412050	CEngine__Helper_00412050
0x004121b0	CGeneralVolume__Unk_004121b0
0x00412240	ROUND__Wrapper_00412240
0x004122b0	CGeneralVolume__Unk_004122b0
0x00412310	CGeneralVolume__Unk_00412310
0x00412370	CGeneralVolume__Unk_00412370
0x00412420	CText_GetStringById__Wrapper_00412420
0x00412480	CGeneralVolume__Unk_00412480
0x004124d0	CGeneralVolume__Unk_004124d0
0x00412520	CExplosionInitThing__Helper_00412520
0x00412570	CBattleEngine__Unk_00412570
0x00412610	CBattleEngine__Unk_00412610
0x00412650	CSPtrSet_Remove__Wrapper_00412650
0x004127a0	CGeneralVolume__Unk_004127a0
0x00412830	CCockpit_Unk_00411e70__Wrapper_00412830
0x00412900	CMonitor__Unk_00412900
0x004129a0	LinkedObjectList__CountFlag9C
0x00412ad0	ABS__Wrapper_00412ad0
0x00412bc0	CBattleEngine__Helper_00412bc0
0x00412cf0	CCockpit__Unk_00412cf0
0x00412d80	CGeneralVolume__Unk_00412d80
0x00412f70	CGeneralVolume__Unk_00412f70
0x00413160	CGeneralVolume__Unk_00413160
0x00413360	CGeneralVolume__Unk_00413360
0x004135d0	CGeneralVolume__Unk_004135d0
0x004135e0	CGeneralVolume__Unk_004135e0
0x00413660	CGeneralVolume_Unk_00409e60__Wrapper_00413660
0x004136e0	CMonitor__Unk_004136e0
0x00413760	CMonitor__Unk_00413760
0x00413a70	CMonitor__Unk_00413a70
0x00413b90	CCylinder__ResolveSurfaceAlignmentIterative
0x00413cc0	CGeneralVolume__Unk_00413cc0
0x00413cf0	CGeneralVolume__Unk_00413cf0
0x00413eb0	CGeneralVolume__Unk_00413eb0
0x00414010	CMonitor__Unk_00414010
0x00414030	CGeneralVolume__Unk_00414030
0x004140d0	CEngine__Helper_004140d0
0x00414410	CGeneralVolume__Unk_00414410
0x00414470	CGeneralVolume__Unk_00414470
0x004144c0	CGeneralVolume__Unk_004144c0
0x004144f0	CCockpit__Unk_004144f0
0x00414520	CGeneralVolume__Unk_00414520
0x004145a0	CGeneralVolume__Unk_004145a0
0x004145d0	CGeneralVolume__Unk_004145d0
0x004145f0	CGeneralVolume__Unk_004145f0
0x00414610	CExplosionInitThing__Helper_00414610
0x00414630	CBattleEngine__Unk_00414630
0x004146b0	CSPtrSet_Remove__Wrapper_004146b0
0x00414970	CGeneralVolume__Unk_00414970
0x00414a40	CGeneralVolume__Unk_00414a40
0x00414b30	CVBufTexture_Unk_0050a290__Wrapper_00414b30
0x00414b70	LinkedObjectList__CountFlag9C_IncludingExtra
0x00414cb0	CExplosionInitThing__Unk_00414cb0
0x00414e50	CBoat__Init
0x00414fa0	CBoatAI__VFunc_01_00414fa0
0x00414fc0	CUnitAI__ctor_like_00414fc0
0x00415060	CUnitAI__VFunc_01_00415060
0x00415080	CUnitAI__ctor_like_00415080
0x00415140	CUnitAI__Unk_00415140
0x00415780	CUnitAI__Unk_00415780
0x004157c0	CUnitAI__Unk_004157c0
0x00415970	CUnitAI__Unk_00415970
0x00415a50	CUnitAI__Unk_00415a50
0x00415d70	CBoatGuide__ctor_like_00415d70
0x004161a0	CBomberAI__VFunc_01_004161a0
0x004161c0	CUnitAI__ctor_like_004161c0
0x00416260	CBomberGuide__VFunc_01_00416260
0x00416280	CBomberGuide__Helper_00416280
0x00416d10	CBSpline__ctor
0x00416da0	CBSpline__dtor
0x00416e30	CBSpline__BasisFunction
0x00416fc0	CBSpline__GetPoint
0x00417390	CBuilding__CreateRepairPadAI
0x00417480	CRepairPadAI__VFunc_01_00417480
0x004174a0	CUnitAI__ctor_like_004174a0
0x00417540	CThing__Unk_00417540
0x00417590	CBuilding__ctor_like_00417590
0x004176a0	CBuilding__VFunc_01_004176a0
0x004176c0	CThing__Unk_004176c0
0x00417870	VFuncSlot_02_00417870
0x004178a0	CUnit__Unk_004178a0
0x00418090	FindAnimationIndex__Wrapper_00418090
0x00418120	CCockpit__Unk_00418120
0x004183d0	CByteSprite__dtor_base
0x00418430	CByteSprite__scalar_deleting_dtor
0x00418450	CByteSprite__vfunc_stub
0x00418470	CByteSprite__Init
0x00418480	CByteSprite__Free
0x004184c0	CByteSprite__Load
0x00418720	CByteSprite__SetTarget
0x00418750	CByteSprite__DrawRLE_NoClip
0x004187e0	CByteSprite__DrawRLE_ClipLeft
0x00418880	CByteSprite__DrawRLE_ClipRight
0x00418920	CByteSprite__DrawFrame
0x004189f0	CByteSprite__EncodeFrame
0x00418ef0	CThing3rdPersonCamera__ctor
0x00419120	CThing3rdPersonCamera__scalar_deleting_dtor
0x00419140	CThing3rdPersonCamera__dtor
0x004198d0	CPanCamera__ctor
0x00419a20	CMonitor__scalar_deleting_dtor
0x00419a40	CPanCamera__scalar_deleting_dtor
0x00419a60	CPanCamera__dtor
0x00419b00	CPanCamera__Update
0x00419d40	CPanCamera__GetPos
0x00419d70	CPanCamera__GetOrientation
0x00419d90	CPanCamera__GetOldPos
0x00419dc0	CPanCamera__GetOldOrientation
0x00419de0	CPanCamera__HandleEvent
0x00419e00	CViewPointCamera__ctor_like_00419e00
0x0041a200	CMovieCamera__GetShowHUD
0x0041a210	CMovieCamera__ctor
0x0041a370	CMovieCamera__scalar_deleting_dtor
0x0041a390	CMovieCamera__dtor
0x0041a3f0	CMovieCamera__GetPos
0x0041a530	CMovieCamera__GetOrientation
0x0041a630	CMovieCamera__GetZoom
0x0041a6e0	CMovieCamera__GetOldZoom
0x0041a6f0	CMovieCamera__GetOldOrientation
0x0041a710	CMovieCamera__GetOldPos
0x0041a740	CControllableCamera__ctor
0x0041a890	CControllableCamera__scalar_deleting_dtor
0x0041a8b0	CControllableCamera__dtor
0x0041ad10	CMCTentacle__Helper_0041ad10
0x0041ad30	CInterpolatedCamera__ctor
0x0041b070	CCamera__GetAspectRatio
0x0041b1a0	CCannon__Init
0x0041b370	CCannon__UpdateState
0x0041b450	CCannon__Destructor
0x0041b470	CCannon__SetState
0x0041b540	CCannon__GetMidpoint
0x0041b590	CCannon__CanFire
0x0041b6a0	CCareer__StaticInitDefaults
0x0041b740	CCareerNode__Blank
0x0041b770	CCareerNode__SetBaseThingExistTo
0x0041b7b0	CCareer__GetLevelStructure
0x0041b7c0	CCareer__Blank
0x0041b8f0	CCareer__GetNodeFromWorld
0x0041b940	CCareerNode__GetChildLinks
0x0041b9f0	CCareerNode__GetParentLinks
0x0041bb20	CCareer__DoesBaseThingExist
0x0041bbb0	CCareer__IsWorldLater
0x0041bc60	CCareer__Later
0x0041bd00	CCareer__Update
0x0041bdf0	CCareer__ReCalcLinks
0x0041c180	CCareer__UpdateThingsKilled
0x0041c240	TOTAL_S_GRADES
0x0041c330	CCareer__GetGradeForWorld
0x0041c450	CCareer__CountGoodies
0x0041c470	CCareer__UpdateGoodieStates
0x00420ab0	CGrade__ctor_char
0x00420ac0	CGrade__operator_gte
0x00420af0	CCareer__GetNode
0x00420b10	OptionsTail_Write
0x00420cd0	CCareer__GetSlotRecordPtr
0x00420d10	CCareer__PackLevelSummaryBits
0x00420d70	OptionsTail_Read
0x00421200	CCareer__Load
0x00421350	CCareer__Save
0x004213c0	CCareer__SaveWithFlag
0x00421430	CCareer__GetSaveSize
0x00421470	CCareer__GetGradeFromRanking
0x004214e0	CCareer__SetSlot
0x00421550	CCareer__GetAndResetGoodieNewCount
0x00421560	CCareer__GetAndResetFirstGoodie
0x00421570	CCareer__IsEpisodeAvailable
0x004218f0	CCareer__GetKillCounterTopByte_23F4
0x00421900	CCareer__GetKillCounterTopByte_23F8
0x00421910	CCareer__SetKillCounterTopByte_23F4
0x00421940	CCareer__SetKillCounterTopByte_23F8
0x00421970	CCareer__NodeArrayAt
0x00421980	CCareer__GetGoodiePtr
0x00421a80	CCarrier__Init
0x00421b80	CCarrierAI__VFunc_01_00421b80
0x00421ba0	CUnitAI__ctor_like_00421ba0
0x00421c40	CUnit__Unk_00421c40
0x00422560	CCarverAI__ScalarDeletingDestructor
0x00422580	CCarverAI__Destructor
0x00422760	CCarverAI__OpenWings
0x004227a0	CCarverAI__CloseWings
0x004227e0	CCarverAI__OnHit
0x00422820	CCarverAI__Fire
0x00422930	CCarverAI__SetLastAttackTime
0x00422940	CCarverAI__IsRecentlyAttacked
0x00422db0	CCarverAI__CheckNearbyEnemies
0x00422f90	CCarverGuide__Constructor
0x00422fb0	CCarverGuide__ScalarDeletingDestructor
0x00422fd0	CCarverGuide__Destructor
0x00423510	CCylinder__AcquireNearestTargetReader
0x00423650	PCPlatform__Helper_00423650
0x00423680	PCPlatform__Helper_00423680
0x00423720	Platform__Helper_00423720
0x004237d0	CChunker__Create
0x00423840	CUnitAI__Unk_00423840
0x00423870	CResourceAccumulator__Helper_00423870
0x004238c0	CUnitAI__Unk_004238c0
0x00423900	CUnitAI__Unk_00423900
0x00423910	CMeshPart__Helper_00423910
0x00423960	CMeshPart__Helper_00423960
0x00423990	CUnitAI__Unk_00423990
0x004239b0	CWorld__Helper_004239b0
0x004239f0	CUnitAI__Unk_004239f0
0x00423bc0	CLIParams__ParseCommandLine
0x004241a0	CFlexArray__InitWithGrowth
0x004241e0	CFlexArray__Clear
0x004241f0	CFlexArray__Add
0x00424260	CFlexArray__InsertAt
0x00424360	CFlexArray__RemoveRange
0x004244b0	CCockpit__ctor_like_004244b0
0x00424710	CCockpit__VFunc_01_00424710
0x00424730	CCockpit__ctor_like_00424730
0x004247a0	CGeneralVolume__Helper_004247a0
0x00424920	CGeneralVolume__Helper_00424920
0x00424990	CGeneralVolume__Helper_00424990
0x00424a20	CUnitAI__Unk_00424a20
0x00424be0	CUnitAI__Unk_00424be0
0x00424ca0	CUnitAI__Unk_00424ca0
0x004250f0	CUnitAI__Unk_004250f0
0x00425760	CUnitAI__Unk_00425760
0x00425a10	CCollisionSeekingInfantryBloke__VFunc_08_00425a10
0x00426150	CCollisionSeekingRound__Init
0x004262e0	CMeshCollisionVolume__VFunc_05_004262e0
0x00426300	CMeshCollisionVolume__VFunc_00_00426300
0x00426320	CSphere__VFunc_01_00426320
0x00426340	VFuncSlot_00_00426340
0x00426360	CCollisionSeekingRound__SetVtable
0x004263f0	CCollisionSeekingRound__Destructor
0x00426460	CCollisionSeekingRound__ScalarDeletingDestructor
0x00426480	CCollisionSeekingRound__SetCollisionMask
0x00426900	CCollisionSeekingRound__CheckCollisionFlags
0x004269b0	CCollisionSeekingRound__InitWithSound
0x00426a40	CCollisionSeekingRound__CreateEffect
0x00426fd0	CFastVB__Helper_00426fd0
0x004270e0	CDXCompass__InitMarkerArrays
0x00427110	CDXCompass__LoadTextures
0x00427190	CDXCompass__DestroyTextures
0x00427200	CDXCompass__Reset
0x00427210	CDXCompass__Render
0x00427b80	CComponent__VFunc_09_00427b80
0x00427cd0	CComponent__CreateSubComponent1
0x00427d50	CComponent__CreateSubComponent2
0x00427dd0	CComponent__CreateWeaponComponent
0x00427f90	CComponentBomberAI__VFunc_01_00427f90
0x00427fb0	CUnitAI__ctor_like_00427fb0
0x00428050	CFenrirMainGunAI__VFunc_01_00428050
0x00428070	CUnitAI__ctor_like_00428070
0x00428110	CUnitAI__Unk_00428110
0x00428500	CUnitAI__Unk_00428500
0x00428710	VFuncSlot_00_00428710
0x00428770	VFuncSlot_01_00428770
0x00428800	CUnitAI__Unk_00428800
0x004289b0	CUnitAI__Unk_004289b0
0x00428b50	CUnit__Helper_00428b50
0x00428bc0	CFrontEndPage__Unk_00428bc0
0x00428c70	CUnitAI__Unk_00428c70
0x00428cb0	CExplosionInitThing__Helper_00428cb0
0x00428cf0	CUnitAI__Unk_00428cf0
0x00428d50	VFuncSlot_22_00428d50
0x00428e80	VFuncSlot_04_00428e80
0x00429bc0	CConsole__Init
0x00429ef0	CConsole__RegisterBuiltinCommands
0x0042a410	CConsole__ResetLayoutForWindowHeight
0x0042a460	CConsole__ListBinds
0x0042a4f0	CConsole__ExecuteBufferedCommandSlot
0x0042a540	CConsoleVar__GetTypeName
0x0042a5f0	CConsoleVar__FormatValueToString
0x0042a770	CConsole__FindCommandByName
0x0042a7b0	CConsole__SetVariableByName
0x0042ad30	CConsole__ExecScript
0x0042ae70	CConsole__ShutdownAndFreeAllLists
0x0042af20	CConsole__ClearCommandAndVariableLists
0x0042af80	CConsole__RegisterCommand
0x0042b040	CConsole__RegisterVariable
0x0042b120	CConsole__HandleBind
0x0042b500	CConsole__Status
0x0042b650	CConsole__StatusUpdateLine
0x0042b800	CConsole__StatusDone
0x0042b840	CConsole__AddString
0x0042b9c0	CConsole__ExecuteCommandLine
0x0042ba90	CConsole__MenuUp
0x0042bac0	CConsole__MenuDown
0x0042bb30	CConsole__MenuSelect
0x0042bbc0	CConsole__SetLoading
0x0042bcf0	CConsole__InitKeyNameTable
0x0042c420	CConsoleMenu__ctor_like_0042c420
0x0042c440	VFuncSlot_05_0042c440
0x0042c750	FatalError__ExitWithLocalizedPrefix_A
0x0042c810	CConsole__RenderLoadingScreen
0x0042cf40	CConsole__SetLoadingRange
