addr	name	present_in_all	still_weak
0x00472570	CGame__DoWeWantMesh	1	0
0x004725f0	CGame__GetPlayerLives	1	0
0x00472650	CGame__IsRunningResources	1	0
0x004815c0	CHud__Reset	1	0
0x00481af0	CHud__PostLoadProcess	1	0
0x00481b00	CHud__ShutDown	1	0
0x0044a0d0	CEngine__SelectViewpoint	1	0
