slot	entry_addr	ptr	ptr_name	ptr_signature
0	005dbf78	004812d0	CHLCollisionDetector__VFunc_00_004812d0	void __thiscall CHLCollisionDetector__VFunc_00_004812d0(void * this, void * param_1, int param_2)
1	005dbf7c	0053f160	VFuncSlot_01_0053f160	void * __thiscall VFuncSlot_01_0053f160(void * this, void * param_1, int param_2)
2	005dbf80	004bacb0	CMonitor__Shutdown_Core	void __fastcall CMonitor__Shutdown_Core(void * this)
3	005dbf84	388637be	<none>	<none>
4	005dbf88	3a0aac97	<none>	<none>
5	005dbf8c	3f59999a	<none>	<none>
6	005dbf90	38400000	<none>	<none>
7	005dbf94	c016cbe4	<none>	<none>
8	005dbf98	4016cbe4	<none>	<none>
9	005dbf9c	3699999a	<none>	<none>
10	005dbfa0	3cea0ea1	<none>	<none>
11	005dbfa4	00614468	<none>	<none>
12	005dbfa8	0048ac70	<none>	<none>
13	005dbfac	0048a4c0	CInfantryGuide__VFunc_01_0048a4c0	void * __thiscall CInfantryGuide__VFunc_01_0048a4c0(void * this, void * param_1, int param_2)
14	005dbfb0	004bacb0	CMonitor__Shutdown_Core	void __fastcall CMonitor__Shutdown_Core(void * this)
15	005dbfb4	0048a570	<none>	<none>
