address	name	xref_count	owners	top_counts	unambiguous_non_cmonitor
0x00407060	CMonitor__Unk_00407060	1	CEngine	CEngine:1	true
0x00407140	CMonitor__Unk_00407140	6	CEngine,CUnit	CEngine:1;CUnit:1	false
0x00407a50	CMonitor__Unk_00407a50	1	CMonitor	CMonitor:1	false
0x004081c0	CMonitor__Unk_004081c0	1			false
0x004097a0	CMonitor__Unk_004097a0	18	CComponent,CEngine,CExplosionInitThing,CMonitor,CParticleDescriptor,CTree,CUnit	CUnit:3;CEngine:2;CExplosionInitThing:2;CComponent:1;CMonitor:1	false
0x00409880	CMonitor__Unk_00409880	1	CMonitor	CMonitor:1	false
0x0040dc90	CMonitor__Unk_0040dc90	1	CExplosionInitThing	CExplosionInitThing:1	true
0x0040dce0	CMonitor__Unk_0040dce0	2	CMonitor	CMonitor:1	false
0x0040de40	CMonitor__Unk_0040de40	1	CMonitor	CMonitor:1	false
0x0040e840	CMonitor__Unk_0040e840	1			false
0x0040e940	CMonitor__Unk_0040e940	1	CMonitor	CMonitor:1	false
0x0040eb50	CMonitor__Unk_0040eb50	1	CMonitor	CMonitor:1	false
0x0040ebf0	CMonitor__Unk_0040ebf0	1	CMonitor	CMonitor:1	false
0x0040f110	CMonitor__Unk_0040f110	6	CGeneralVolume,CMonitor	CMonitor:4;CGeneralVolume:1	false
0x00410210	CMonitor__Unk_00410210	1	CBattleEngine	CBattleEngine:1	true
0x00411500	CMonitor__Unk_00411500	1			false
0x00411630	CMonitor__Unk_00411630	1			false
0x00411aa0	CMonitor__Unk_00411aa0	1			false
0x00412000	CMonitor__Unk_00412000	3	CMonitor	CMonitor:3	false
0x00412050	CMonitor__Unk_00412050	1	CEngine	CEngine:1	true
0x00412520	CMonitor__Unk_00412520	1	CExplosionInitThing	CExplosionInitThing:1	true
0x00412900	CMonitor__Unk_00412900	1	CMonitor	CMonitor:1	false
0x00412bc0	CMonitor__Unk_00412bc0	1	CBattleEngine	CBattleEngine:1	true
0x004136e0	CMonitor__Unk_004136e0	1			false
0x00413760	CMonitor__Unk_00413760	2	CMonitor	CMonitor:2	false
0x00413a70	CMonitor__Unk_00413a70	2	CMonitor	CMonitor:2	false
0x00414010	CMonitor__Unk_00414010	3	CMonitor	CMonitor:3	false
0x004140d0	CMonitor__Unk_004140d0	1	CEngine	CEngine:1	true
0x00414610	CMonitor__Unk_00414610	1	CExplosionInitThing	CExplosionInitThing:1	true
0x0044e2c0	CMonitor__Unk_0044e2c0	1			false
0x00452db0	CMonitor__Unk_00452db0	2	CFEPGoodies	CFEPGoodies:1	true
0x00469400	CMonitor__Unk_00469400	10	CFEPDirectory,CFEPLevelSelect,CFEPMain,CMenuItem,CMenuItemDropdown	CFEPMain:3;CMenuItem:3;CFEPDirectory:1;CFEPLevelSelect:1;CMenuItemDropdown:1	false
0x00472e50	CMonitor__Unk_00472e50	1	CVBufTexture	CVBufTexture:1	true
0x0047d3b0	CMonitor__Unk_0047d3b0	1			false
0x00490220	CMonitor__Unk_00490220	1	CEngine	CEngine:1	true
0x00490780	CMonitor__Unk_00490780	1	CDXEngine	CDXEngine:1	true
0x004a1270	CMonitor__Unk_004a1270	1			false
0x004ef120	CMonitor__Unk_004ef120	1			false
0x005078f0	CMonitor__Unk_005078f0	2	CMonitor	CMonitor:1	false
