address	expected_name	actual_name	status
0x0040d5b0	CExplosionInitThing__Helper_0040d5b0	CExplosionInitThing__Helper_0040d5b0	OK
0x0040d7c0	CExplosionInitThing__Helper_0040d7c0	CExplosionInitThing__Helper_0040d7c0	OK
0x0040da30	CExplosionInitThing__Helper_0040da30	CExplosionInitThing__Helper_0040da30	OK
0x00442380	CSoundManager__Helper_00442380	CSoundManager__Helper_00442380	OK
0x0044a1f0	CResourceAccumulator__Helper_0044a1f0	CResourceAccumulator__Helper_0044a1f0	OK
0x0044a2a0	CResourceAccumulator__Helper_0044a2a0	CResourceAccumulator__Helper_0044a2a0	OK
0x0044a2c0	CResourceAccumulator__Helper_0044a2c0	CResourceAccumulator__Helper_0044a2c0	OK
0x0044a650	CDXEngine__Helper_0044a650	CDXEngine__Helper_0044a650	OK
0x0044dd60	CFrontEnd__Helper_0044dd60	CFrontEnd__Helper_0044dd60	OK
0x00472b40	CDXEngine__Helper_00472b40	CDXEngine__Helper_00472b40	OK
0x00477b70	CVBufTexture__Helper_00477b70	CVBufTexture__Helper_00477b70	OK
0x00479020	CMeshCollisionVolume__Helper_00479020	CMeshCollisionVolume__Helper_00479020	OK
0x00479200	CMeshCollisionVolume__Helper_00479200	CMeshCollisionVolume__Helper_00479200	OK
0x00479630	CMeshCollisionVolume__Helper_00479630	CMeshCollisionVolume__Helper_00479630	OK
0x004857e0	CExplosionInitThing__Helper_004857e0	CExplosionInitThing__Helper_004857e0	OK
0x00485830	CExplosionInitThing__Helper_00485830	CExplosionInitThing__Helper_00485830	OK
0x0048dea0	CDXLandscape__Helper_0048dea0	CDXLandscape__Helper_0048dea0	OK
0x0048dec0	CResourceAccumulator__Helper_0048dec0	CResourceAccumulator__Helper_0048dec0	OK
0x004902b0	CEngine__Helper_004902b0	CEngine__Helper_004902b0	OK
0x004903a0	CDXEngine__Helper_004903a0	CDXEngine__Helper_004903a0	OK
0x004daff0	CFearGrid__Helper_004daff0	CFearGrid__Helper_004daff0	OK
