addr	liveKind	dwordValue	colName	confidence	colAddr	proposedLabel
0x005d87cc	DATA:POINTER	0053f160	.?AVCAnimation@@	HIGH	0x005d87c4	CAnimation__vftable_005d87cc
0x005d87d0	DATA:POINTER	004bacb0	.?AVCAnimation@@	MEDIUM	0x005d87c4	CAnimation__vftable_005d87d0
0x005d8c84	DATA:POINTER	0040e280	.?AVCExplosionInitThing@@	HIGH	0x005d8c7c	CExplosionInitThing__vftable_005d8c84
0x005d9744	DATA:POINTER	0042c460	.?AVCConsoleRootMenu@@	HIGH	0x005d9728	CConsoleRootMenu__vftable_005d9744
0x005dab00	DATA:POINTER	00405930	.?AVCSeekNothing@@	HIGH	0x005daaf8	CSeekNothing__vftable_005dab00
0x005dab0c	DATA:POINTER	004014a0	.?AVCSeekTarget@@	HIGH	0x005dab04	CSeekTarget__vftable_005dab0c
0x005dab18	DATA:POINTER	004059c0	.?AVCSeekTargetOnly@@	HIGH	0x005dab10	CSeekTargetOnly__vftable_005dab18
0x005dab24	DATA:POINTER	0055df1f	.?AVCPhysicsSeekType@@	HIGH	0x005dab1c	CPhysicsSeekType__vftable_005dab24
0x005dab30	DATA:POINTER	0052d990	.?AVCSimpleBuildingBehaviourType@@	HIGH	0x005dab28	CSimpleBuildingBehaviourType__vftable_005dab30
0x005dab3c	DATA:POINTER	0052d950	.?AVCPodBehaviourType@@	HIGH	0x005dab34	CPodBehaviourType__vftable_005dab3c
0x005dab48	DATA:POINTER	0050ffc0	.?AVCFenrirBehaviourType@@	HIGH	0x005dab40	CFenrirBehaviourType__vftable_005dab48
0x005dab54	DATA:POINTER	0052da00	.?AVCWarspiteDomeBehaviourType@@	HIGH	0x005dab4c	CWarspiteDomeBehaviourType__vftable_005dab54
0x005dab60	DATA:POINTER	004df500	.?AVCWarspiteBehaviourType@@	HIGH	0x005dab58	CWarspiteBehaviourType__vftable_005dab60
0x005dab6c	DATA:POINTER	0052dac0	.?AVCSentinelBehaviourType@@	HIGH	0x005dab64	CSentinelBehaviourType__vftable_005dab6c
0x005dab78	DATA:POINTER	0052db10	.?AVCGillMBehaviourType@@	HIGH	0x005dab70	CGillMBehaviourType__vftable_005dab78
0x005dab84	DATA:POINTER	0052db60	.?AVCCarverBehaviourType@@	HIGH	0x005dab7c	CCarverBehaviourType__vftable_005dab84
0x005dab90	DATA:POINTER	00418410	.?AVCThunderHeadBehaviourType@@	HIGH	0x005dab88	CThunderHeadBehaviourType__vftable_005dab90
0x005dab9c	DATA:POINTER	0052dbf0	.?AVCDiveBomberBehaviourType@@	HIGH	0x005dab94	CDiveBomberBehaviourType__vftable_005dab9c
0x005daba8	DATA:POINTER	004ead60	.?AVCSubmarineBehaviourType@@	HIGH	0x005daba0	CSubmarineBehaviourType__vftable_005daba8
0x005dabb4	DATA:POINTER	0052dc80	.?AVCHiveBossBehaviourType@@	HIGH	0x005dabac	CHiveBossBehaviourType__vftable_005dabb4
0x005dabc0	DATA:POINTER	0052dcd0	.?AVCMineBehaviourType@@	HIGH	0x005dabb8	CMineBehaviourType__vftable_005dabc0
0x005dabcc	DATA:POINTER	0052dd20	.?AVCDropshipBehaviourType@@	HIGH	0x005dabc4	CDropshipBehaviourType__vftable_005dabcc
0x005dabd8	DATA:POINTER	004c4a40	.?AVCJeepBehaviourType@@	HIGH	0x005dabd0	CJeepBehaviourType__vftable_005dabd8
0x005dabe4	DATA:POINTER	0052ddb0	.?AVCGroundAttackAircraftBehaviourType@@	HIGH	0x005dabdc	CGroundAttackAircraftBehaviourType__vftable_005dabe4
0x005dabf0	DATA:POINTER	0052de00	.?AVCBomberBehaviourType@@	HIGH	0x005dabe8	CBomberBehaviourType__vftable_005dabf0
0x005dabfc	DATA:POINTER	004175b0	.?AVCFighterBehaviourType@@	HIGH	0x005dabf4	CFighterBehaviourType__vftable_005dabfc
0x005dac08	DATA:POINTER	0052de90	.?AVCBuildingUnitBehaviourType@@	HIGH	0x005dac00	CBuildingUnitBehaviourType__vftable_005dac08
0x005dac14	DATA:POINTER	0052f660	.?AVCCarrierUnitBehaviourType@@	HIGH	0x005dac0c	CCarrierUnitBehaviourType__vftable_005dac14
0x005dac20	DATA:POINTER	004dbc20	.?AVCBoatUnitBehaviourType@@	HIGH	0x005dac18	CBoatUnitBehaviourType__vftable_005dac20
0x005dac2c	DATA:POINTER	004db8c0	.?AVCTurretUnitBehaviourType@@	HIGH	0x005dac24	CTurretUnitBehaviourType__vftable_005dac2c
0x005dac38	DATA:POINTER	00405ee0	.?AVCInfantryUnitBehaviourType@@	HIGH	0x005dac30	CInfantryUnitBehaviourType__vftable_005dac38
0x005dac44	DATA:POINTER	004059c0	.?AVCGroundUnitBehaviourType@@	HIGH	0x005dac3c	CGroundUnitBehaviourType__vftable_005dac44
0x005dac8c	DATA:POINTER	0055df1f	.?AVCPhysicsAlligenceType@@	HIGH	0x005dac84	CPhysicsAlligenceType__vftable_005dac8c
0x005dac98	DATA:POINTER	00405ee0	.?AVCMountainousNavMapType@@	HIGH	0x005dac90	CMountainousNavMapType__vftable_005dac98
0x005daca4	DATA:POINTER	004059c0	.?AVCSteepNavMapType@@	HIGH	0x005dac9c	CSteepNavMapType__vftable_005daca4
0x005dacb0	DATA:POINTER	004014a0	.?AVCFlatNavMapType@@	HIGH	0x005daca8	CFlatNavMapType__vftable_005dacb0
0x005dacbc	DATA:POINTER	00405930	.?AVCWaterNavMapType@@	HIGH	0x005dacb4	CWaterNavMapType__vftable_005dacbc
0x005dacc8	DATA:POINTER	0055df1f	.?AVCPhysicsNavMapType@@	HIGH	0x005dacc0	CPhysicsNavMapType__vftable_005dacc8
0x005dacd4	DATA:POINTER	00405930	.?AVCOnStateType@@	HIGH	0x005daccc	COnStateType__vftable_005dacd4
0x005dace0	DATA:POINTER	004014a0	.?AVCOnfStateType@@	HIGH	0x005dacd8	COnfStateType__vftable_005dace0
0x005dacec	DATA:POINTER	004059c0	.?AVCOffStateType@@	HIGH	0x005dace4	COffStateType__vftable_005dacec
0x005dacf8	DATA:POINTER	0055df1f	.?AVCPhysicsStateType@@	HIGH	0x005dacf0	CPhysicsStateType__vftable_005dacf8
0x005db2a8	DATA:POINTER	0053f160	.?AVCFearGrid@@	HIGH	0x005db2a0	CFearGrid__vftable_005db2a8
0x005db2ac	DATA:POINTER	004bacb0	.?AVCFearGrid@@	MEDIUM	0x005db2a0	CFearGrid__vftable_005db2ac
0x005db584	DATA:POINTER	004603d0	.?AVCFEPLevelSelect@@	HIGH	0x005db580	CFEPLevelSelect__vftable_005db584
0x005dbbd4	DATA:POINTER	0046d350	.?AVCStartInitThing@@	HIGH	0x005dbbcc	CStartInitThing__vftable_005dbbd4
