slot	entry_addr	ptr	ptr_name	ptr_signature
0	005e0c2c	004fdd60	<none>	<none>
1	005e0c30	004fcf00	CUnit__Unk_004fcf00	void __fastcall CUnit__Unk_004fcf00(int param_1)
2	005e0c34	00405930	CControllerDefinition__VFunc_03_00405930	int __thiscall CControllerDefinition__VFunc_03_00405930(void * this)
3	005e0c38	00479d10	CUnitAI__Unk_00479d10	void __fastcall CUnitAI__Unk_00479d10(int param_1)
4	005e0c3c	0047c8b0	<none>	<none>
5	005e0c40	00402000	CUnitAI__Helper_00402000	void __fastcall CUnitAI__Helper_00402000(int param_1)
6	005e0c44	00402010	CUnit__Unk_00402010	void __fastcall CUnit__Unk_00402010(int param_1)
7	005e0c48	00402020	CGeneralVolume__Helper_00402020	void __fastcall CGeneralVolume__Helper_00402020(int param_1)
8	005e0c4c	0049fdb0	CComponent__Unk_0049fdb0	void __fastcall CComponent__Unk_0049fdb0(int param_1)
9	005e0c50	00479f10	<none>	<none>
10	005e0c54	00405dd0	<none>	<none>
11	005e0c58	004fc080	CUnitAI__Helper_004fc080	int __fastcall CUnitAI__Helper_004fc080(void * param_1)
12	005e0c5c	004fc3c0	<none>	<none>
13	005e0c60	00405de0	<none>	<none>
14	005e0c64	004fa4b0	CUnit__Unk_004fa4b0	int CUnit__Unk_004fa4b0(void)
15	005e0c68	004f9a10	<none>	<none>
16	005e0c6c	004175c0	<none>	<none>
17	005e0c70	004175d0	<none>	<none>
18	005e0c74	004175e0	<none>	<none>
19	005e0c78	00405e10	<none>	<none>
