0x00584144 CFastVB__PackTexels_NoDither_Bits16_16
0x0058423f CFastVB__PackTexels_NoDither_Bits2_10_10_10
0x0058439e CFastVB__PackTexels_NoDither_Bits16_16_16_16
0x00584724 CDXTexture__PackTexels_CallbackPerTexel_RepeatA
0x00584786 CDXTexture__PackTexels_CallbackPerTexel_RepeatB
0x005847e9 CDXTexture__PackTexels_CallbackPerTexel_Once
0x00584831 CDXTexture__PackTexels_CopyRaw32
0x00584886 CDXTexture__PackTexels_CopyRaw64
0x005848e3 CDXTexture__PackTexels_CopyRaw128
0x00584936 CDXTexture__PackTexels_NoDither_A16L16
0x00584a4c CTexture__PackTexels_NoDither_Bits16_16_16
0x00584b5f CTexture__UnpackTexels_Bgr8ToFloat4
