0x00440c00 CDamage__FreeOwnedDamageObjects
0x00440c40 CDamage__ResetDamageTables
0x004c0940 CPDSimpleSprite__SetUVFromTileIndex
0x004c5280 CPDSimpleSprite__CopyTransformMatrix
0x004d30d0 CInfluenceMap__AccumulateThingFlags
0x004d39d0 CInfluenceMap__ResetRuntimeState
0x004d3a00 CInfluenceMap__FreeRuntimeBuffers
0x004ebd10 CStaticShadows__ClearAllShadowEntries
0x004ebe40 CStaticShadows__UpdateLightVectorAndRebuild
0x004ec250 CStaticShadows__DestroyShadowMapNode
