slot	entry_addr	ptr	ptr_name	ptr_signature
0	005db404	004539b0	CControllerDefinition__scalar_deleting_dtor	void * __thiscall CControllerDefinition__scalar_deleting_dtor(void * this, int flags)
1	005db408	00453ac0	CControllerDefinition__VFunc_01_00453ac0	undefined CControllerDefinition__VFunc_01_00453ac0(void)
2	005db40c	004a3190	<none>	<none>
3	005db410	00405930	<none>	<none>
4	005db414	00453ad0	CControllerDefinition__VFunc_04_00453ad0	undefined CControllerDefinition__VFunc_04_00453ad0(void)
5	005db418	00456610	CControllerDefinition__VFunc_05_00456610	undefined CControllerDefinition__VFunc_05_00456610(void)
6	005db41c	00456620	CControllerDefinition__VFunc_06_00456620	undefined CControllerDefinition__VFunc_06_00456620(void)
7	005db420	005019c0	VFuncSlot_09_005019c0	int VFuncSlot_09_005019c0(void)
8	005db424	00456630	CControllerDefinition__VFunc_08_00456630	undefined CControllerDefinition__VFunc_08_00456630(void)
9	005db428	00453a80	<none>	<none>
10	005db42c	00453a80	<none>	<none>
11	005db430	00459990	CFrontEndPage__DeActiveNotification	void __cdecl CFrontEndPage__DeActiveNotification(void * this)
12	005db434	00456640	CControllerDefinition__VFunc_12_00456640	undefined CControllerDefinition__VFunc_12_00456640(void)
13	005db438	00459990	CFrontEndPage__DeActiveNotification	void __cdecl CFrontEndPage__DeActiveNotification(void * this)
14	005db43c	00613540	<none>	<none>
15	005db440	00453a90	<none>	<none>
