address	old_name	new_name	confidence	reason	clues
0x004c0000	CEscapePod__Helper_004c0000	CEscapePod__InvokeCallRemoveFromGlobalList	mid	clue:CParticleManager__RemoveFromGlobalList	CParticleManager__RemoveFromGlobalList, CActor__ctor_like_004013d0
0x004dab50	CRound__Helper_004dab50	CRound__InvokeCallRemoveActiveReaderById	mid	clue:CMonitor__RemoveActiveReaderById	CMonitor__RemoveActiveReaderById, CSPtrSet__Remove, CGenericActiveReader__SetReader
0x004dac90	CRound__Helper_004dac90	CRound__InvokeCallIsWeaponModeCompatibleWithMountState	mid	clue:CBattleEngine__IsWeaponModeCompatibleWithMountState	CSPtrSet__First, Vec3__SetXYZ, SQRT, CBattleEngine__IsWeaponModeCompatibleWithMountState, CGenericActiveReader__SetReader, CSPtrSet__AddToHead, CSPtrSet__Next, Random__NextLCGAbs
0x004e1200	CMessageBox__Helper_004e1200	CMessageBox__InvokeCallStopAndReleaseChannel	mid	clue:CSoundManager__StopAndReleaseChannel	CSoundManager__StopAndReleaseChannel, CGenericActiveReader__SetReader
0x004e6640	CThing__Helper_004e6640	CThing__InvokeCallCreateThingRefWithSquad	mid	clue:IScript__CreateThingRefWithSquad	IScript__CreateThingRefWithSquad
0x004f0c50	CMCTentacle__Helper_004f0c50	CMCTentacle__InvokeCallBuildOrientationMatrixFromEuler	mid	clue:CSquadNormal__BuildOrientationMatrixFromEuler	CSquadNormal__BuildOrientationMatrixFromEuler, CMCBuggy__Helper_0040d320
0x004f9a40	CSphere__Helper_004f9a40	CSphere__InvokeCallGetRootSubtreeHealthIfAnyActive	mid	clue:CDestructableSegmentsController__GetRootSubtreeHealthIfAnyActive	CDestructableSegmentsController__GetRootSubtreeHealthIfAnyActive
0x004fb650	CWarspite__Helper_004fb650	CWarspite__InvokeCallUpdateAimTransformAndAttachTargetReader	mid	clue:OID__UpdateAimTransformAndAttachTargetReader	OID__UpdateAimTransformAndAttachTargetReader
0x004fd4d0	CCannon__Helper_004fd4d0	CCannon__InvokeCallSelectTarget	mid	clue:CDiveBomber__SelectTarget	CDiveBomber__SelectTarget, CUnitAI__GetWorldPositionForTargeting
0x00501320	CScreenFx__Helper_00501320	CScreenFx__InvokeCallFindTexture	mid	clue:CTexture__FindTexture	CTexture__FindTexture, CHud__Helper_004f27e0, CVBufTexture__GetOrCreate
0x0050efa0	CBomber__Helper_0050efa0	CBomber__InvokeCallRemoveFromGlobalList	mid	clue:CParticleManager__RemoveFromGlobalList	CSPtrSet__Clear, CParticleManager__RemoveFromGlobalList, CUnit__scalar_deleting_dtor_004f84e0
0x0050f440	CAirUnit__Helper_0050f440	CAirUnit__InvokeCallRemoveFromGlobalList	mid	clue:CParticleManager__RemoveFromGlobalList	CSPtrSet__Clear, CParticleManager__RemoveFromGlobalList, CUnit__scalar_deleting_dtor_004f84e0
0x00511db0	CWorldPhysicsManager__Helper_00511db0	CWorldPhysicsManager__InvokeCallFindSoundEventByNameIfEnabled	mid	clue:CBattleEngine__FindSoundEventByNameIfEnabled	CBattleEngine__FindSoundEventByNameIfEnabled
0x00521260	CFEPVirtualKeyboard__Helper_00521260	CFEPVirtualKeyboard__InvokeCallDrawPanel	mid	clue:CFrontEnd__DrawPanel	CFrontEnd__DrawPanel, CFrontEnd__DrawBox, CPlatform__Font, CDXFont__GetTextExtent, CDXFont__DrawTextDynamic, PLATFORM__GetSysTimeFloat, CPDSimpleSprite__Helper_0055e3ea
0x00527cc0	CWaterRenderSystem__Helper_00527cc0	CWaterRenderSystem__InvokeCallPrintf	mid	clue:CConsole__Printf	CConsole__Printf, CONCAT31
0x00527e00	CWaterRenderSystem__Helper_00527e00	CWaterRenderSystem__InvokeCallPrintf_00527e00	mid	clue:CConsole__Printf	CONCAT31, CConsole__Printf
0x0053bd60	CHud__Helper_0053bd60	CHud__InvokeCallReset	mid	clue:CDXCompass__Reset	CDXCompass__Reset
0x00540840	PCPlatform__Helper_00540840	PCPlatform__InvokeCallReadHeaderPairAndResetByteCount	mid	clue:CMeshPart__ReadHeaderPairAndResetByteCount	CMeshPart__ReadHeaderPairAndResetByteCount, CDXTexture__Deserialize, D3DBufferRegistry__MoveToFreeList, CMeshPart__ReadBlockAndAccumulateByteCount, CVBufTexture__GetOrCreate, CVBuf
0x005491b0	CPolyBucket__Helper_005491b0	CPolyBucket__InvokeCallReallocFromPool	mid	clue:CMemoryManager__ReallocFromPool	CMemoryManager__ReallocFromPool, CMemoryManager__Realloc
0x0055e3ea	CPDSimpleSprite__Helper_0055e3ea	CPDSimpleSprite__InvokeCallcintrindisp2	mid	clue:__cintrindisp2	__cintrindisp2
0x0055f39d	CStaticShadows__Helper_0055f39d	CStaticShadows__InvokeCallstartOneArgErrorHandling	mid	clue:__startOneArgErrorHandling	CRT__MapExponentFlagToClassCode_005615bc, __startOneArgErrorHandling, CRT__SetFpuControlWordMasked_005615a5, SQRT, __math_exit
0x00579a9a	CVertexShader__Helper_00579a9a	CVertexShader__InvokeCallDirectiveParserContextCtor	mid	clue:CTexture__DirectiveParserContextCtor	CTexture__DirectiveParserContextCtor, CTexture__InitializePreprocessorStateFromMemorySpan, CTexture__ResetParserSemanticValue, CTexture__LoadScriptAndDispatchByVersion, CTexture__D
