class	address	old_name	inferred_owner	top_count	top_counts
CHeightField	0x0047eb80	CHeightField__Unk_0047eb80	CStaticShadows	17	CStaticShadows:17;CMonitor:8;CDXEngine:7;CSquadNormal:6;CUnit:6
CFlexArray	0x0044a850	CFlexArray__Unk_0044a850	OID	15	OID:15;CUnit:4;CRadarWarningReceiver:1
CUnitAI	0x004659a0	CUnitAI__Unk_004659a0	CDXEngine	15	CDXEngine:15;CMessageLog:4;CFrontEnd:3;CMenuItem:3;CMenuItemDropdown:3
CParticleSet	0x004cd7a0	CParticleSet__Unk_004cd7a0	CWorldPhysicsManager	14	CWorldPhysicsManager:14;CVBufTexture:6;CBattleEngine:5;CGame:2;CComponent:1
CFrontEnd	0x00465640	CFrontEnd__Unk_00465640	CLTShell	13	CLTShell:13;CGame:2;CFEPGoodies:1
CGame	0x004725d0	CGame__Unk_004725d0	CExplosionInitThing	13	CExplosionInitThing:13;CDXEngine:7;CDXCompass:5;CDXLandscape:3;CMonitor:3
Transform	0x00403650	Transform__Unk_00403650	CMeshRenderer	8	CMeshRenderer:8;CUnit:4;CMonitor:3;CCannon:1;CLine:1
CDestructableSegment	0x00442890	CDestructableSegment__Unk_00442890	CDestroyableSegment	7	CDestroyableSegment:7;CDestructableSegment:1;CExplosionInitThing:1;CUnitAI:1
CParticleManager	0x004cb0b0	CParticleManager__Unk_004cb0b0	CUnit	7	CUnit:7;CMonitor:3;CBattleEngine:2;CRTMesh:2;CCannon:1
CParticleManager	0x004cb040	CParticleManager__Unk_004cb040	CWorldPhysicsManager	5	CWorldPhysicsManager:5;CAirUnit:3;CUnit:3;OID:3;CBattleEngine:2
OID	0x005491b0	OID__Unk_005491b0	CPolyBucket	5	CPolyBucket:5;CExplosionInitThing:4;CFlexArray:1
CController	0x0042d7d0	CController__Unk_0042d7d0	CFrontEnd	4	CFrontEnd:4;CConsole:1;CGame:1
CHLCollisionDetector	0x004881e0	CHLCollisionDetector__Unk_004881e0	CVBufTexture	4	CVBufTexture:4;CDXCompass:2;CExplosionInitThing:1
CInfluenceMap	0x004adf80	CInfluenceMap__Unk_004adf80	CMesh	4	CMesh:4
CMemoryManager	0x004a1570	CMemoryManager__Unk_004a1570	CDXEngine	4	CDXEngine:4;OID:2
CTexture	0x00579b39	CTexture__Unk_00579b39	CFastVB	4	CFastVB:4;CTexture:2;CDXTexture:1
CFEPBEConfig	0x00450460	CFEPBEConfig__Unk_00450460	CFEPMultiplayerStart	3	CFEPMultiplayerStart:3
CGillMHead	0x004d1710	CGillMHead__Unk_004d1710	CDXEngine	3	CDXEngine:3;CD3DApplication:2;CRenderQueue:2
CHeightField	0x0047ec60	CHeightField__Unk_0047ec60	CMonitor	3	CMonitor:3;CMCMech:2;CUnitAI:2;CCylinder:1;CDXBattleLine:1
CHeightField	0x0047eff0	CHeightField__Unk_0047eff0	CLandscapeTexture	3	CLandscapeTexture:3
CMapWho	0x00491d80	CMapWho__Unk_00491d80	CCollisionSeekingRound	3	CCollisionSeekingRound:3;CUnitAI:2;CDXTrees:1;CVBufTexture:1
CMapWho	0x00491d90	CMapWho__Unk_00491d90	CCollisionSeekingRound	3	CCollisionSeekingRound:3;CUnitAI:2;CVBufTexture:2;CDXTrees:1
CMemoryManager	0x004a25c0	CMemoryManager__Unk_004a25c0	CLTShell	3	CLTShell:3
CSpawnerThng	0x004e4420	CSpawnerThng__Unk_004e4420	CUnit	3	CUnit:3;CSquadNormal:1;CUnitAI:1
CVertexShader	0x00501cd0	CVertexShader__Unk_00501cd0	CWaterRenderSystem	3	CWaterRenderSystem:3;CDXEngine:1;CDXLandscape:1;CDXMeshVB:1;DXParticleTexture:1
CAtmospheric	0x004048f0	CAtmospheric__Unk_004048f0	CMesh	2	CMesh:2
CController	0x0042da00	CController__Unk_0042da00	CGame	2	CGame:2
CDXMeshVB	0x0054d530	CDXMeshVB__Unk_0054d530	CDXEngine	2	CDXEngine:2
CFEPSaveGame	0x00464b30	CFEPSaveGame__Unk_00464b30	CFEPLoadGame	2	CFEPLoadGame:2;CFEPVirtualKeyboard:1
CGameInterface	0x004729e0	CGameInterface__Unk_004729e0	CGame	2	CGame:2
CHeightField	0x0047ea20	CHeightField__Unk_0047ea20	CWorld	2	CWorld:2;CCannon:1;CDXLandscape:1;CEngine:1;CGame:1
CHeightField	0x0047ef20	CHeightField__Unk_0047ef20	CDXBattleLine	2	CDXBattleLine:2
CMemoryManager	0x004a2190	CMemoryManager__Unk_004a2190	CDXEngine	2	CDXEngine:2
CPauseMenu	0x004d05c0	CPauseMenu__Unk_004d05c0	CMenuItemRange	2	CMenuItemRange:2
CSPtrSet	0x0049f600	CSPtrSet__Unk_0049f600	CMeshPart	2	CMeshPart:2
CSPtrSet	0x004e5850	CSPtrSet__Unk_004e5850	CCareerNode	2	CCareerNode:2
CSpawnerThng	0x004e43d0	CSpawnerThng__Unk_004e43d0	CUnit	2	CUnit:2;CSquadNormal:1
CSpawnerThng	0x004e4480	CSpawnerThng__Unk_004e4480	CSquadNormal	2	CSquadNormal:2;CUnit:1
CTokenArchive	0x004f5b70	CTokenArchive__Unk_004f5b70	CParticleDescriptor	2	CParticleDescriptor:2
_	0x0056c7a9	___Unk_0056c7a9	CTexture	2	CTexture:2
_	0x0056c927	___Unk_0056c927	CTexture	2	CTexture:2;CDXTexture:1
_	0x0056c960	___Unk_0056c960	CTexture	2	CTexture:2
