0x0050abb0 CWorld__ShutdownAndClear_Thunk
0x0050ada0 CWorld__ShutdownAndClear
0x0050af70 CWorld__FindThingByName
0x0050b010 CWorld__DispatchHelper_004bc480
0x0050b020 CWorld__DispatchHelper_004bc3e0
0x0050d680 CWorld__ReleaseSubObject_AndMaybeFree
0x0050d6a0 CWorld__PushWorldTextSlot
0x0050d720 CWorld__UpdateWorldTextSlotTiming
0x0050d7a0 CWorld__ClearWorldTextSlot
0x0050d7d0 CWorld__IsMultiplayerMode
0x0050d7f0 CWorld__ClearLinkedObjectPairSet
