address	old_name	inferred_owner	new_name	xref_count	top_counts
0x0055def0	CTexture__Unk_0055def0	CDXTexture	CDXTexture__Helper_0055def0	40	CDXTexture:9;CDXEngine:3;CMemoryManager:2;CLTShell:1;CLIParams:1
0x0055dfe7	CTexture__Unk_0055dfe7	CDXEngine	CDXEngine__Helper_0055dfe7	98	CDXEngine:31;CPolyBucket:6;CMCMech:5;CFEPLevelSelect:4;OID:4
0x0055e64e	CTexture__Unk_0055e64e	CUnitAI	CUnitAI__Helper_0055e64e	67	CUnitAI:15;CDXEngine:13;CFEPSaveGame:8;ControlsUI:4;CFEPLoadGame:3
0x00561179	CTexture__Unk_00561179	CDXTexture	CDXTexture__Helper_00561179	39	CDXTexture:15;CFastVB:4;CMeshCollisionVolume:2;CEngine:2;CMCBuggy:1
0x0056171c	CTexture__Unk_0056171c	CDXTexture	CDXTexture__Helper_0056171c	10	CDXTexture:4;ControlsUI:2;CFastVB:1
0x00564f7a	CTexture__Unk_00564f7a	CDXTexture	CDXTexture__Helper_00564f7a	5	CDXTexture:2;CFastVB:1
0x00566364	CTexture__Unk_00566364	CDXTexture	CDXTexture__Helper_00566364	3	CDXTexture:2;CMeshCollisionVolume:1
0x00567094	CTexture__Unk_00567094	CDXTexture	CDXTexture__Helper_00567094	3	CDXTexture:2;CMeshCollisionVolume:1
0x00567b96	CTexture__Unk_00567b96	CFastVB	CFastVB__Helper_00567b96	2	CFastVB:2
0x00567de0	CTexture__Unk_00567de0	CDXTexture	CDXTexture__Helper_00567de0	27	CDXTexture:10;CFastVB:4
0x0056eb50	CTexture__Unk_0056eb50	CDXMeshVB	CDXMeshVB__Helper_0056eb50	3	CDXMeshVB:2;CLandscapeIB:1
0x0056eb60	CTexture__Unk_0056eb60	CDXMeshVB	CDXMeshVB__Helper_0056eb60	3	CDXMeshVB:2;CLandscapeIB:1
0x00574577	CTexture__Unk_00574577	CFastVB	CFastVB__Helper_00574577	30	CFastVB:28
0x00579a9a	CTexture__Unk_00579a9a	CVertexShader	CVertexShader__Helper_00579a9a	4	CVertexShader:2;CEngine:1
0x00579bd5	CTexture__Unk_00579bd5	CFastVB	CFastVB__Helper_00579bd5	16	CFastVB:14;CDXTexture:2
0x00581263	CTexture__Unk_00581263	CFastVB	CFastVB__Helper_00581263	3	CFastVB:2;CDXTexture:1
0x00581279	CTexture__Unk_00581279	CFastVB	CFastVB__Helper_00581279	37	CFastVB:13;CDXTexture:10
0x00588896	CTexture__Unk_00588896	CDXTexture	CDXTexture__Helper_00588896	4	CDXTexture:2;Platform:1;CMeshCollisionVolume:1
0x00592d45	CTexture__Unk_00592d45	CDXTexture	CDXTexture__Helper_00592d45	34	CDXTexture:28;CFastVB:1;CMeshCollisionVolume:1
0x00592d63	CTexture__Unk_00592d63	CDXTexture	CDXTexture__Helper_00592d63	21	CDXTexture:10;CMeshCollisionVolume:1
