address	name	xref_count	owners	top_counts	unambiguous_non_cunitai	inferred_owner
0x00408120	CUnitAI__Unk_00408120	3	<no_function>,CMonitor,CUnitAI	CMonitor:1;<no_function>:1;CUnitAI:1	false
0x00415140	CUnitAI__Unk_00415140	1	<no_function>	<no_function>:1	false
0x00415780	CUnitAI__Unk_00415780	1	<no_function>	<no_function>:1	false
0x004157c0	CUnitAI__Unk_004157c0	1	<no_function>	<no_function>:1	false
0x00415970	CUnitAI__Unk_00415970	1	<no_function>	<no_function>:1	false
0x00415a50	CUnitAI__Unk_00415a50	1	<no_function>	<no_function>:1	false
0x0041ad10	CUnitAI__Unk_0041ad10	21	<no_function>,CCylinder,CMCBuggy,CMCTentacle,CPDSimpleSprite,OID	<no_function>:10;CMCTentacle:5;CMCBuggy:2;CCylinder:2;OID:1;CPDSimpleSprite:1	false
0x00423840	CUnitAI__Unk_00423840	7	<no_function>,CCutscene,CMesh,CResourceAccumulator,Unwind@005d7b4b	CResourceAccumulator:2;CMesh:2;Unwind@005d7b4b:1;CCutscene:1;<no_function>:1	false
0x004238c0	CUnitAI__Unk_004238c0	3	CCutscene,CMesh,CResourceAccumulator	CResourceAccumulator:1;CMesh:1;CCutscene:1	false
0x00423900	CUnitAI__Unk_00423900	4	<no_function>,CCutscene,CMesh,CResourceAccumulator	CResourceAccumulator:1;CMesh:1;CCutscene:1;<no_function>:1	false
0x00423910	CUnitAI__Unk_00423910	107	CCutscene,CDXEngine,CDXImposter,CDXMeshVB,CDXSurf,CDXTexture,CFEPGoodies,CHeightField,CMapTex,CMesh,CMeshPart,CMixerMap,CPolyBucket,CResourceAccumulator,CStaticShadows,CVertexShader,CWorld	CMeshPart:20;CMesh:11;CPolyBucket:11;CDXImposter:8;CVertexShader:7;CStaticShadows:6;CDXMeshVB:6;CDXTexture:6	false
