retail_va	demo_va	current_name	retail_body_bytes	body_ranges	instruction_count	retail_instruction_stream_sha256	demo_instruction_stream_sha256	raw_diff_bytes	normalized_difference_count	cross_build_result
0x00437490	0x004374a0	CPhysicsScriptStatements__CreateStatementType5	1971	2	453	7b8ab51b00e851949a88a58de76fca275ffd55e7e89e2b60398a8124714cf356	75a9f31c7d0811891c9dd843e98f13a07a1a10298aab0140386382f8d195106a	264	0	NORMALIZED_IDENTICAL_EXACT_GHIDRA_RANGES
0x00482590	0x00482380	CHud__RenderTargetIndicatorOverlay	3929	2	943	0fd313c8d0d7b77cd7cb90e89586f4eea6918ef511e3d61f0102d4809710c418	25914a10dd6f6afb2ba97312b371c7f31efab3175e3d6183896e1ffce247efe8	305	0	NORMALIZED_IDENTICAL_EXACT_GHIDRA_RANGES
0x004aab90	0x004aa9f0	CMesh__Deserialize	1916	2	571	e55fb111fd9407e1944bbe0461d14a767f03a7a1efb51c45e15649e504407e17	e2846d3fd8eb1ff07c3886661f387ab24414d1d694513808528ea387a71914ae	191	0	NORMALIZED_IDENTICAL_EXACT_GHIDRA_RANGES
0x004b7d90	0x004b7b80	CGame__PumpBinkVoiceSampleQueue	266	2	68	cea046697bd3c30ed3e136a680ad95606645849d3312f8869f71be455fd74f48	f7c057592524aa74b47289e72627a3f7acbeb1dc874879bb723b06df7668cb01	59	0	NORMALIZED_IDENTICAL_EXACT_GHIDRA_RANGES
0x004be420	0x004be330	CExplosionInitThing__SelectNextPathStepDirection	1052	2	285	a3013e1a7bfce3be7e951ffe4a9be75cd7a610578acec5d0f2b4c3916cd2aa1e	c10e063828b6a57689f40a6eae93543fec4d852b628bf634500d1fb4d2d84072	100	0	NORMALIZED_IDENTICAL_EXACT_GHIDRA_RANGES
0x004d9f30	0x004d9e10	CRound__UpdateEffectTransformByMode_004d9f30	1779	2	502	29d6e6a7e29542f5d05e59974c56ab61e28d11042e5a5d2c319ea79b3f49af1e	fa54846013729c10ea0a05cccb7ada78ee796c479ee581d377c2db7346b1c6f6	69	0	NORMALIZED_IDENTICAL_EXACT_GHIDRA_RANGES
0x00559410	0x00559ab0	CDXTexture__CreateMipmaps	1771	2	529	7993773d7284d2b515965ebc6ca8c189a06b0a1d70c681631cb0d55ddcfdaa66	15810ec311289b8e286037949de7a49e58c7176ea7fa8cc8819a0552a1cfcff8	59	0	NORMALIZED_IDENTICAL_EXACT_GHIDRA_RANGES
0x0055db8a	0x0055e22a	eh_vector_destructor_iterator	81	2	30	9e4678f487150c5297110b6c82b7090c1ada8a751877d896e555106980667ff7	921a8c6e77741e4c0a6a424d554d6ca9d118e451b3b7e14e54afba2f029e5864	3	0	NORMALIZED_IDENTICAL_EXACT_GHIDRA_RANGES
0x0055e2d0	0x0055ea30	_strchr	193	2	89	7d759f1205a7407f937b961e2a00a9605b7d995ad810045cf7bfffd92c48a749	7d759f1205a7407f937b961e2a00a9605b7d995ad810045cf7bfffd92c48a749	0	0	NORMALIZED_IDENTICAL_EXACT_GHIDRA_RANGES
0x0055ec4a	0x0055f2ea	CRT__HeapAllocBase	231	3	80	ea0f3d798911c4a3fae026b379146c7b3c00900b022faac9aebc73d5685d0372	3b23cb8d2cf0e84fb5882066299f0f379b60b6fa2ff5f288ec59b1c3e49139c1	15	0	NORMALIZED_IDENTICAL_EXACT_GHIDRA_RANGES
