registryIndex	command	recordVa	entry	reachableBodyRanges	bodyBytes	bodyRangeSha256	bodyBytesSha256	instructionCount	expectedDefaultName
116	GotoPlayerCamera	0x0064eb20	0x005342b0	0x005342b0-0x005342be	14	915ea50151435250528cd3a0ad6f2cfe146e5155f83d80b04bcdc578aef56d1d	dc6bcb12e5c5d366caf2f8113e447ea296280fcc9aa0b46cf73d381e8fbfd40c	3	FUN_005342b0
112	SwitchMessagesOn	0x0064ea20	0x005342c0	0x005342c0-0x005342d2	18	9d727af5700b02fe1c7a538171fcc1aefcc759d6949faa530dca4dfbff9b4724	d87e5663860a76634bfeb496c3c165080ec379178bf8b39bd488ebe3c67217b8	5	FUN_005342c0
113	SwitchMessagesOff	0x0064ea60	0x005342e0	0x005342e0-0x005342f2	18	2a8c5dd31412028ed9a48336390a7c8c00e10b42e4769b9db605591694c1d28c	cc3f3942eb5e05a4f64cb6bfd6e49e61a8fc7814b6a11e1fd1a4315b74a4d20d	5	FUN_005342e0
109	SetSegmentVulnerable	0x0064e960	0x00534300	0x00534300-0x0053433d	61	584c7131a96aaef60f0202f2c1567cdf78d01ffca1f2bb11f23135adb485bef0	822c04d3deb5d77da96b356f4f76a23c2332ac4cd0eb51ca0c8ab601e61c4556	24	FUN_00534300
129	SetVelocity	0x0064ee60	0x00534340	0x00534340-0x0053436e	46	f62bb44e7e9e4dc54940f46c197e191a5311e5c1ddf8895c48cd146e4e45b8ac	213d51e612411680f7993dde3c5e6cd763423ce88620e2bcf79589389e890711	20	FUN_00534340
104	Normalise	0x0064e820	0x00534500	0x00534500-0x005345c9	201	67b086631869eb79e8df48a0917afd8bfe83ecad1750ac6452809548cdc3b561	c8d1172b9d926b61629f6f0a482cbdee7ef0f19941550a09cd2d24dd99fc6c9f	63	FUN_00534500
89	GetAngle	0x0064e460	0x00534680	0x00534680-0x00534763	227	37f808916dd0a57c20ca82413979a5954d607cfdcefa071935ab9e83dbd1e20c	27f9028f596f876eb626ef2134d356994029991b69b9fbc0b7f9568a7fe786ba	73	FUN_00534680
61	SetY	0x0064dd60	0x00534dc0	0x00534dc0-0x00534e42	130	dacbd0a1c7f8e51f12c2d0cb795b2ef329c7a351efcd467dea3801607aff513b	d0f39d223e4c0fe12ff5791ec0c27065d81a81ac9687714be0c0b1660feaba5d	41	FUN_00534dc0
95	Stop	0x0064e5e0	0x00534f30	0x00534f30-0x00534f62	50	be5ad049403b0563c187b240d72f958a9e34dd3157f85e8b569d1ed6e466e08f	50e13abc771a66b887d3b19aeaf1d4fe22d154226e6b5554822c8e5e5680915f	20	FUN_00534f30
96	Deploy	0x0064e620	0x00534f70	0x00534f70-0x00534f81	17	cac8854c43c6d57b2f9aaaca702b53eb3d271c4bfd8460420ece7dfe133531f3	a8f50029b9598def28b6a534e0e18d7fca40a3da77c37acd82ca2f85063d67a4	5	FUN_00534f70
97	Undeploy	0x0064e660	0x00534f90	0x00534f90-0x00534fa1	17	2d54bb6ddd87564202547d91dc1f520466d58ece74ac9cfc05d0239c4e3fbecb	5571c1129972e26bc9e7db20d975df317930f698e0b86a5c151defb74c0e8066	5	FUN_00534f90
64	GetSafePos	0x0064de20	0x005350b0	0x005350b0-0x00535155	165	ccbf9e8a1e3b162925d6be94a1d739e18358ee478a48445188288540076021ea	0ceb0926d2fb0b8411b13e22cff165aa80b1eb4908b825799f4b1493304a1e87	56	FUN_005350b0
54	PlayAnimationWait	0x0064dba0	0x005351d0	0x005351d0-0x0053532f	351	d306a61bed7495e0d94887597022d0ee42dde1d4181aa11f363fccf2a9345def	a29cdae9ecac3553a7189611df2bc5bda1f605d17f1878d9503ccb7218171765	104	FUN_005351d0
51	SetSegmentHealth	0x0064dae0	0x00535480	0x00535480-0x005354bb	59	04cfb2d0b6c524e21976817082133772f3dfe58cbb0fa7d23f301e1ad2aa5afe	2957c3e9133eeb1603c646b9483866f2d20b77a4f6aa1f2a56a21b1c34dba707	24	FUN_00535480
134	ResetSegmentHealth	0x0064efa0	0x005354c0	0x005354c0-0x005354fb	59	c123b898ef6a5fe06425d6c1e9d546aebe392dfc656728f33ebd4e80f3b0169a	c29c8cc7b83aa82edbc1fc34dacd2226252147112f977212a08eac0a49060e11	24	FUN_005354c0
52	SetAllSegmentsHealth	0x0064db20	0x00535500	0x00535500-0x0053552e	46	b93c9a8357dec5d6a9e0108d500c619cbe6d5ccf211ca9889a379211b0cb79be	5674d8cdf6a9629523c5867184b36e5aef137e90b4eb6d3c71eebc03a5db3b5c	17	FUN_00535500
37	GetWeaponAmmo	0x0064d760	0x00535610	0x00535610-0x0053566a	90	f724071cdae3a031d3880e05147b86af56f06d92874f93a1760fc1ac3623e8f5	e98db2947b094407b1a1158a10a17b2348361d3dbf7f82e693697d753cd7d8ca	27	FUN_00535610
39	GetWeaponCharge	0x0064d7e0	0x00535750	0x00535750-0x005357aa	90	84b5960c0daaceb7add64de9702eaa4babdb4de366e9449ebc1a58d9a07a1d16	68d9e61a24eff310235e37601977d645ddbcc67118e34125b9e2ba608cbd632f	27	FUN_00535750
131	GetNumber	0x0064eee0	0x00535980	0x00535980-0x005359d0	80	b68590110ba033d86ce752327eeb152756617c0e5745fa8e5f51d789dc241932	9f07d8066c16a68870744e3b7f01c10461d7611f87a6283df906c61618989a51	25	FUN_00535980
93	SpawnersInUse	0x0064e560	0x00535af0	0x00535af0-0x00535b43	83	7f5bd24c05c49fa3124d5faab2b54f80e31121cbe92bc1e71b32bf2fa5c52523	cd2415a519fea01b8e43d06edf3bd1f1c932b471086a7449611b048d06e42da3	28	FUN_00535af0
107	IsFiring	0x0064e8e0	0x00535b50	0x00535b50-0x00535ba3	83	18e5aaad5851a4d2bb348636287d1b154603b032677b6a06390b62cde1be70c2	b2b4907401331b7ed29d584322a711057533cbc5bbf6faf9d66ddb716332b239	28	FUN_00535b50
46	SetHealth	0x0064d9a0	0x00535c10	0x00535c10-0x00535c45	53	35c0a7657328e8d14474bbe5c418aab27c70a61311bd04eecfc769a4a09bd379	ad18c8ad1ed96c79b44e7b09735ab99f3373459daa7e0dd65c7d1e62eb737ae8	18	FUN_00535c10
34	HighlightHudPart	0x0064d6a0	0x00535e60	0x00535e60-0x00535e79	25	127e2db2b1b9aec32562ddb3e642199d7a910ad9601c5d203e8b681b226d6c63	d2a93e3bebd2d503307b5f1e3433926730059a7c413993ea8efbbdc0e479fc39	6	FUN_00535e60
35	UnHighlightHudPart	0x0064d6e0	0x00535e80	0x00535e80-0x00535e99	25	3fd42736ad0f05de4c6fb09c42e150664ca7c6f9c1ab7fe1b476a59c97d139f4	d273f5d1af93a54b9f7a9b3bbd2a56c0e9f84696f85048e2b3757e69eb9e9bd3	6	FUN_00535e80
22	SetVisible	0x0064d3a0	0x00535ea0	0x00535ea0-0x00535ecd	45	38427a54f30ba9a2b2c1936b6328a6e205897b1226e292c60f523c8a50b0c306	5c91bb0fd7d64e0987c6c5ddd6aeccda87ceeea4152ed27fb8506b476206b903	17	FUN_00535ea0
103	GetTarget	0x0064e7e0	0x005366c0	0x005366c0-0x005367bd	253	b64ae8f3c3d3b44e6b65898055cef1d1a598c2beb1b42f71f280ea07bac17cd0	c1d7f138d438b126923ba8d22bee0d965c3d6d2f85fa5ad566a52553192890e4	79	FUN_005366c0
50	SpawnParticle	0x0064daa0	0x00536b70	0x00536b70-0x00536bf2	130	0c91b7cbae9458158279dc5ce4efc88093b51528c982cb087c958dd85765ef1e	9652a8aed6cb45bc100657d4634d64882600079c4cf45c0d791589cde95b21d1	47	FUN_00536b70
132	SpawnEscapePod	0x0064ef20	0x005371e0	0x005371e0-0x0053740c	556	03c3ec91d6d5f4e03f6e16547b2dbd4dff42fd36bd3547376c2cd1dbeaa7a1fd	444f98f24256f66428bc26861568b9a2f531738ac981e0ee0db10f2f2adb39fd	135	FUN_005371e0
71	IsEnemy	0x0064dfe0	0x00538060	0x00538060-0x005380e6	134	a4af73609d4c63fb009d40be7eb558269eaaa8d9345f6684e0354c9558f88522	80acad0d544184ccd2063cfdaaa6232b82ee16ef4c4ef7d24f5516684fd40fd2	39	FUN_00538060
125	InJetMode	0x0064ed60	0x005380f0	0x005380f0-0x0053814a	90	a5ede0c98f86d31b5cc81c776ad69bb5a30309c6e1c17b9e3e72b259b8dba2c3	0ae6c37da7b854bde6569bf19f41b3b37a9cbad4a93146076f0b1bd3866486f0	30	FUN_005380f0
143	IsOverWater	0x0064f1e0	0x00538150	0x00538150-0x0053819b	75	1d73f65a065c6dd8689fdbb4200b7686f01d3a74069985d3ac4e0da3cd85b5e4	c4054c27c8178421c44ccbb74da7c2ad787d17b28e52596c0719ebd9531d8e18	25	FUN_00538150
67	GetFloatRand	0x0064dee0	0x00538290	0x00538290-0x005382fa	106	a67041ea27612781768fa51966ef25e46b00092a63a32f2a61c2eb1c0bc5f843	631f394f8cb9434dc3f42cf213c6c982d05e7a79f8c1d43b6ec00af7321bd713	34	FUN_00538290
42	SetWindVector	0x0064d8a0	0x00538300	0x00538300-0x00538360	96	0c73c1618b55bb00902b655bb387ac6ac2f14ad3b77d66db3b258e3f175f969a	d69d7fdc07a21cbbeb87e140c469ac022bc60e2a434f25014c189962fa33f738	28	FUN_00538300
43	SetRainDensity	0x0064d8e0	0x00538360	0x00538360-0x00538374	20	d82b927e57f1c6e6b00d9d9aada2dac4f87af0c95f5f61839d32467cd101e48a	63fff879eacce7d0d8ced369464bdfcce83555112462a075e1567d521d983f12	6	FUN_00538360
