rank	retail_va	identity_status	safe_name_candidate	cohort	source	provider_identity_candidate	direct_defined_data_ref	reference_rows	gap_start	gap_end_exclusive	body_ranges	body_bytes	instruction_count	body_sha256	normalized_sha256	terminal_kinds	external_transfers	demo_va	demo_candidates	demo_basis	demo_normalized_equal	demo_raw_equal	already_prepared_receipt
P2	0x00422370	BOUNDARY_ONLY_CONSERVATIVE_NAME_REQUIRED		CRT_INITIALIZER	g_InitFuncTable		true	1	0x0042236F	0x00422440	0x00422370-0x00422433	195	36	0267a4e4bce96c52d9d289056be1fa627cea60c3ff7ed3ab5ef914a66afccdc6	65f64a200746babbe5e95dab9f71b7c42a5302106bb4ac606ea420f72eb14b17	ret		0x00422320	271	EQUAL_DELTA_BRACKET_FULL_NORMALIZED_BODY	true	false	false
P2	0x0044AEA0	BOUNDARY_ONLY_CONSERVATIVE_NAME_REQUIRED		CRT_INITIALIZER	g_InitFuncTable		true	1	0x0044AE9F	0x0044AF70	0x0044AEA0-0x0044AF63	195	36	ca5c980a3a234e9315f3f371d1755a3ff6c0b605e4fe282b7f18428fc45cf825	65f64a200746babbe5e95dab9f71b7c42a5302106bb4ac606ea420f72eb14b17	ret		0x0044AF50	271	EQUAL_DELTA_BRACKET_FULL_NORMALIZED_BODY	true	false	false
P2	0x00457F80	BOUNDARY_ONLY_CONSERVATIVE_NAME_REQUIRED		CRT_INITIALIZER	g_InitFuncTable		true	1	0x00457F7F	0x00458050	0x00457F80-0x00458043	195	36	141d406a35fb6d52a3f319b5bf87e31ad41c4b21abb7eb9190cb90b718b41ad7	65f64a200746babbe5e95dab9f71b7c42a5302106bb4ac606ea420f72eb14b17	ret		0x00457FA0	271	EQUAL_DELTA_BRACKET_FULL_NORMALIZED_BODY	true	false	false
P2	0x00464550	BOUNDARY_ONLY_CONSERVATIVE_NAME_REQUIRED		CRT_INITIALIZER	g_InitFuncTable		true	1	0x0046454F	0x00464620	0x00464550-0x00464613	195	36	14488d5a9ca5c9b27c9cbb424bee3afd54d2f6d79433d8871c444ab6d6ce1c1e	65f64a200746babbe5e95dab9f71b7c42a5302106bb4ac606ea420f72eb14b17	ret		0x00464560	271	EQUAL_DELTA_BRACKET_FULL_NORMALIZED_BODY	true	false	false
P2	0x0047BB20	BOUNDARY_ONLY_CONSERVATIVE_NAME_REQUIRED		CRT_INITIALIZER	g_InitFuncTable		true	1	0x0047BB1F	0x0047BBF0	0x0047BB20-0x0047BBE3	195	36	009265c7fccbdcd98efdda54fdf17215188553fb9adfc502c34dd67c7b06c974	65f64a200746babbe5e95dab9f71b7c42a5302106bb4ac606ea420f72eb14b17	ret		0x0047B9E0	271	EQUAL_DELTA_BRACKET_FULL_NORMALIZED_BODY	true	false	false
P2	0x00490000	BOUNDARY_ONLY_CONSERVATIVE_NAME_REQUIRED		CRT_INITIALIZER	g_InitFuncTable		true	1	0x0048FFFF	0x004900D0	0x00490000-0x004900C3	195	36	0a3161e3270f45f939ee76b478eae547b811a257b324af314e577a77537ab925	65f64a200746babbe5e95dab9f71b7c42a5302106bb4ac606ea420f72eb14b17	ret		0x0048FE30	271	EQUAL_DELTA_BRACKET_FULL_NORMALIZED_BODY	true	false	false
P2	0x005445D0	BOUNDARY_ONLY_CONSERVATIVE_NAME_REQUIRED		CRT_INITIALIZER	g_InitFuncTable		true	1	0x005445CA	0x00544600	0x005445D0-0x005445F0	32	8	1c3ad8648a89c28d76a966a920ef286461d72e361e2f9e7f449b87bb2ebc64ca	99175539611147e0803932b4edf0f76cb0ecf5f991e53a1ea535c2ad3122ae7d	ret		0x00544C60	2	EQUAL_DELTA_BRACKET_FULL_NORMALIZED_BODY	true	false	false
P2	0x00550840	BOUNDARY_ONLY_CONSERVATIVE_NAME_REQUIRED		CRT_INITIALIZER	g_InitFuncTable		true	1	0x0055083A	0x00550870	0x00550840-0x00550860	32	8	b6dda0ae2c534d28ae3245a520bd66b653feb509386ffac64de523ce29b2aa8b	99175539611147e0803932b4edf0f76cb0ecf5f991e53a1ea535c2ad3122ae7d	ret		0x00550ED0	2	CROSS_BUILD_INIT_TABLE_SLOT_FULL_NORMALIZED_BODY	true	false	false
P2	0x00551D90	BOUNDARY_ONLY_CONSERVATIVE_NAME_REQUIRED		CRT_INITIALIZER	g_InitFuncTable		true	1	0x00551D8F	0x00551E60	0x00551D90-0x00551E53	195	36	d06c40d0955540717f4ad8ba0197280e9cbb7cb0f7ec72b74e98408a4d6e5ccc	65f64a200746babbe5e95dab9f71b7c42a5302106bb4ac606ea420f72eb14b17	ret		0x00552430	271	EQUAL_DELTA_BRACKET_FULL_NORMALIZED_BODY	true	false	false
P2	0x0055DFB8	BOUNDARY_ONLY_CONSERVATIVE_NAME_REQUIRED		CRT_INITIALIZER	g_InitFuncTable		true	1	0x0055DFB8	0x0055DFE7	0x0055DFB8-0x0055DFE7	47	14	fa89ea601b25853cddb989d8a659d8fa0c39a31db641ee31c636d4bc82e42b5b	dfaad31cf399edaf2c8afcb1bebf6770effb1ee549e39ee4e311e7036dbd694c	ret		0x0055E658	1	UNIQUE_FULL_MASKED_BODY	true	false	false
