retail_va	demo_va	current_name	mapping_basis	round	corresponding_transfer_count	caller_retail_vas	caller_transfer_offsets	range_method	legacy_body_bytes	corrected_body_bytes	corrected_tail_bytes	body_ranges	retail_instructions	demo_instructions	raw_diff_bytes	normalized_sha256	changed_absolute_reference_pairs	direct_transfer_pairs	comparison_result
0x004ac4a0	0x004ac300	CMeshCollisionVolume__TestSweptSphereAgainstMeshPart	EQUAL_DELTA_BRACKET_BODY_UNION	0	0			FROZEN_INSTRUCTION_UNION	574	575	1	1	173	173	14	7b856d7bc799989632514df74b85d5406de9f1affba4592649077b08f0e0224b	13	3	NORMALIZED_IDENTICAL_CORRECTED_BODY_UNION
0x004efb00	0x004efa90	JmpThunk_004530a0_004efb00	EQUAL_DELTA_BRACKET_BODY_UNION	0	0			TRACKED_CONTIGUOUS_POSTSNAPSHOT	10	10	0	1	2	2	6	ca34c0ed9d479badab9000276bbae84bbbea38ee18333947c45c888d68010f22	0	1	NORMALIZED_IDENTICAL_CORRECTED_BODY_UNION
0x005410e0	0x005416f0	JmpThunk_004530a0_005410e0	EQUAL_DELTA_BRACKET_BODY_UNION	0	0			TRACKED_CONTIGUOUS_POSTSNAPSHOT	10	10	0	1	2	2	6	ca34c0ed9d479badab9000276bbae84bbbea38ee18333947c45c888d68010f22	0	1	NORMALIZED_IDENTICAL_CORRECTED_BODY_UNION
0x0055d896	0x0055df36	CRT__SehFilterCppException	EQUAL_DELTA_BRACKET_BODY_UNION	0	0			FROZEN_INSTRUCTION_UNION	114	114	0	2	45	45	0	ddc34445bc1151e9b55ecd6a710af4e3306a09129b462f0ec3249d00346a394f	0	3	NORMALIZED_IDENTICAL_CORRECTED_BODY_UNION
0x00561360	0x00561a00	__trandisp1	EQUAL_DELTA_BRACKET_BODY_UNION	0	0			FROZEN_INSTRUCTION_UNION	103	103	0	1	30	30	2	465cc633da372f57a681927fd68166f777a80d5ceab749b8d1137587ce3bd54f	0	1	NORMALIZED_IDENTICAL_CORRECTED_BODY_UNION
0x00563a4e	0x0056455e	__cintrindisp1	EQUAL_DELTA_BRACKET_BODY_UNION	0	0			FROZEN_INSTRUCTION_UNION	61	61	0	1	17	17	4	bd92f05c6436777cc484f24600a776d1cae7678944c6f5d234c55d67e3d25058	1	3	NORMALIZED_IDENTICAL_CORRECTED_BODY_UNION
0x00563a8b	0x0056459b	__ctrandisp2	EQUAL_DELTA_BRACKET_BODY_UNION	0	0			FROZEN_INSTRUCTION_UNION	72	72	0	1	21	21	2	caae133bce1d2a65fc3899c9371689297f9511a112db982e930a6398ece48dca	0	4	NORMALIZED_IDENTICAL_CORRECTED_BODY_UNION
0x00563c0b	0x0056471b	__ctrandisp1	EQUAL_DELTA_BRACKET_BODY_UNION	0	0			FROZEN_INSTRUCTION_UNION	51	51	0	1	16	16	2	0aeb0b2e978fe7a23edf23593ddc3f8632b9225521659c17135a4e37776eba48	0	3	NORMALIZED_IDENTICAL_CORRECTED_BODY_UNION
0x005771dd	0x0057787d	Math__BuildScaleMatrix4x4	EQUAL_DELTA_BRACKET_BODY_UNION	0	0			FROZEN_INSTRUCTION_UNION	90	92	2	1	34	34	0	5446bedaa55bab47fdb2ece28b1293f054e0f47d1363a07bf14b6edccbc6f2b7	0	0	NORMALIZED_IDENTICAL_CORRECTED_BODY_UNION
0x0057726d	0x0057790d	Math__BuildTranslationMatrix4x4	EQUAL_DELTA_BRACKET_BODY_UNION	0	0			FROZEN_INSTRUCTION_UNION	90	92	2	1	34	34	0	f6be1a1bf895e17d7b6fc5bfae6b700f20699c75acd4cded7e49c18e9db72342	0	0	NORMALIZED_IDENTICAL_CORRECTED_BODY_UNION
