opcode	opcode_hex	retail_case_va	demo_case_va	case_relative_offset	source_line	allocation_type	allocation_bytes	attribute_offset	retail_vtable_va	demo_vtable_va	rtti_class	retail_executor_va	demo_executor_va	executor_current_name	executor_normalized_equal
0	0x00	0x0052d3f7	0x0052dae7	0x27	87	0x1a	12	+0x4	0x005e4d40	0x005e5d40	CInstructionOP_NOP	0x00453ac0	0x00453ae0	SharedVFunc__NoOp_Ret0C	true
1	0x01	0x0052d425	0x0052db15	0x55	88	0x1a	12	+0x4	0x005e4d30	0x005e5d30	CInstructionOP_PLUS	0x0052e180	0x0052e7a0	CInstructionOP_PLUS__VFunc_00_0052e180	true
2	0x02	0x0052d453	0x0052db43	0x83	89	0x1a	12	+0x4	0x005e4d20	0x005e5d20	CInstructionOP_MINUS	0x0052e1d0	0x0052e7f0	CInstructionOP_MINUS__VFunc_00_0052e1d0	true
3	0x03	0x0052d481	0x0052db71	0xb1	90	0x1a	12	+0x4	0x005e4d10	0x005e5d10	CInstructionOP_MULTIPLY	0x0052e220	0x0052e840	CInstructionOP_MULTIPLY__VFunc_00_0052e220	true
4	0x04	0x0052d4af	0x0052db9f	0xdf	91	0x1a	12	+0x4	0x005e4d00	0x005e5d00	CInstructionOP_DIVIDE	0x0052e270	0x0052e890	CInstructionOP_DIVIDE__VFunc_00_0052e270	true
5	0x05	0x0052d4dd	0x0052dbcd	0x10d	92	0x1a	12	+0x4	0x005e4cf0	0x005e5cf0	CInstructionOP_PUSH	0x0052e2c0	0x0052e8e0	CInstructionOP_PUSH__VFunc_00_0052e2c0	true
6	0x06	0x0052d50b	0x0052dbfb	0x13b	93	0x1a	12	+0x4	0x005e4ce0	0x005e5ce0	CInstructionOP_POP	0x0052e2f0	0x0052e910	CInstructionOP_POP__VFunc_0_0052e2f0	true
7	0x07	0x0052d539	0x0052dc29	0x169	94	0x1a	12	+0x4	0x005e4cd0	0x005e5cd0	CInstructionOP_OR	0x0052e4d0	0x0052eaf0	CInstructionOP_OR__ExecuteOr	true
8	0x08	0x0052d567	0x0052dc57	0x197	95	0x1a	12	+0x4	0x005e4cc0	0x005e5cc0	CInstructionOP_AND	0x0052e580	0x0052eba0	CInstructionOP_AND__ExecuteAnd	true
9	0x09	0x0052d595	0x0052dc85	0x1c5	96	0x1a	12	+0x4	0x005e4cb0	0x005e5cb0	CInstructionOP_GREAT_THAN	0x0052e630	0x0052ec50	CInstructionOP_GREAT_THAN__ExecuteGreaterThan	true
10	0x0a	0x0052d5c3	0x0052dcb3	0x1f3	97	0x1a	12	+0x4	0x005e4ca0	0x005e5ca0	CInstructionOP_LESS_THAN	0x0052e6d0	0x0052ecf0	CInstructionOP_LESS_THAN__ExecuteLessThan	true
11	0x0b	0x0052d5f1	0x0052dce1	0x221	98	0x1a	12	+0x4	0x005e4c90	0x005e5c90	CInstructionOP_GREAT_EQ_THAN	0x0052e770	0x0052ed90	CInstructionOP_GREAT_EQ_THAN__ExecuteGreaterOrEqual	true
12	0x0c	0x0052d61f	0x0052dd0f	0x24f	99	0x1a	12	+0x4	0x005e4c80	0x005e5c80	CInstructionOP_LESS_EQ_THAN	0x0052e810	0x0052ee30	CInstructionOP_LESS_EQ_THAN__ExecuteLessOrEqual	true
13	0x0d	0x0052d64d	0x0052dd3d	0x27d	100	0x1a	12	+0x4	0x005e4c70	0x005e5c70	CInstructionOP_LABEL	0x00453ac0	0x00453ae0	SharedVFunc__NoOp_Ret0C	true
14	0x0e	0x0052d67b	0x0052dd6b	0x2ab	101	0x1a	12	+0x4	0x005e4c60	0x005e5c60	CInstructionOP_REMOVE_TOP	0x0052e320	0x0052e940	CInstructionOP_REMOVE_TOP__VFunc_0_0052e320	true
15	0x0f	0x0052d6a9	0x0052dd99	0x2d9	102	0x1a	12	+0x4	0x005e4c50	0x005e5c50	CInstructionOP_CMP	0x0052e330	0x0052e950	CInstructionOP_CMP__VFunc_00_0052e330	true
16	0x10	0x0052d6d7	0x0052ddc7	0x307	103	0x1a	12	+0x4	0x005e4c40	0x005e5c40	CInstructionOP_CMPB	0x0052e380	0x0052e9a0	CInstructionOP_CMPB__ExecuteCompareEqual	true
17	0x11	0x0052d705	0x0052ddf5	0x335	104	0x1a	12	+0x4	0x005e4c30	0x005e5c30	CInstructionOP_CMPNEB	0x0052e8b0	0x0052eed0	CInstructionOP_CMPNEB__ExecuteCompareNotEqual	true
18	0x12	0x0052d733	0x0052de23	0x363	105	0x1a	12	+0x4	0x005e4c20	0x005e5c20	CInstructionOP_JMPNE	0x0052e990	0x0052efb0	CInstructionOP_JMPNE__VFunc_0_0052e990	true
19	0x13	0x0052d761	0x0052de51	0x391	106	0x1a	12	+0x4	0x005e4c10	0x005e5c10	CInstructionOP_JMPFALSE	0x0052e950	0x0052ef70	CInstructionOP_JMPFALSE__VFunc_00_0052e950	true
20	0x14	0x0052d78f	0x0052de7f	0x3bf	107	0x1a	12	+0x4	0x005e4c00	0x005e5c00	CInstructionOP_JMP	0x0052e9b0	0x0052efd0	CInstructionOP_JMP__VFunc_0_0052e9b0	true
21	0x15	0x0052d7bd	0x0052dead	0x3ed	108	0x1a	12	+0x4	0x005e4bf0	0x005e5bf0	CInstructionOP_GETTOP	0x0052e9c0	0x0052efe0	CInstructionOP_GETTOP__VFunc_0_0052e9c0	true
22	0x16	0x0052d7eb	0x0052dedb	0x41b	109	0x1a	12	+0x4	0x005e4be0	0x005e5be0	CInstructionOP_POINTER	0x0052ea10	0x0052f030	CInstructionOP_POINTER__VFunc_0_0052ea10	true
23	0x17	0x0052d819	0x0052df09	0x449	110	0x1a	12	+0x4	0x005e4bd0	0x005e5bd0	CInstructionOP_RETURN	0x0052e0f0	0x0052e710	CInstructionOP_RETURN__ExecutePop	true
24	0x18	0x0052d847	0x0052df37	0x477	111	0x1a	12	+0x4	0x005e4bc0	0x005e5bc0	CInstructionOP_CALL	0x0052ea40	0x0052f060	CInstructionOP_CALL__ExecuteCall	true
25	0x19	0x0052d871	0x0052df61	0x4a1	112	0x1a	12	+0x4	0x005e4bb0	0x005e5bb0	CInstructionOP_CALLLOCAL	0x0052ec40	0x0052f260	CInstructionOP_CALLLOCAL__VFunc_0_0052ec40	true
26	0x1a	0x0052d89b	0x0052df8b	0x4cb	113	0x1a	12	+0x4	0x005e4ba0	0x005e5ba0	CInstructionOP_PUSHPC	0x0052e0a0	0x0052e6c0	CInstructionOP_PUSHPC__VFunc_0_0052e0a0	true
