addr	liveName	currentSignatureLive	currentSignatureSha256	proposedSignature	callingConvention	returnTypeProposed	paramSpec	arity	arityBytes	retImmediate	argSlotWitness	witnessInstruction	retInstruction	exactness	confidence	changeAxes	independentReDerivation
0x00512ca0	CShaderBase__Init	void __thiscall CShaderBase__Init(void * this)	feede9871c4a239a9047ca27b1a528582e3e1177e8017eb6c923987c7ce9fc02	void __thiscall CShaderBase__Init(void * this, undefined4 param_1)	__thiscall	void	ECX:void *:this:auto;STACK:undefined4:param_1:expl	1	4	0x4	slot 0 = 4 bytes	00512ca0:mov eax, dword ptr [esp + 4]=[8b442404]	00512cb2:ret 0x4=[c20400]	COMPLETE_ENUMERATION	HIGH	ARITY	REPRODUCED_INDEPENDENTLY
0x00589650	CTexture__InitBufferFromMemorySpan	int CTexture__InitBufferFromMemorySpan(void)	8865b2527093a88a5f74f8fd667699a1e8774d758c4a8892b462d4aa94ec846f	int CTexture__InitBufferFromMemorySpan(undefined4 param_1, undefined4 param_2, undefined4 param_3, undefined4 param_4)	unknown	int	STACK:undefined4:param_1:expl;STACK:undefined4:param_2:expl;STACK:undefined4:param_3:expl;STACK:undefined4:param_4:expl	4	16	0x10	slot 3 = 16 bytes	00589667:push dword ptr [esp + 0x10]=[ff742410]	00589686:ret 0x10=[c21000]	COMPLETE_ENUMERATION	HIGH	ARITY	REPRODUCED_INDEPENDENTLY
0x0058bd25	CTexture__InitializePreprocessorStateFromMemorySpan	int CTexture__InitializePreprocessorStateFromMemorySpan(void)	ab27b7ff78e2ea15404af7d26c878e97a542e08ebf6416f3ea652d72753e89ee	int CTexture__InitializePreprocessorStateFromMemorySpan(undefined4 param_1, undefined4 param_2, undefined4 param_3, undefined4 param_4)	unknown	int	STACK:undefined4:param_1:expl;STACK:undefined4:param_2:expl;STACK:undefined4:param_3:expl;STACK:undefined4:param_4:expl	4	16	0x10	slot 3 = 16 bytes	0058bd7a:mov eax, dword ptr [esp + 0x14]=[8b442414]	0058bd84:ret 0x10=[c21000]	COMPLETE_ENUMERATION	HIGH	ARITY	REPRODUCED_INDEPENDENTLY
0x005987f4	CTexture__NodePayloadRecordCtor	int CTexture__NodePayloadRecordCtor(void)	adfbc911f5d0221b092e45aea703080004a2875205d55a595c876cf8193147ce	int CTexture__NodePayloadRecordCtor(undefined4 param_1, undefined4 param_2, undefined4 param_3)	unknown	int	STACK:undefined4:param_1:expl;STACK:undefined4:param_2:expl;STACK:undefined4:param_3:expl	3	12	0xc	slot 2 = 12 bytes	00598804:mov ecx, dword ptr [esp + 0xc]=[8b4c240c]	00598818:ret 0xc=[c20c00]	COMPLETE_ENUMERATION	HIGH	ARITY	REPRODUCED_INDEPENDENTLY
0x00598da4	CDXTexture__NodeType13__ctor	int CDXTexture__NodeType13__ctor(void)	b4734963663fa7c41786aaa0933f9e9efb0110cca7a688a1ca228bd5226cc00e	int CDXTexture__NodeType13__ctor(undefined4 param_1, undefined4 param_2, undefined4 param_3)	unknown	int	STACK:undefined4:param_1:expl;STACK:undefined4:param_2:expl;STACK:undefined4:param_3:expl	3	12	0xc	slot 2 = 12 bytes	00598db3:mov esi, dword ptr [esp + 0x10]=[8b742410]	00598dd9:ret 0xc=[c20c00]	COMPLETE_ENUMERATION	HIGH	ARITY	REPRODUCED_INDEPENDENTLY
0x005997e1	CTexture__NodeType11_Ctor_WithDescriptorCopy	int CTexture__NodeType11_Ctor_WithDescriptorCopy(void)	3d0f814ddcfa8684a7917d9af770880fd9030b3eeb9f89a983b514e6ca1bbab6	int CTexture__NodeType11_Ctor_WithDescriptorCopy(undefined4 param_1, undefined4 param_2, undefined4 param_3, undefined4 param_4)	unknown	int	STACK:undefined4:param_1:expl;STACK:undefined4:param_2:expl;STACK:undefined4:param_3:expl;STACK:undefined4:param_4:expl	4	16	0x10	slot 3 = 16 bytes	0059980d:mov eax, dword ptr [esp + 0x1c]=[8b44241c]	0059982e:ret 0x10=[c21000]	COMPLETE_ENUMERATION	HIGH	ARITY	REPRODUCED_INDEPENDENTLY
0x005a38c0	CFastVB__DispatchOp_TransformVec4ArrayByMatrix4	int CFastVB__DispatchOp_TransformVec4ArrayByMatrix4(void)	e79c1e364e5e348afb9528d42578152aa2a6adcaa2a6e9eec029217409ebbc9e	int CFastVB__DispatchOp_TransformVec4ArrayByMatrix4(undefined4 param_1, undefined4 param_2, undefined4 param_3, undefined4 param_4, undefined4 param_5, undefined4 param_6)	unknown	int	STACK:undefined4:param_1:expl;STACK:undefined4:param_2:expl;STACK:undefined4:param_3:expl;STACK:undefined4:param_4:expl;STACK:undefined4:param_5:expl;STACK:undefined4:param_6:expl	6	24	0x18	slot 5 = 24 bytes	005a38ce:mov ecx, dword ptr [esp + 0x24]=[8b4c2424]	005a3952:ret 0x18=[c21800]	COMPLETE_ENUMERATION	HIGH	ARITY	REPRODUCED_INDEPENDENTLY
0x005a3980	CFastVB__DispatchOp_TransformVec4ArrayByMatrix4_Alt_005a3980	int CFastVB__DispatchOp_TransformVec4ArrayByMatrix4_Alt_005a3980(void)	3852336f0657e6557d5bf05717c10f2eb3de8ce32cbb59392191e60a02a28a9c	int CFastVB__DispatchOp_TransformVec4ArrayByMatrix4_Alt_005a3980(undefined4 param_1, undefined4 param_2, undefined4 param_3, undefined4 param_4, undefined4 param_5, undefined4 param_6)	unknown	int	STACK:undefined4:param_1:expl;STACK:undefined4:param_2:expl;STACK:undefined4:param_3:expl;STACK:undefined4:param_4:expl;STACK:undefined4:param_5:expl;STACK:undefined4:param_6:expl	6	24	0x18	slot 5 = 24 bytes	005a398e:mov ecx, dword ptr [esp + 0x24]=[8b4c2424]	005a3a12:ret 0x18=[c21800]	COMPLETE_ENUMERATION	HIGH	ARITY	REPRODUCED_INDEPENDENTLY
0x005a40c0	CFastVB__DispatchOp_TransformVec3ArrayByMatrix4_WithTranslation_005a40c0	int CFastVB__DispatchOp_TransformVec3ArrayByMatrix4_WithTranslation_005a40c0(void)	462a8041b17ab191a0d04ce3f0bc43170bb79469067c2a3b888f0baa474dcb2c	int CFastVB__DispatchOp_TransformVec3ArrayByMatrix4_WithTranslation_005a40c0(undefined4 param_1, undefined4 param_2, undefined4 param_3, undefined4 param_4, undefined4 param_5, undefined4 param_6)	unknown	int	STACK:undefined4:param_1:expl;STACK:undefined4:param_2:expl;STACK:undefined4:param_3:expl;STACK:undefined4:param_4:expl;STACK:undefined4:param_5:expl;STACK:undefined4:param_6:expl	6	24	0x18	slot 5 = 24 bytes	005a40ce:mov ecx, dword ptr [esp + 0x24]=[8b4c2424]	005a4146:ret 0x18=[c21800]	COMPLETE_ENUMERATION	HIGH	ARITY	REPRODUCED_INDEPENDENTLY
0x005a46fc	CFastVB__DispatchOp_MultiplyQuaternionPair_Packed_005a46fc	int CFastVB__DispatchOp_MultiplyQuaternionPair_Packed_005a46fc(void)	b8f53bde1456e9fde6ed8702c07be6baf00c7ddf93aed1b33381da91aaaf5268	int CFastVB__DispatchOp_MultiplyQuaternionPair_Packed_005a46fc(undefined4 param_1, undefined4 param_2, undefined4 param_3)	unknown	int	STACK:undefined4:param_1:expl;STACK:undefined4:param_2:expl;STACK:undefined4:param_3:expl	3	12	0xc	slot 2 = 12 bytes	005a46fc:mov edx, dword ptr [esp + 0xc]=[8b54240c]	005a4792:ret 0xc=[c20c00]	COMPLETE_ENUMERATION	HIGH	ARITY	REPRODUCED_INDEPENDENTLY
0x005a4795	CFastVB__DispatchOp_NormalizeQuaternion_Packed_005a4795	int CFastVB__DispatchOp_NormalizeQuaternion_Packed_005a4795(void)	cfe2208d3d3965a88688fb5357ebdfd1047d5eb53c37ab05b2b9acd27d2718a7	int CFastVB__DispatchOp_NormalizeQuaternion_Packed_005a4795(undefined4 param_1, undefined4 param_2)	unknown	int	STACK:undefined4:param_1:expl;STACK:undefined4:param_2:expl	2	8	0x8	slot 1 = 8 bytes	005a4795:mov edx, dword ptr [esp + 8]=[8b542408]	005a47ef:ret 0x8=[c20800]	COMPLETE_ENUMERATION	HIGH	ARITY	REPRODUCED_INDEPENDENTLY
0x005a4836	CFastVB__DispatchOp_BuildQuaternionFromMatrix3x3_Packed_005a4836	int CFastVB__DispatchOp_BuildQuaternionFromMatrix3x3_Packed_005a4836(void)	99a16949d0b6e36be3add000e3b245dd45067d4334228d3ffd622055e1f38377	int CFastVB__DispatchOp_BuildQuaternionFromMatrix3x3_Packed_005a4836(undefined4 param_1, undefined4 param_2)	unknown	int	STACK:undefined4:param_1:expl;STACK:undefined4:param_2:expl	2	8	0x8	slot 1 = 8 bytes	005a4836:mov edx, dword ptr [esp + 8]=[8b542408]	005a4904:ret 0x8=[c20800]	COMPLETE_ENUMERATION	HIGH	ARITY	REPRODUCED_INDEPENDENTLY
0x005a4a52	CFastVB__DispatchOp_BuildQuaternionFromMatrix3x3_FeatureOverride_005a4a52	int CFastVB__DispatchOp_BuildQuaternionFromMatrix3x3_FeatureOverride_005a4a52(void)	64d763aa65722395f1985cc43351710ab4a4d666eff4a099b5f13bced92cdd4d	int CFastVB__DispatchOp_BuildQuaternionFromMatrix3x3_FeatureOverride_005a4a52(undefined4 param_1, undefined4 param_2)	unknown	int	STACK:undefined4:param_1:expl;STACK:undefined4:param_2:expl	2	8	0x8	slot 1 = 8 bytes	005a4a52:mov edx, dword ptr [esp + 8]=[8b542408]	005a4b1d:ret 0x8=[c20800]	COMPLETE_ENUMERATION	HIGH	ARITY	REPRODUCED_INDEPENDENTLY
0x005a4fee	CFastVB__DispatchOp_SlotB0_005a4fee	int CFastVB__DispatchOp_SlotB0_005a4fee(void)	161fb059021d7d7ad3d02b44fa994703a0ba8c27870ed95c8689cba612937ddf	int CFastVB__DispatchOp_SlotB0_005a4fee(undefined4 param_1, undefined4 param_2)	unknown	int	STACK:undefined4:param_1:expl;STACK:undefined4:param_2:expl	2	8	0x8	slot 1 = 8 bytes	005a4fee:mov edx, dword ptr [esp + 8]=[8b542408]	005a504f:ret 0x8=[c20800]	COMPLETE_ENUMERATION	HIGH	ARITY	REPRODUCED_INDEPENDENTLY
0x005a50f9	CFastVB__DispatchOp_BuildQuaternionFromAxisVector_Packed_005a50f9	int CFastVB__DispatchOp_BuildQuaternionFromAxisVector_Packed_005a50f9(void)	899869618d98c0e81f530d18c89691c3c77adee017fca17e048f7a75b834fda9	int CFastVB__DispatchOp_BuildQuaternionFromAxisVector_Packed_005a50f9(undefined4 param_1, undefined4 param_2)	unknown	int	STACK:undefined4:param_1:expl;STACK:undefined4:param_2:expl	2	8	0x8	slot 1 = 8 bytes	005a50f9:mov edx, dword ptr [esp + 8]=[8b542408]	005a519b:ret 0x8=[c20800]	COMPLETE_ENUMERATION	HIGH	ARITY	REPRODUCED_INDEPENDENTLY
0x005a5e09	CFastVB__DispatchOp_Matrix3x3Determinant_Packed_005a5e09	int CFastVB__DispatchOp_Matrix3x3Determinant_Packed_005a5e09(void)	80ab238dcd993a8e5199748be53e35904f8f97500f85d063058abd0ba4cf707f	int CFastVB__DispatchOp_Matrix3x3Determinant_Packed_005a5e09(undefined4 param_1)	unknown	int	STACK:undefined4:param_1:expl	1	4	0x4	slot 0 = 4 bytes	005a5e09:mov eax, dword ptr [esp + 4]=[8b442404]	005a5ed5:ret 0x4=[c20400]	COMPLETE_ENUMERATION	HIGH	ARITY	REPRODUCED_INDEPENDENTLY
