index	command	handlerVa	registryRecordVa	cohort	expectedPreName	proposedName	expectedNameSource
0	FollowWaypoint	0x00537D70	0x0064CE20	DEFAULT54	FUN_00537d70	IScript__FollowWaypoint	DEFAULT
1	FollowWaypointWait	0x00537E40	0x0064CE60	DEFAULT54	FUN_00537e40	IScript__FollowWaypointWait	DEFAULT
4	Pause	0x00537C70	0x0064CF20	DEFAULT54	FUN_00537c70	IScript__Pause	DEFAULT
5	PostEvent	0x005383C0	0x0064CF60	CLASS3_16	IScript__ScheduleEvent	IScript__PostEvent	USER_DEFINED
6	Rand	0x00538230	0x0064CFA0	DEFAULT54	FUN_00538230	IScript__Rand	DEFAULT
10	PlaySample	0x005381F0	0x0064D0A0	DEFAULT54	FUN_005381f0	IScript__PlaySample	DEFAULT
11	Print	0x00537AD0	0x0064D0E0	DEFAULT54	FUN_00537ad0	IScript__Print	DEFAULT
12	Exists	0x00536920	0x0064D120	DEFAULT54	FUN_00536920	IScript__Exists	DEFAULT
14	GetThingRef	0x005367C0	0x0064D1A0	DEFAULT54	FUN_005367c0	IScript__GetThingRef	DEFAULT
15	Activate	0x00535D50	0x0064D1E0	DEFAULT54	FUN_00535d50	IScript__Activate	DEFAULT
17	AddMessage	0x00537410	0x0064D260	MSG5	IScript__PlaySound	IScript__AddMessage	USER_DEFINED
18	GetHealth	0x00535920	0x0064D2A0	DEFAULT54	FUN_00535920	IScript__GetHealth	DEFAULT
20	GetDistToObj	0x00536070	0x0064D320	DEFAULT54	FUN_00536070	IScript__GetDistToObj	DEFAULT
23	SetObjective	0x00535ED0	0x0064D3E0	DEFAULT54	FUN_00535ed0	IScript__SetObjective	DEFAULT
24	SetAIState	0x005361A0	0x0064D420	DEFAULT54	FUN_005361a0	IScript__SetAIState	DEFAULT
25	IsA	0x00536350	0x0064D460	DEFAULT54	FUN_00536350	IScript__IsA	DEFAULT
26	Teleport	0x005369B0	0x0064D4A0	DEFAULT54	FUN_005369b0	IScript__Teleport	DEFAULT
27	PlayCutscene	0x00535890	0x0064D4E0	DEFAULT54	FUN_00535890	IScript__PlayCutscene	DEFAULT
28	PlayCharMessage	0x00537500	0x0064D520	MSG5	IScript__PlaySoundWithCallback	IScript__PlayCharMessage	USER_DEFINED
29	Deactivate	0x00535D60	0x0064D560	DEFAULT54	FUN_00535d60	IScript__Deactivate	DEFAULT
31	IsObjective	0x00535EF0	0x0064D5E0	DEFAULT54	FUN_00535ef0	IScript__IsObjective	DEFAULT
32	SetVulnerable	0x00535F70	0x0064D620	DEFAULT54	FUN_00535f70	IScript__SetVulnerable	DEFAULT
33	NumContained	0x00535D70	0x0064D660	DEFAULT54	FUN_00535d70	IScript__NumContained	DEFAULT
36	PlayCharMessageWait	0x005375F0	0x0064D720	MSG5	IScript__PlaySoundWithFade	IScript__PlayCharMessageWait	USER_DEFINED
38	GetWeaponName	0x00535670	0x0064D7A0	CLASS3_16	IScript__GetThingName	IScript__GetWeaponName	USER_DEFINED
40	GetNumUnits	0x00535590	0x0064D820	DEFAULT54	FUN_00535590	IScript__GetNumUnits	DEFAULT
41	SetAllegiance	0x00535560	0x0064D860	CLASS3_16	IScript__SetFactionForHierarchy_FromArg	IScript__SetAllegiance	USER_DEFINED
44	SetSnowDensity	0x00538380	0x0064D920	DEFAULT54	FUN_00538380	IScript__SetSnowDensity	DEFAULT
47	GetRatioBattleLineNodes	0x005353A0	0x0064D9E0	DEFAULT54	FUN_005353a0	IScript__GetRatioBattleLineNodes	DEFAULT
48	SetScript	0x00535C50	0x0064DA20	DEFAULT54	FUN_00535c50	IScript__SetScript	DEFAULT
49	GetPos	0x00536C00	0x0064DA60	DEFAULT54	FUN_00536c00	IScript__GetPos	DEFAULT
53	PlayAnimation	0x00535160	0x0064DB60	DEFAULT54	FUN_00535160	IScript__PlayAnimation	DEFAULT
55	GetMapHeight	0x00534AC0	0x0064DBE0	CLASS3_16	ScriptCommand__SampleStaticShadowHeight_00534ac0	IScript__GetMapHeight	USER_DEFINED
56	GetWaterHeight	0x00534B30	0x0064DC20	DEFAULT54	FUN_00534b30	IScript__GetWaterHeight	DEFAULT
57	GetX	0x00534B80	0x0064DC60	CLASS3_16	IScript__GetVectorX	IScript__GetX	USER_DEFINED
58	GetY	0x00534C10	0x0064DCA0	CLASS3_16	IScript__GetVectorY	IScript__GetY	USER_DEFINED
59	GetZ	0x00534CA0	0x0064DCE0	CLASS3_16	IScript__GetVectorZ	IScript__GetZ	USER_DEFINED
60	SetX	0x00534D30	0x0064DD20	DEFAULT54	FUN_00534d30	IScript__SetX	DEFAULT
62	SetZ	0x00534E50	0x0064DDA0	DEFAULT54	FUN_00534e50	IScript__SetZ	DEFAULT
63	SetGoalPoint	0x00534EE0	0x0064DDE0	DEFAULT54	FUN_00534ee0	IScript__SetGoalPoint	DEFAULT
65	GetComponent	0x005349B0	0x0064DE60	DEFAULT54	FUN_005349b0	IScript__GetComponent	DEFAULT
66	CreatePosition	0x00534910	0x0064DEA0	DEFAULT54	FUN_00534910	IScript__CreatePosition	DEFAULT
68	SetVar	0x005348F0	0x0064DF20	DEFAULT54	FUN_005348f0	IScript__SetVar	DEFAULT
69	Damage	0x005348C0	0x0064DF60	DEFAULT54	FUN_005348c0	IScript__Damage	DEFAULT
70	GameTime	0x00534770	0x0064DFA0	DEFAULT54	FUN_00534770	IScript__GameTime	DEFAULT
72	Land	0x005361D0	0x0064E020	DEFAULT54	FUN_005361d0	IScript__Land	DEFAULT
73	SpawnersEmpty	0x00535A90	0x0064E060	DEFAULT54	FUN_00535a90	IScript__SpawnersEmpty	DEFAULT
75	Surface	0x00536210	0x0064E0E0	DEFAULT54	FUN_00536210	IScript__Surface	DEFAULT
76	InitVariable	0x00536230	0x0064E120	DEFAULT54	FUN_00536230	IScript__InitVariable	DEFAULT
77	SetVariable	0x00536260	0x0064E160	DEFAULT54	FUN_00536260	IScript__SetVariable	DEFAULT
