retail_va	demo_va	current_name	mapping_basis	body_normalized_equal	body_bytes	instruction_count	raw_equal	raw_diff_bytes	retail_normalized_sha256
0x0053a140	0x0053a760	CDXBattleLine__DestructorThunk	BRACKETED_CONSTANT_DELTA	true	5	1	false	1	e8ebd827d1f36d7cfa5e5220610aa6370284d1589989363f48ac40166362d449
0x0053a150	0x0053a770	CDXBattleLine__LoadTextures	BRACKETED_CONSTANT_DELTA	true	292	83	false	33	c094d8a77e2abaacef6ec1225f0f281a3bded9eed3bd4ec770bf830c681254dc
0x0053a280	0x0053a8a0	CDXBattleLine__Setup	BRACKETED_CONSTANT_DELTA	true	39	9	false	6	9fbda4e0f5a602dd8615f3940672c4f4dfda99c929baf5c158b9038c0de99065
0x0053a2b0	0x0053a8d0	HYP__StoreDwords2_0089c850	BRACKETED_CONSTANT_DELTA	true	21	3	false	4	7db690c70ddc5a882e8d39d79b3ce278c988f3c0cbfeaf3b50b4375b4b188f78
0x0053a2d0	0x0053a8f0	HYP__StoreDwords2_0089c848	BRACKETED_CONSTANT_DELTA	true	21	3	false	4	7db690c70ddc5a882e8d39d79b3ce278c988f3c0cbfeaf3b50b4375b4b188f78
0x0053a2f0	0x0053a910	HYP__StoreDwords2_0089c840	BRACKETED_CONSTANT_DELTA	true	21	3	false	4	7db690c70ddc5a882e8d39d79b3ce278c988f3c0cbfeaf3b50b4375b4b188f78
0x0053a310	0x0053a930	HYP__StoreDwords2_0089c838	BRACKETED_CONSTANT_DELTA	true	21	3	false	4	7db690c70ddc5a882e8d39d79b3ce278c988f3c0cbfeaf3b50b4375b4b188f78
0x0053a330	0x0053a950	HYP__FpuScalarChain_0089c848	BRACKETED_CONSTANT_DELTA	true	37	7	false	12	3f57466b22adf5dfebb6e42074e55cb1c7aaff0d1cf963c19b935b8adfa6ef67
0x0053a360	0x0053a980	HYP__FpuScalarChain_0089c838	BRACKETED_CONSTANT_DELTA	true	37	7	false	12	3f57466b22adf5dfebb6e42074e55cb1c7aaff0d1cf963c19b935b8adfa6ef67
0x0053a390	0x0053a9b0	CDXBattleLine__UpdateHeightmap	BRACKETED_CONSTANT_DELTA	true	585	174	false	31	3508209532dcfbcd11be7b578d0e2d466d8fb222e405decd5d3f137258b76df6
0x0053a5e0	0x0053ac00	CDXBattleLine__BuildMesh	BRACKETED_CONSTANT_DELTA	true	841	254	false	69	2abb7017be85a9e3781ba7cd7c1f44ea7cfcd23271d9fdeeec5068f02f96b421
0x0053a930	0x0053af50	CDXBattleLine__InitMipLevels	BRACKETED_CONSTANT_DELTA	true	220	86	false	5	17f5e8e2868905d8004e0c10136885c86d5fa04aad2efc0679377d7f454b038a
0x0053aa10	0x0053b030	HYP__DynInit29_0053aa30	BRACKETED_CONSTANT_DELTA	true	29	8	false	9	e909baafbd48054f40825453b1c80bf7f76d6dfa005388fa994770bc7785ee16
0x0053aa30	0x0053b050	HYP__JmpThunk_004530a0_0053aa30	BRACKETED_CONSTANT_DELTA	true	10	2	false	6	ca34c0ed9d479badab9000276bbae84bbbea38ee18333947c45c888d68010f22
0x0053aa40	0x0053b060	CDXBattleLine__UpdateVertexBuffer	BRACKETED_CONSTANT_DELTA	true	243	94	false	6	1c3b75b8444827c13887ba63e1b4422b43049cc2c5a9a2e16876be1d3ade72cc
0x0053ab40	0x0053b160	CDXBattleLine__SetupVertex	BRACKETED_CONSTANT_DELTA	true	149	41	false	9	deebc21d63d77951325412543bfed87d1767fe8292b67c987db5d8f7e11e013a
0x0053abe0	0x0053b200	CDXBattleLine__Render	BRACKETED_CONSTANT_DELTA	true	2185	650	false	449	7812981a24f5875bec6d6c85581b24ca1c931697dae2940bd4142696ec7d3a98
0x0053b470	0x0053ba90	CDXBattleLine__RenderTriOverlayPass	BRACKETED_CONSTANT_DELTA	true	378	115	false	82	9180dfbb16d72f6ed41002fbd66d38db8d0d69279a981e84b628fa78039dd2da
