candidateId	cohort	retailEntry	retailExtentEndExclusive	retailBodyRangesHalfOpen	extentBytes	bodyBytes	paddingBytesWithinExtent	instructionCount	bodyRangeSha256	bodyBytesSha256	demoEntry	demoExtentEndExclusive	demoDelta	demoNormalizedEqual	normalizedBodySha256	currentProjectionState	currentName	semanticName	darkQuestion	admissionState
CF-001	CRT_REFERENCE_PACKAGE	0x00563C80	0x00563D97	0x00563C80-0x00563D97	279	279	0	83	200ee6b6b415dad5236cc6a0eddd5077db94e6efa40f61823f72cb8bd7c6c07e	25b23e722e7f9e97ecf78b8dea4dda8adf6015ddeba4cc32c63671ced7193a28	0x00564790	0x005648A7	+0xB10	true	0424ae6a1aa38cc4a451b81220a6a2db2fbf31c5a70471974deab0d98a76f236	ABSENT_FROM_CURRENT_8170_FUNCTION_CENSUS	NO_CURRENT_FUNCTION	UNASSIGNED	OPEN_ORIGINAL_RETAIL_SYMBOL_AND_RUNTIME_CONTRACT	PREPARATION_ONLY_NOT_ADMITTED
CF-002	CRT_REFERENCE_PACKAGE	0x00563D97	0x00564236	0x00563D97-0x00564236	1183	1183	0	412	e2be4786699fe1be768592d6b006320099e70cb9d40dc7c7d5d2c4ff3fc76196	ab9821c73eb8d16d4d33a419964e3f917c7a43e9374c8a94e2932e6a6d8d0e11	0x005648A7	0x00564D46	+0xB10	true	40f7b92199f697fe4c6dc9368d0350fc39953b8c7ec63e572688f6af813af8a3	ABSENT_FROM_CURRENT_8170_FUNCTION_CENSUS	NO_CURRENT_FUNCTION	UNASSIGNED	OPEN_ORIGINAL_RETAIL_SYMBOL_AND_RUNTIME_CONTRACT	PREPARATION_ONLY_NOT_ADMITTED
CF-003	CRT_REFERENCE_PACKAGE	0x00564236	0x00564249	0x00564236-0x00564249	19	19	0	6	f8decdf4a4e97f732c4c03a1ae94f8d2d0f268dd7b8f2745a00d1cfef87d2152	4d7b6db9e1753f93166703fd9e44b5a232a5c63ffaacf49e509c38fa1e2e58af	0x00564D46	0x00564D59	+0xB10	true	dd4bfb711376f02b09661e690d7d59d530b49c5dafe1d087be4695947b632f79	ABSENT_FROM_CURRENT_8170_FUNCTION_CENSUS	NO_CURRENT_FUNCTION	UNASSIGNED	OPEN_ORIGINAL_RETAIL_SYMBOL_AND_RUNTIME_CONTRACT	PREPARATION_ONLY_NOT_ADMITTED
CF-004	CRT_REFERENCE_PACKAGE	0x00564249	0x0056425C	0x00564249-0x0056425C	19	19	0	6	72441cbc7768c60990cc6f83d22ec1fe75ac20c38909cae10d382dfe0413bacc	3df0f6d0712ccdbe6a0cf87326cdc643a5d39ae50f0a367c09a900104f621358	0x00564D59	0x00564D6C	+0xB10	true	efc19a975ff246cb9fc7233107a5fd23948818a8dfd7ad3bcb23468bab41e74f	ABSENT_FROM_CURRENT_8170_FUNCTION_CENSUS	NO_CURRENT_FUNCTION	UNASSIGNED	OPEN_ORIGINAL_RETAIL_SYMBOL_AND_RUNTIME_CONTRACT	PREPARATION_ONLY_NOT_ADMITTED
CF-005	CRT_REFERENCE_PACKAGE	0x0056425C	0x005642A8	0x0056425C-0x005642A8	76	76	0	25	7974a8db5949f5872a10c18718153eaad9101ec4540bafd7fc782d9538fcbe16	8e34c41b0f603824ba18c284cf6416e7d6902eb04fd6f62f071f452912eec5a0	0x00564D6C	0x00564DB8	+0xB10	true	12cabe8937ec68e44d1217eaa4105d91cee4622af9f9f902c22c875ee6e43836	ABSENT_FROM_CURRENT_8170_FUNCTION_CENSUS	NO_CURRENT_FUNCTION	UNASSIGNED	OPEN_ORIGINAL_RETAIL_SYMBOL_AND_RUNTIME_CONTRACT	PREPARATION_ONLY_NOT_ADMITTED
CF-006	CRT_REFERENCE_PACKAGE	0x005642A8	0x005642F4	0x005642A8-0x005642F4	76	76	0	25	285046a8840e0dcb939c2596c07e49f8aaae23ee833aa37912d9fe01543aaed1	4646412c7934f9f5124c5bdf33c4f276e4621917b2eb0983472f429d8f856a95	0x00564DB8	0x00564E04	+0xB10	true	f5c20e7299edc450a6cc9abf25e0d3a3cb08e89f83a9e83cb236b85a800cda11	ABSENT_FROM_CURRENT_8170_FUNCTION_CENSUS	NO_CURRENT_FUNCTION	UNASSIGNED	OPEN_ORIGINAL_RETAIL_SYMBOL_AND_RUNTIME_CONTRACT	PREPARATION_ONLY_NOT_ADMITTED
CF-007	CRT_REFERENCE_PACKAGE	0x005642F4	0x00564328	0x005642F4-0x00564328	52	52	0	18	f42d5a6da62def462f48fde698202a55608ecdfe7b74bef7a78bd2767c63d38f	a600f5751d9394d97048771ce6b4d5d9f861b66bb857d7c11ff14a2fec97d69a	0x00564E04	0x00564E38	+0xB10	true	f21ca39e2cd8d215be08ade83a4ea7564f10d3018aeb0559c8735472c2db70b8	ABSENT_FROM_CURRENT_8170_FUNCTION_CENSUS	NO_CURRENT_FUNCTION	UNASSIGNED	OPEN_ORIGINAL_RETAIL_SYMBOL_AND_RUNTIME_CONTRACT	PREPARATION_ONLY_NOT_ADMITTED
CF-008	CRT_REFERENCE_PACKAGE	0x00564328	0x0056435C	0x00564328-0x0056435C	52	52	0	18	8efff1a150e081dd128282e7c2b3d310ca2c2c0437b011cafe58f3ce847731f0	754cead3ec2faa36d2bfb8cac08ddd03d65dcab678b78a5def2c60c61971e143	0x00564E38	0x00564E6C	+0xB10	true	3a8397c4c1c7f0501d23c1f8f76a898dc35ec2f7f894fdf16b2a5f27efd91b77	ABSENT_FROM_CURRENT_8170_FUNCTION_CENSUS	NO_CURRENT_FUNCTION	UNASSIGNED	OPEN_ORIGINAL_RETAIL_SYMBOL_AND_RUNTIME_CONTRACT	PREPARATION_ONLY_NOT_ADMITTED
CF-009	CRT_REFERENCE_PACKAGE	0x0056435C	0x005643A8	0x0056435C-0x005643A8	76	76	0	25	ff96396ca0e6c180d78e5ae24234ecdbcce9db379602d7679a49453d7fa787dd	879c0cc020aee4343f06b64e4155b7120bb160a0cff189654484e5e092a8252d	0x00564E6C	0x00564EB8	+0xB10	true	b520c9768f3a2585abb23cfb88cc02dd752df55a3941d7b1627987e38d143f6c	ABSENT_FROM_CURRENT_8170_FUNCTION_CENSUS	NO_CURRENT_FUNCTION	UNASSIGNED	OPEN_ORIGINAL_RETAIL_SYMBOL_AND_RUNTIME_CONTRACT	PREPARATION_ONLY_NOT_ADMITTED
CF-010	CRT_REFERENCE_PACKAGE	0x005643A8	0x005643F4	0x005643A8-0x005643F4	76	76	0	25	1f54a81959a376d1392c7c590119008d25b0449e66f2e1501ab0a257f19af15d	572bfcde4606bf491b0245447818fe1c74f397e9ebb78aaf26568fb023fe26ca	0x00564EB8	0x00564F04	+0xB10	true	aedfdb89b8778a66fed6adce653bb4551c0bf87b782e99c0d361515b2e7cb594	ABSENT_FROM_CURRENT_8170_FUNCTION_CENSUS	NO_CURRENT_FUNCTION	UNASSIGNED	OPEN_ORIGINAL_RETAIL_SYMBOL_AND_RUNTIME_CONTRACT	PREPARATION_ONLY_NOT_ADMITTED
CF-011	CRT_REFERENCE_PACKAGE	0x005643F4	0x00564428	0x005643F4-0x00564428	52	52	0	18	3951d4f194181be77f233ff3225ad865b69e54d7f31ae6fda8094275900b1758	92ccc8d82048a5fe7c8a4206ec7436a198c85c572fff0f17d69064f508ebe83a	0x00564F04	0x00564F38	+0xB10	true	f21ca39e2cd8d215be08ade83a4ea7564f10d3018aeb0559c8735472c2db70b8	ABSENT_FROM_CURRENT_8170_FUNCTION_CENSUS	NO_CURRENT_FUNCTION	UNASSIGNED	OPEN_ORIGINAL_RETAIL_SYMBOL_AND_RUNTIME_CONTRACT	PREPARATION_ONLY_NOT_ADMITTED
CF-012	CRT_REFERENCE_PACKAGE	0x00564428	0x0056445C	0x00564428-0x0056445C	52	52	0	18	0b180ae0599429ab831b84a5188a87bf549bda360ef26edccd043e72909772a8	33bda7724edc7da65a3f61391f09122614d3823482bba553069045a469ddab31	0x00564F38	0x00564F6C	+0xB10	true	3a8397c4c1c7f0501d23c1f8f76a898dc35ec2f7f894fdf16b2a5f27efd91b77	ABSENT_FROM_CURRENT_8170_FUNCTION_CENSUS	NO_CURRENT_FUNCTION	UNASSIGNED	OPEN_ORIGINAL_RETAIL_SYMBOL_AND_RUNTIME_CONTRACT	PREPARATION_ONLY_NOT_ADMITTED
CF-013	CRT_REFERENCE_PACKAGE	0x0056445C	0x00564471	0x0056445C-0x00564471	21	21	0	8	40fd9db7079ee80cee00b12afab53c507eea96161ebb7d42575b04505ee01417	45f779a594c2eedb14c937d7ece2fa9b980bbced7ce6fa5d7d94bdfdbed21cdd	0x00564F6C	0x00564F81	+0xB10	true	ae96578a7b9af9091abe04bdfa3a1208d8fa348afedc7b39754a8fbd7799ec0b	ABSENT_FROM_CURRENT_8170_FUNCTION_CENSUS	NO_CURRENT_FUNCTION	UNASSIGNED	OPEN_ORIGINAL_RETAIL_SYMBOL_AND_RUNTIME_CONTRACT	PREPARATION_ONLY_NOT_ADMITTED
CF-014	CRT_REFERENCE_PACKAGE	0x00564471	0x00564486	0x00564471-0x00564486	21	21	0	8	86107ca9fc6aecaa86506d49b78d0e1cef1b1a78e44c053f11224c924e73ff2f	acb142e9d122adef4a48fdcaa0ca8e61bf19ad44ad57bd83ea5ae4ff21d0df9f	0x00564F81	0x00564F96	+0xB10	true	6bb0b61eeba847a20bc03292ad8e457565fff4ab1021cf6ee4bece476766bece	ABSENT_FROM_CURRENT_8170_FUNCTION_CENSUS	NO_CURRENT_FUNCTION	UNASSIGNED	OPEN_ORIGINAL_RETAIL_SYMBOL_AND_RUNTIME_CONTRACT	PREPARATION_ONLY_NOT_ADMITTED
CF-015	PACKED_MATH_QUEUE_A	0x005B87C0	0x005B88A2	0x005B87C0-0x005B88A2	226	226	0	54	9eee6a1411088a8c3b8ef2a54d6b04566a489a92fc24da44a6bbef19f8802357	ed0cba13f237c0ea02aad7925f12b1b1c31b063ad75307dbfa519f82e231a1e0	0x005B8EC0	0x005B8FA2	+0x700	true	84e2623748484e9a13b1233495ae81d1aae8840d196e05ceac3017c1924120a0	ABSENT_FROM_CURRENT_8170_FUNCTION_CENSUS	NO_CURRENT_FUNCTION	UNASSIGNED	OPEN_EXACT_LIBRARY_PARTITION_SYMBOL_AND_RUNTIME_CONTRACT	PREPARATION_ONLY_NOT_ADMITTED
CF-016	PACKED_MATH_QUEUE_A	0x005B88C0	0x005B89A9	0x005B88C0-0x005B89A9	233	233	0	54	3a0cd43c70dde7e9b5c39b5e850717390bf0a4b5d5465ab0fccfbee5a5ea8fa5	f29e2951589652f9d1ef4770ae278861dc20e1fd991c60100872c4faf51bd97c	0x005B8FC0	0x005B90A9	+0x700	true	d705e554114569e2635eb48575d4ea405c8b1efc0b9cfa64d44db5e9f00f2557	ABSENT_FROM_CURRENT_8170_FUNCTION_CENSUS	NO_CURRENT_FUNCTION	UNASSIGNED	OPEN_EXACT_LIBRARY_PARTITION_SYMBOL_AND_RUNTIME_CONTRACT	PREPARATION_ONLY_NOT_ADMITTED
CF-017	PACKED_MATH_QUEUE_A	0x005B89C0	0x005B89D1	0x005B89C0-0x005B89D1	17	17	0	4	670e3e3d676059c0d325ef4740f3e77bdd37e4037c2c945c3b8dab23b63b11bb	79166a85972e04a7a47ef825a18e0a60c253282e7ac9c61f4fafbf0a48958bc9	0x005B90C0	0x005B90D1	+0x700	true	9c24346a401cdb33a8531f8a56cfffeec13b3e119b0b0c046b18d9574065a42d	ABSENT_FROM_CURRENT_8170_FUNCTION_CENSUS	NO_CURRENT_FUNCTION	UNASSIGNED	OPEN_EXACT_LIBRARY_PARTITION_SYMBOL_AND_RUNTIME_CONTRACT	PREPARATION_ONLY_NOT_ADMITTED
CF-018	PACKED_MATH_QUEUE_A	0x005B89E0	0x005B8AB5	0x005B89E0-0x005B8AB5	213	213	0	48	07281316c0b3ee17a37a15f33d5ee2c22e3e49385f7386af0f811a801b956a8a	f09a7b6ccf3f70cb86753ec560ceec942effcfe0efa74aaf4039f5bf39f42b88	0x005B90E0	0x005B91B5	+0x700	true	f9210ba63a0e42ca8f0187b921a8dac43ad3a8db4f7bec8f0aa1b9225d1aff60	ABSENT_FROM_CURRENT_8170_FUNCTION_CENSUS	NO_CURRENT_FUNCTION	UNASSIGNED	OPEN_EXACT_LIBRARY_PARTITION_SYMBOL_AND_RUNTIME_CONTRACT	PREPARATION_ONLY_NOT_ADMITTED
CF-019	PACKED_MATH_QUEUE_A	0x005B8AC0	0x005B8AD8	0x005B8AC0-0x005B8AD8	24	24	0	7	d26443ccab9252e67892b34debd6f073c192c11e1fabfbcadaa25bc3574c3607	2101c9c39b782010130fe8927b850a39862e3fb22c400dc0d17611c369f7e7ee	0x005B91C0	0x005B91D8	+0x700	true	2101c9c39b782010130fe8927b850a39862e3fb22c400dc0d17611c369f7e7ee	ABSENT_FROM_CURRENT_8170_FUNCTION_CENSUS	NO_CURRENT_FUNCTION	UNASSIGNED	OPEN_EXACT_LIBRARY_PARTITION_SYMBOL_AND_RUNTIME_CONTRACT	PREPARATION_ONLY_NOT_ADMITTED
CF-020	PACKED_MATH_QUEUE_A	0x005B8AE0	0x005B8AE8	0x005B8AE0-0x005B8AE8	8	8	0	2	ad5a556dda94d066e518a4e816a1eab2107bdb5d400df085ce7b857d33cc2bdc	25b5164ab8b0ee88dc38acfa78dcb3fda86113334f649b23075329193d319e6d	0x005B91E0	0x005B91E8	+0x700	true	780e25990f4757124f9d23c3b607727f7f49d878e16fb771b08f2febe415f7da	ABSENT_FROM_CURRENT_8170_FUNCTION_CENSUS	NO_CURRENT_FUNCTION	UNASSIGNED	OPEN_EXACT_LIBRARY_PARTITION_SYMBOL_AND_RUNTIME_CONTRACT	PREPARATION_ONLY_NOT_ADMITTED
