address	currentName	bodyBytes	bodySha256	disposition	stableObjectBasename	v24Objects	v25Objects	v26Objects	v27Objects	v28Objects	v29Objects	v30Objects	v31Objects
0x005a3980	CFastVB__DispatchOp_TransformVec4ArrayByMatrix4_Alt_005a3980	149	257f2f5da16a34209f3f29af2b966dcd5899ad3b943073450c0b49d2f86726b6	STABLE_MULTI_OBJECT_ALIAS_ALL_EIGHT	<NONE>	d3dxplane.obj,d3dxvec4.obj	d3dxplane.obj,d3dxvec4.obj	d3dxplane.obj,d3dxvec4.obj	d3dxplane.obj,d3dxvec4.obj	d3dxplane.obj,d3dxvec4.obj	d3dxplane.obj,d3dxvec4.obj	d3dxplane.obj,d3dxvec4.obj	d3dxplane.obj,d3dxvec4.obj
0x005a40c0	CFastVB__DispatchOp_TransformVec3ArrayByMatrix4_WithTranslation_005a40c0	137	a5ae3da7491edf101ad075bc0c027b84514a01a71b3b0586da9e87507c716605	STABLE_SINGLE_OBJECT_ALL_EIGHT	d3dxvec3.obj	d3dxvec3.obj	d3dxvec3.obj	d3dxvec3.obj	d3dxvec3.obj	d3dxvec3.obj	d3dxvec3.obj	d3dxvec3.obj	d3dxvec3.obj
0x005a5bd7	CFastVB__DispatchOp_MultiplyMatrix4x4_Packed_MMX_Dispatch_005a5bd7	562	c4a9b44401f014cb18140a458292a02753bb9a0631a798b4e3a5d97e8b21aaa2	STABLE_SINGLE_OBJECT_ALL_EIGHT	x3d_matx.obj	x3d_matx.obj	x3d_matx.obj	x3d_matx.obj	x3d_matx.obj	x3d_matx.obj	x3d_matx.obj	x3d_matx.obj	x3d_matx.obj
0x005a5e09	CFastVB__DispatchOp_Matrix3x3Determinant_Packed_005a5e09	207	73a73a6bdcd3dc31f767e8690ec825934485f03f80b3cc337b74eb045dcf8de5	STABLE_SINGLE_OBJECT_ALL_EIGHT	x3d_matx.obj	x3d_matx.obj	x3d_matx.obj	x3d_matx.obj	x3d_matx.obj	x3d_matx.obj	x3d_matx.obj	x3d_matx.obj	x3d_matx.obj
0x005a6250	CFastVB__DispatchOp_TransposeMatrix4x4_005a6250	111	286f34c5fc6d79f237149f9c3a8579314a3a03f834f5b5e648fcde8cb74faefe	STABLE_SINGLE_OBJECT_ALL_EIGHT	x3d_matx.obj	x3d_matx.obj	x3d_matx.obj	x3d_matx.obj	x3d_matx.obj	x3d_matx.obj	x3d_matx.obj	x3d_matx.obj	x3d_matx.obj
0x005a923f	CFastVB__DispatchOp_Slot10_005a923f	1016	bc970c9bb3df4a15851e5a11e218c879ca8e53e67e75dd5efd3d3bd66e7dc86d	STABLE_SINGLE_OBJECT_ALL_EIGHT	x3d_matx.obj	x3d_matx.obj	x3d_matx.obj	x3d_matx.obj	x3d_matx.obj	x3d_matx.obj	x3d_matx.obj	x3d_matx.obj	x3d_matx.obj
0x005a9abe	CFastVB__DispatchOp_SlotCC_005a9abe	113	a8a32de3edbb9406ea72215f383110f5381147b906b295eeefb7d845102b55a0	STABLE_SINGLE_OBJECT_ALL_EIGHT	x3d_vec3.obj	x3d_vec3.obj	x3d_vec3.obj	x3d_vec3.obj	x3d_vec3.obj	x3d_vec3.obj	x3d_vec3.obj	x3d_vec3.obj	x3d_vec3.obj
0x005aa8c5	CFastVB__DispatchOp_SlotC0_005aa8c5	73	e544ec7721f82e5b46b8552708f41d27b72ebd665fd43fd173bccc7e6241280c	STABLE_SINGLE_OBJECT_ALL_EIGHT	x3d_vec2.obj	x3d_vec2.obj	x3d_vec2.obj	x3d_vec2.obj	x3d_vec2.obj	x3d_vec2.obj	x3d_vec2.obj	x3d_vec2.obj	x3d_vec2.obj
0x005aac0f	CFastVB__DispatchOp_SlotD8_005aac0f	113	1a165bbd4dba6c57e32b56b7275514c222ba703d47077933812ccf0e2b8ce126	STABLE_SINGLE_OBJECT_ALL_EIGHT	x3d_vec4.obj	x3d_vec4.obj	x3d_vec4.obj	x3d_vec4.obj	x3d_vec4.obj	x3d_vec4.obj	x3d_vec4.obj	x3d_vec4.obj	x3d_vec4.obj
0x005ab06f	CFastVB__DispatchOp_TransformPackedVec4ByMatrix4_005ab06f	126	5cf6a8ace08e9b13e3206c5b83dceff978410ed5e8fc6a1f177cdb2c6d90eabd	STABLE_SINGLE_OBJECT_ALL_EIGHT	x3d_plane.obj	x3d_plane.obj	x3d_plane.obj	x3d_plane.obj	x3d_plane.obj	x3d_plane.obj	x3d_plane.obj	x3d_plane.obj	x3d_plane.obj
0x005aba90	CDXTexture__SelectNextScanTableForProgress	77	535c631cd152b0c7bf72c893abf4bad9984edd5ab65e52e1ec174ea758d4e3c2	STABLE_SINGLE_OBJECT_ALL_EIGHT	jdcoefct.obj	jdcoefct.obj	jdcoefct.obj	jdcoefct.obj	jdcoefct.obj	jdcoefct.obj	jdcoefct.obj	jdcoefct.obj	jdcoefct.obj
0x005acf90	CDXTexture__FinalizeScanBitstreamState	103	d4e2a969aade24849f1592e3a5fa2375f360198d675b4af160cb34e0116d7f49	STABLE_SINGLE_OBJECT_ALL_EIGHT	jdhuff.obj	jdhuff.obj	jdhuff.obj	jdhuff.obj	jdhuff.obj	jdhuff.obj	jdhuff.obj	jdhuff.obj	jdhuff.obj
0x005b2613	CDXTexture__Adler32_Update	283	ea16a1a4e6f1e2126b66e5523c23c3973b9a8c9744a610f5d63ccde490b1198e	STABLE_SINGLE_OBJECT_ALL_EIGHT	adler32.obj	adler32.obj	adler32.obj	adler32.obj	adler32.obj	adler32.obj	adler32.obj	adler32.obj	adler32.obj
0x005bcfa0	CDXTexture__InflateCodesState_Create	51	3cb94a09c64174a3c85b40704768723d499b032ac4eeef6bd33541a58284bb98	STABLE_SINGLE_OBJECT_ALL_EIGHT	infcodes.obj	infcodes.obj	infcodes.obj	infcodes.obj	infcodes.obj	infcodes.obj	infcodes.obj	infcodes.obj	infcodes.obj
0x005bda5e	CDXTexture__InflateOutputWindowFlush	273	9221d92e210143fd41569329fe7d23f4ad7adb432718a946b4646afda938ce8c	STABLE_SINGLE_OBJECT_ALL_EIGHT	infutil.obj	infutil.obj	infutil.obj	infutil.obj	infutil.obj	infutil.obj	infutil.obj	infutil.obj	infutil.obj
0x005d06d0	__aullshr	31	909b1a39b7337f2fa8d8626167f578bf92643cf163ee37f401893b5b813db166	STABLE_SINGLE_OBJECT_ALL_EIGHT	ullshr.obj	ullshr.obj	ullshr.obj	ullshr.obj	ullshr.obj	ullshr.obj	ullshr.obj	ullshr.obj	ullshr.obj
0x005d06f0	CRT__InitSehFrameNoop	31	7f8b0849af9dd6f8eaa8c1e19d51a2bbb461b2c4c14fa3f213efa88cd3a7fc95	STABLE_SINGLE_OBJECT_ALL_EIGHT	ehprolog.obj	ehprolog.obj	ehprolog.obj	ehprolog.obj	ehprolog.obj	ehprolog.obj	ehprolog.obj	ehprolog.obj	ehprolog.obj
