addr	currentRanges	proposedRanges	subtype	terminatorVa	terminatorBytes	deltaBytes	byteProof	agreesWithNote
0x004160b0	004160b0-004160dc	004160b0-0041619b	EXTEND_TAIL	00416199	c20400	191	004160dd-0041619b=e8eec9feff6a1168783a62006a176a30b9f03d9c00e8e92f	YES
0x00417190	00417190-00417346	00417190-0041738e	EXTEND_TAIL	0041738c	c20400	72	00417347-0041738e=e8440000008b4e308b3e6a016a018b1168dc3a6200ff5224	PARTIAL
0x00422440	00422440-0042244d	00422440-00422557	EXTEND_TAIL	00422555	c20400	266	0042244e-00422557=6489250000000053558b6c241856578bf155c78580000000	PARTIAL
0x0042d080	0042d080-0042d0a5;0042d0a9-0042d0ab	0042d080-0042d0ab	FILL_HOLE	0042d0a6	83c408	3	0042d0a6-0042d0a8=83c408	PARTIAL
0x00437490	00437490-00437a39;00437a5c-00437c64	00437490-00437c64	FILL_HOLE	00437a5b	c3	34	00437a3a-00437a5b=e8a116110085c00f841b0200..c7400800000000c3	YES
0x0044fa90	0044fa90-0044fc20;0044fc4b-0044fd08	0044fa90-0044fd08	FILL_HOLE	0044fc46	e9a6000000	42	0044fc21-0044fc4a=8d8c2430010000e8d38f0f00..0033c0e9a6000000	YES
0x00450010	00450010-0045004a	00450010-0045008b	EXTEND_TAIL	00450089	c20400	65	0045004b-0045008b=d825c0855d00d95614d81d6c855d00dfe0f6c4017407c746	YES
0x0045ffa0	0045ffa0-0046001c	0045ffa0-00460041	EXTEND_TAIL	0046003f	c20400	37	0046001d-00460041=c7837401000000000041c78388010000000048c289838c01	PARTIAL
0x0046ff10	0046ff10-00470049;0047005d-004700f5	0046ff10-004700f5	FILL_HOLE	00470058	e953ffffff	19	0047004a-0047005c=c7442418000080bf6a008d4c241ce953ffffff	YES
0x00472d50	00472d50-00472e29	00472d50-00472e4f	INCLUDE_JUMP_OR_SEH_TABLE	00472e2a	8bff6f2d4700db2d	38	00472e2a-00472e4f=8bff6f2d4700db2d4700ea2d4700fe2d4700272e47000001	PARTIAL
0x0047d750	0047d750-0047e18d	0047d750-0047e19f	INCLUDE_JUMP_OR_SEH_TABLE	0047e18e	8bff45dd4700eedd	18	0047e18e-0047e19f=8bff45dd4700eedd47009bdd47002fde4700	YES
0x0048a570	0048a570-0048ac59	0048a570-0048ac6b	INCLUDE_JUMP_OR_SEH_TABLE	0048ac5a	8bff70a7480046a7	18	0048ac5a-0048ac6b=8bff70a7480046a7480058a7480046a74800	YES
0x004aab90	004aab90-004aad70;004aad8e-004ab328	004aab90-004ab328	FILL_HOLE	004aad89	e982050000	29	004aad71-004aad8d=85ed74128bcde8c48af7ff55..0033c0e982050000	YES
0x004ac4a0	004ac4a0-004ac6af;004ac6b1-004ac6de	004ac4a0-004ac6de	FILL_HOLE	004ac6b0	24	1	004ac6b0-004ac6b0=24	YES
0x004c4100	004c4100-004c4144;004c41e4-004c4398	004c4100-004c4398	FILL_HOLE	004c41e2	eb27	159	004c4145-004c41e3=e8b49a09008b4b7825ff0000..242889542438eb27	YES
0x004d9f30	004d9f30-004da4bd;004da89e-004daa02	004d9f30-004daa02	FILL_HOLE	004da89c	33f6	992	004da4be-004da89d=8b95f0000000d9421cdfbc24..01000000eb0233f6	PARTIAL
0x004e6ce0	004e6ce0-004e6cfc;004e6d23-004e6d37	004e6ce0-004e6d37	FILL_HOLE	004e6d21	ebc8	38	004e6cfd-004e6d22=e8ceeeffff8b8bb400000049..00e8ff240600ebc8	PARTIAL
0x004f21f0	004f21f0-004f22e7;004f2324-004f2496	004f21f0-004f2496	FILL_HOLE	004f231f	e95b010000	60	004f22e8-004f2323=8d8c24380100005168f42d63..5a0500e95b010000	YES
0x0051aaf0	0051aaf0-0051abfb;0051ac0e-0051ac29	0051aaf0-0051ac29	FILL_HOLE	0051ac0b	c20800	18	0051abfc-0051ac0d=b958d789006a006a0ae8d6bef4ff5ec20800	YES
0x005216c0	005216c0-005216de	005216c0-00521a59	EXTEND_TAIL	00521a59	c3	891	005216df-00521a59=33db5657895d14895d18895d1c895d20c7452400007ac4a1	PARTIAL
