retail_va	demo_va	current_name	name_source	semantic_owner	semantic_owner_basis	owner_classes	placement_count	retail_body_min	retail_body_max	retail_body_ranges	retail_body_bytes	retail_instruction_bytes	retail_noninstruction_body_bytes	retail_instruction_count	demo_compared_window_bytes	demo_decoded_instruction_bytes	demo_instruction_count	full_demo_decode	shape_difference_count	normalized_diff_instruction_count	normalized_diff_byte_count	raw_diff_instruction_count	raw_diff_byte_count	exact_zero_normalized	retail_instruction_stream_raw_sha256	demo_instruction_stream_raw_sha256	retail_instruction_stream_normalized_sha256	demo_instruction_stream_normalized_sha256	retail_body_digest_ghidra
0x004011e0	0x004011f0	HYP__CActor__Init	USER_DEFINED	CActor	validated-name-prefix	CActor	1	0x004011e0	0x004013c4	1	485	485	0	148	485	485	148	true	0	0	0	6	11	true	434f5fd6f9e3a04274452dbdbf4cc04f21bc514f25cdeab76e03eff3f6875ad4	5550013eddb426be84e1822db69e4d2b6265c1278b9ca39e7bd05837901cd190	f6e0af867bdaa1ae3035b583812f0aa4de0e8de735df453229cd7dbccfa0321d	f6e0af867bdaa1ae3035b583812f0aa4de0e8de735df453229cd7dbccfa0321d	74768a5019003baf53f959a0c8e81f29b723fcaf2ba1282aeb3c6318c9c7e2f9
0x004013f0	0x00401400	SharedVFunc__ReturnColorFF000080_004013f0	USER_DEFINED	shared:CActor|CAnimal|CBuildingNamedMesh|CComplexThing|CCutscene|CDebris|CEscapePod|CExplosion|CFeature|CFrontEndThing|CHazard|CInfluenceNode|CLevelScriptThing|CMissile|CNamedMesh|CNormalSquad|CRelaxedSquad|CRocket|CRound|CSafeSide|CShell|CSpawnPoint|CSpawnerThing|CSphereTrigger|CSquad|CStart|CThing|CTree|CWaypoint|CWingmanStart	placement-class-set	CActor|CAnimal|CBuildingNamedMesh|CComplexThing|CCutscene|CDebris|CEscapePod|CExplosion|CFeature|CFrontEndThing|CHazard|CInfluenceNode|CLevelScriptThing|CMissile|CNamedMesh|CNormalSquad|CRelaxedSquad|CRocket|CRound|CSafeSide|CShell|CSpawnPoint|CSpawnerThing|CSphereTrigger|CSquad|CStart|CThing|CTree|CWaypoint|CWingmanStart	30	0x004013f0	0x004013f5	1	6	6	0	2	6	6	2	true	0	0	0	0	0	true	52bdc561eca24854ebcd46e41bde681585ddf9ad69bcb9282bef38b18dee3edc	52bdc561eca24854ebcd46e41bde681585ddf9ad69bcb9282bef38b18dee3edc	fc9727eae305b45d1df8a58191610014e9104fa57b472dca0dbbded60cb84d82	fc9727eae305b45d1df8a58191610014e9104fa57b472dca0dbbded60cb84d82	05c4e67d7602f45c4d7cf5d4c3fd61a6f1d56d30df93a20c2c18d98985e3de67
0x00401400	0x00401410	CThing__ForwardField28Slot18OrFallbackFloat_00401400	USER_DEFINED	CThing	validated-name-prefix	CActor|CAirUnit|CAnimal|CBattleEngine|CBigAirUnit|CBoat|CBomber|CBuilding|CBuildingNamedMesh|CCannon|CCarrier|CCarver|CComplexThing|CComponent|CCutscene|CDebris|CDiveBomber|CDropship|CEscapePod|CExplosion|CFeature|CFenrir|CGillM|CGillMHead|CGroundAttackAircraft|CGroundUnit|CGroundVehicle|CHazard|CHiveBoss|CInfantryUnit|CInfluenceNode|CLevelScriptThing|CMech|CMine|CMissile|CNamedMesh|CNormalSquad|CPlane|CPod|CRadar|CRelaxedSquad|CRocket|CRound|CSafeSide|CSentinel|CShell|CSimpleBuilding|CSpawnPoint|CSpawnerThing|CSphereTrigger|CSquad|CStart|CSubmarine|CTentacle|CThing|CThunderHead|CTree|CUnit|CWarspite|CWarspiteDome|CWaypoint|CWingmanStart	62	0x00401400	0x00401412	1	19	19	0	7	19	19	7	true	0	0	0	1	1	true	58ed09c037d01b7d17427faa9ea9a0d3261988c9cc187241c2c3970bc19bb720	101150a9a14f462caa0e861508dc03b98abecf8f57b237eb143c6cd4ba4b4c3b	d5bc2bca29322836b94b69b56a51eee450827803d3291a4e69acf2b76324686b	d5bc2bca29322836b94b69b56a51eee450827803d3291a4e69acf2b76324686b	59893653bb40eb22cca8ef64dab603ec27ab530f2e8d870f1ee0fe4117ff8aee
0x00401420	0x00401470	CThing__GetCueFactorFromRenderThing	USER_DEFINED	CThing	validated-name-prefix	CActor|CAirUnit|CAnimal|CBattleEngine|CBigAirUnit|CBoat|CBomber|CBuilding|CBuildingNamedMesh|CCannon|CCarrier|CCarver|CComplexThing|CComponent|CCutscene|CDebris|CDiveBomber|CDropship|CEscapePod|CExplosion|CFeature|CFenrir|CGillM|CGillMHead|CGroundAttackAircraft|CGroundUnit|CGroundVehicle|CHazard|CHiveBoss|CInfantryUnit|CInfluenceNode|CLevelScriptThing|CMech|CMine|CMissile|CNamedMesh|CNormalSquad|CPlane|CPod|CRadar|CRelaxedSquad|CRocket|CRound|CSafeSide|CSentinel|CShell|CSimpleBuilding|CSpawnPoint|CSpawnerThing|CSphereTrigger|CSquad|CStart|CSubmarine|CTentacle|CThing|CThunderHead|CTree|CUnit|CWarspite|CWarspiteDome|CWaypoint|CWingmanStart	62	0x00401420	0x00401431	1	18	18	0	7	18	18	7	true	0	0	0	1	1	true	8b5c8027f5f269dfd5fb4d71e538a451025179e5a8ec19f8a43fccb3840e4484	fb9d4b9186ca5ea0121bcbda9dad22fa9cdd30ca57e7e819f0df2fc8a70cffaa	aa05f673ebfe9f602ad01039d16ba4bec487d712e139be007a783908a7158e12	aa05f673ebfe9f602ad01039d16ba4bec487d712e139be007a783908a7158e12	dae26ba43c02bd4bc1caa0f1e13616069108abfe01f945018393faeb255eb657
0x00401440	0x00401490	CThing__GetRenderRadiusFromRenderThing	USER_DEFINED	CThing	validated-name-prefix	CActor|CAirUnit|CAnimal|CBigAirUnit|CBoat|CBomber|CBuilding|CBuildingNamedMesh|CCannon|CCarrier|CCarver|CComplexThing|CComponent|CCutscene|CDebris|CDiveBomber|CDropship|CFeature|CGillM|CGillMHead|CGroundAttackAircraft|CGroundUnit|CGroundVehicle|CHiveBoss|CInfantryUnit|CLevelScriptThing|CMech|CMine|CNamedMesh|CPlane|CPod|CSafeSide|CSentinel|CShell|CSimpleBuilding|CSpawnPoint|CSpawnerThing|CStart|CSubmarine|CTentacle|CThing|CThunderHead|CTree|CUnit|CWarspite|CWarspiteDome|CWaypoint|CWingmanStart	48	0x00401440	0x00401452	1	19	19	0	7	19	19	7	true	0	0	0	1	1	true	9266b83a009ea0aaa955ba21f8a1557d9b6a1e26465a897a39c0b9b413d5e017	c4b72aed23bb2d17b7c4828752b65b3a1f1569261492926610605005c4057026	d5bc2bca29322836b94b69b56a51eee450827803d3291a4e69acf2b76324686b	d5bc2bca29322836b94b69b56a51eee450827803d3291a4e69acf2b76324686b	f723503528383e85e9c49c3a06449d00c85478ef479f98e0ea7db0926cfec95e
0x00401460	0x004014b0	CThing__MakeVisible	USER_DEFINED	CThing	validated-name-prefix	CActor|CAirUnit|CAnimal|CBattleEngine|CBigAirUnit|CBoat|CBomber|CBuilding|CBuildingNamedMesh|CCannon|CCarrier|CCarver|CComplexThing|CComponent|CCutscene|CDebris|CDiveBomber|CDropship|CEscapePod|CExplosion|CFeature|CFenrir|CGillM|CGillMHead|CGroundAttackAircraft|CGroundUnit|CGroundVehicle|CHazard|CHiveBoss|CInfantryUnit|CInfluenceNode|CLevelScriptThing|CMech|CMine|CMissile|CNamedMesh|CPlane|CPod|CRadar|CRelaxedSquad|CRocket|CRound|CSafeSide|CSentinel|CShell|CSimpleBuilding|CSpawnPoint|CSpawnerThing|CSphereTrigger|CSquad|CStart|CSubmarine|CTentacle|CThing|CThunderHead|CTree|CUnit|CWarspite|CWarspiteDome|CWaypoint|CWingmanStart	61	0x00401460	0x00401464	1	5	5	0	2	5	5	2	true	0	0	0	0	0	true	3b0be8e06ce068628abd47b6b6d2d19895f79fc8594a54ee2a5362ce4729c853	3b0be8e06ce068628abd47b6b6d2d19895f79fc8594a54ee2a5362ce4729c853	09e902376d47351773b9d81db54416a5e05438132ae867664a2835ba984f2260	09e902376d47351773b9d81db54416a5e05438132ae867664a2835ba984f2260	29d37734331dae9e49b764d18dd56ef76456173b2136000291ad6295eda05bfa
0x00401470	0x004014c0	CThing__MakeInvisible	USER_DEFINED	CThing	validated-name-prefix	CActor|CAirUnit|CAnimal|CBattleEngine|CBigAirUnit|CBoat|CBomber|CBuilding|CBuildingNamedMesh|CCannon|CCarrier|CCarver|CComplexThing|CComponent|CCutscene|CDebris|CDiveBomber|CDropship|CEscapePod|CExplosion|CFeature|CFenrir|CGillM|CGillMHead|CGroundAttackAircraft|CGroundUnit|CGroundVehicle|CHazard|CHiveBoss|CInfantryUnit|CInfluenceNode|CLevelScriptThing|CMech|CMine|CMissile|CNamedMesh|CPlane|CPod|CRadar|CRelaxedSquad|CRocket|CRound|CSafeSide|CSentinel|CShell|CSimpleBuilding|CSpawnPoint|CSpawnerThing|CSphereTrigger|CSquad|CStart|CSubmarine|CTentacle|CThing|CThunderHead|CTree|CUnit|CWarspite|CWarspiteDome|CWaypoint|CWingmanStart	61	0x00401470	0x00401474	1	5	5	0	2	5	5	2	true	0	0	0	0	0	true	0b5646e3ebd4d4b8a1899f00d2cd47bb66f90a17fd0d327b103d61f3f98c87c7	0b5646e3ebd4d4b8a1899f00d2cd47bb66f90a17fd0d327b103d61f3f98c87c7	25ded32f38735e4d7f74401b4a4f4c7f81c8de1ea15711050ea67e01e5e4a2e6	25ded32f38735e4d7f74401b4a4f4c7f81c8de1ea15711050ea67e01e5e4a2e6	f8d55e26ccadee90ed0971f874653b349ec2f64592af9f0ee51613631a635214
0x00401480	0x004014d0	SharedVFunc__ReturnTrue_00401480	USER_DEFINED	shared:CActor|CAirUnit|CAnimal|CBigAirUnit|CBoat|CBomber|CBuilding|CBuildingNamedMesh|CCannon|CCarrier|CCarver|CComplexThing|CConfirmMenuOptionsList|CConsoleCommandMenu|CConsoleRootMenu|CConsoleVariableMenu|CCutscene|CDataType|CDebris|CDiveBomber|CDropship|CEscapePod|CExplosion|CFeature|CFenrir|CFloatDataType|CGillM|CGroundAttackAircraft|CGroundUnit|CGroundVehicle|CHazard|CHiveBoss|CInfantryUnit|CInfluenceNode|CLevelScriptThing|CMech|CMine|CMusicMenu|CNamedMesh|CNormalSquad|CPlane|CPod|CPositionDataType|CRadar|CRelaxedSquad|CRound|CSafeSide|CSentinel|CShell|CSimpleBuilding|CSoundManagerDebugMenu|CSpawnPoint|CSpawnerThing|CSphereTrigger|CSquad|CStart|CStringDataType|CSubmarine|CThing|CThingPtrDataType|CThunderHead|CTree|CUnit|CVertexShaderMenu|CWarspite|CWarspiteDome|CWaypoint|CWingmanStart	placement-class-set	CActor|CAirUnit|CAnimal|CBigAirUnit|CBoat|CBomber|CBuilding|CBuildingNamedMesh|CCannon|CCarrier|CCarver|CComplexThing|CConfirmMenuOptionsList|CConsoleCommandMenu|CConsoleRootMenu|CConsoleVariableMenu|CCutscene|CDataType|CDebris|CDiveBomber|CDropship|CEscapePod|CExplosion|CFeature|CFenrir|CFloatDataType|CGillM|CGroundAttackAircraft|CGroundUnit|CGroundVehicle|CHazard|CHiveBoss|CInfantryUnit|CInfluenceNode|CLevelScriptThing|CMech|CMine|CMusicMenu|CNamedMesh|CNormalSquad|CPlane|CPod|CPositionDataType|CRadar|CRelaxedSquad|CRound|CSafeSide|CSentinel|CShell|CSimpleBuilding|CSoundManagerDebugMenu|CSpawnPoint|CSpawnerThing|CSphereTrigger|CSquad|CStart|CStringDataType|CSubmarine|CThing|CThingPtrDataType|CThunderHead|CTree|CUnit|CVertexShaderMenu|CWarspite|CWarspiteDome|CWaypoint|CWingmanStart	68	0x00401480	0x00401482	1	3	3	0	2	3	3	2	true	0	0	0	0	0	true	e18aacce29affcdddaa5f641ac1ec12552e0fe9d066e6408941b1792818b8619	e18aacce29affcdddaa5f641ac1ec12552e0fe9d066e6408941b1792818b8619	2be0801e0a27d7de42f85c1f98c2092dc59e1dce0e7f367e558f7c6089ea3c73	2be0801e0a27d7de42f85c1f98c2092dc59e1dce0e7f367e558f7c6089ea3c73	f829fde8fac3ef3ba9da9751ecfc3bb0d2e4b14900a285ee92fea3260caf80b7
0x00401490	0x004014e0	CThing__Damage_NoOp	USER_DEFINED	CThing	validated-name-prefix	CActor|CAnimal|CBuildingNamedMesh|CComplexThing|CCutscene|CDebris|CEscapePod|CExplosion|CHazard|CInfluenceNode|CLevelScriptThing|CMissile|CNamedMesh|CNormalSquad|CRelaxedSquad|CRound|CSafeSide|CShell|CSpawnPoint|CSpawnerThing|CSphereTrigger|CSquad|CStart|CThing|CWaypoint|CWingmanStart	26	0x00401490	0x00401492	1	3	3	0	1	3	3	1	true	0	0	0	0	0	true	3ad36c6eeda528589a7a06f48684d3318576059d93d51f445ab60d280620edc7	3ad36c6eeda528589a7a06f48684d3318576059d93d51f445ab60d280620edc7	b6cbececf1b07e74f37d57710c68c31f0b92cb08d51093252b321b07542e177b	b6cbececf1b07e74f37d57710c68c31f0b92cb08d51093252b321b07542e177b	c8bcb77dd8cf2185a3fe0b0ada2a617cc6f429d91671c6e0cfd82b6e945c5314
0x004014a0	0x00405f40	SharedVFunc__Return1_004014a0	USER_DEFINED	shared:CActor|CAirUnit|CAnimal|CBattleEngine|CBigAirUnit|CBoat|CBomber|CBuilding|CBuildingNamedMesh|CCannon|CCarrier|CCarver|CCockpit|CComplexThing|CComponent|CControllableCamera|CCutscene|CDXCockpit|CDXFMV|CDXFrontEnd|CDXGame|CDebris|CDestroyableSwapSegment|CDiveBomber|CDropship|CEnemyAlligence|CEscapePod|CExplosion|CFEPUnknown|CFMV|CFeature|CFenrir|CFlatNavMapType|CFrontEnd|CFrontEndPage|CFrontEndThing|CGame|CGameCreditControlHandler|CGameInterface|CGillM|CGillMHead|CGroundAttackAircraft|CGroundUnit|CGroundVehicle|CHazard|CHiveBoss|CInfantryUnit|CInfluenceNode|CInstructionOP_PLUS|CIntDataType|CLevelBriefingLog|CLevelScriptThing|CLine|CMCHiveBoss|CMCMech|CMCWarspiteDome|CMech|CMessageLog|CMine|CMissile|CNamedMesh|CNormalSquad|COnfStateType|CPDSimpleSprite|CPauseMenu|CPlane|CPlayer|CPod|CRTBuilding|CRTCutscene|CRTMesh|CRTTree|CRadar|CRelaxedSquad|CRenderThing|CRocket|CRound|CSafeSide|CScreenOverlay|CSeekTarget|CSentinel|CShell|CSimpleBuilding|CSimpleGameMenu|CSpawnPoint|CSpawnerThing|CSphereTrigger|CSquad|CStart|CSubmarine|CTentacle|CThing|CThunderHead|CTree|CUnit|CWaitForStart|CWarspite|CWarspiteDome|CWaypoint|CWingmanStart	placement-class-set	CActor|CAirUnit|CAnimal|CBattleEngine|CBigAirUnit|CBoat|CBomber|CBuilding|CBuildingNamedMesh|CCannon|CCarrier|CCarver|CCockpit|CComplexThing|CComponent|CControllableCamera|CCutscene|CDXCockpit|CDXFMV|CDXFrontEnd|CDXGame|CDebris|CDestroyableSwapSegment|CDiveBomber|CDropship|CEnemyAlligence|CEscapePod|CExplosion|CFEPUnknown|CFMV|CFeature|CFenrir|CFlatNavMapType|CFrontEnd|CFrontEndPage|CFrontEndThing|CGame|CGameCreditControlHandler|CGameInterface|CGillM|CGillMHead|CGroundAttackAircraft|CGroundUnit|CGroundVehicle|CHazard|CHiveBoss|CInfantryUnit|CInfluenceNode|CInstructionOP_PLUS|CIntDataType|CLevelBriefingLog|CLevelScriptThing|CLine|CMCHiveBoss|CMCMech|CMCWarspiteDome|CMech|CMessageLog|CMine|CMissile|CNamedMesh|CNormalSquad|COnfStateType|CPDSimpleSprite|CPauseMenu|CPlane|CPlayer|CPod|CRTBuilding|CRTCutscene|CRTMesh|CRTTree|CRadar|CRelaxedSquad|CRenderThing|CRocket|CRound|CSafeSide|CScreenOverlay|CSeekTarget|CSentinel|CShell|CSimpleBuilding|CSimpleGameMenu|CSpawnPoint|CSpawnerThing|CSphereTrigger|CSquad|CStart|CSubmarine|CTentacle|CThing|CThunderHead|CTree|CUnit|CWaitForStart|CWarspite|CWarspiteDome|CWaypoint|CWingmanStart	471	0x004014a0	0x004014a5	1	6	6	0	2	6	6	2	true	0	0	0	0	0	true	2db31f4e09597946e56e859813bfdad7046d457c32332c3a882654d1e3ffdf67	2db31f4e09597946e56e859813bfdad7046d457c32332c3a882654d1e3ffdf67	fc9727eae305b45d1df8a58191610014e9104fa57b472dca0dbbded60cb84d82	fc9727eae305b45d1df8a58191610014e9104fa57b472dca0dbbded60cb84d82	b52dd7421bcd68d4d0f18e413cecb5299f89bde0383444f78c6681429bf9b6be
