address	currentName	proposedProviderQualifiedName	publicName	bodyBytes	bodySha256	exactD3dxVersions	verdict
0x00579ca5	CDXTexture__InitSurfaceNodeZeroed	D3DXTex__CImage__ctor	??0CImage@D3DXTex@@QAE@XZ	25	91d575f4e66a5c992cdaf7252fc3fa94468e417dbebf95eba8b7aaa443a19e01	24,25,26,27,28,29,30,31	CURRENT_NAME_REFUTED_EXACT_PUBLIC_IDENTITY
0x0058083d	CDXTexture__ResetSurfaceCopyContext	D3DXTex__CLockSurface__ctor	??0CLockSurface@D3DXTex@@QAE@XZ	19	df085915f81692d40fd97e34a69afbbdb1d8bfe37edbd265a3a3d570a33898d7	24,25,26,27,28,29,30,31	CURRENT_NAME_REFUTED_EXACT_PUBLIC_IDENTITY
0x0058864a	CDXTexture__InitMappedFileContext	D3DXCore__CFile__ctor	??0CFile@D3DXCore@@QAE@XZ	18	ca95e85bbebf5f6c299da550f2aa9e1808a894f39f08843b741b70f309097f61	24,25,26,27,28,29,30,31	CURRENT_NAME_REFUTED_EXACT_PUBLIC_IDENTITY
0x0058c129	CTexture__TokenList_InitState	D3DXShader__CTErrors__ctor	??0CTErrors@D3DXShader@@QAE@XZ	32	ae5591376f7734a0ebd96498be1a688c86d335c6bf95f51ebc66e74e0c2da336	24,25,26,27,28,29,30,31	CURRENT_NAME_REFUTED_EXACT_PUBLIC_IDENTITY
0x0058c37c	CTexture__TokenList_InitState_Extended	D3DXShader__CTokenize__ctor	??0CTokenize@D3DXShader@@QAE@XZ	26	ccec6344ba36f7e8d708f1334b162f0badb1e436639eb7e77a9d278d0ceb9929	24,25,26,27,28,29,30,31	CURRENT_NAME_REFUTED_EXACT_PUBLIC_IDENTITY
0x0058d747	CTexture__ResetParserSemanticValue	D3DXShader__CAssembler__ctor	??0CAssembler@D3DXShader@@QAE@XZ	28	84acc57693a2b025938378658a100bbec58f38b45e2c5b543efd5716cd3334c6	24,25,26,27,28,29,30,31	CURRENT_NAME_REFUTED_EXACT_PUBLIC_IDENTITY
0x005a40c0	CFastVB__DispatchOp_TransformVec3ArrayByMatrix4_WithTranslation_005a40c0	D3DX9__AMDSSE_D3DXVec3TransformArray	_AMDSSE_D3DXVec3TransformArray@24	137	a5ae3da7491edf101ad075bc0c027b84514a01a71b3b0586da9e87507c716605	24,25,26,27,28,29,30,31	CURRENT_NAME_REFUTED_EXACT_PUBLIC_IDENTITY
0x005a5bd7	CFastVB__DispatchOp_MultiplyMatrix4x4_Packed_MMX_Dispatch_005a5bd7	D3DX9__x3d_D3DXMatrixMultiply	?x3d_D3DXMatrixMultiply@@YGPAUD3DXMATRIX@@PAU1@PBU1@1@Z	562	c4a9b44401f014cb18140a458292a02753bb9a0631a798b4e3a5d97e8b21aaa2	24,25,26,27,28,29,30,31	CURRENT_NAME_REFUTED_EXACT_PUBLIC_IDENTITY
0x005a5e09	CFastVB__DispatchOp_Matrix3x3Determinant_Packed_005a5e09	D3DX9__x3d_D3DXMatrixfDeterminant	?x3d_D3DXMatrixfDeterminant@@YGMPBUD3DXMATRIX@@@Z	207	73a73a6bdcd3dc31f767e8690ec825934485f03f80b3cc337b74eb045dcf8de5	24,25,26,27,28,29,30,31	CURRENT_NAME_REFUTED_EXACT_PUBLIC_IDENTITY
0x005a6250	CFastVB__DispatchOp_TransposeMatrix4x4_005a6250	D3DX9__x3d_D3DXMatrixTranspose	?x3d_D3DXMatrixTranspose@@YGPAUD3DXMATRIX@@PAU1@PBU1@@Z	111	286f34c5fc6d79f237149f9c3a8579314a3a03f834f5b5e648fcde8cb74faefe	24,25,26,27,28,29,30,31	CURRENT_NAME_REFUTED_EXACT_PUBLIC_IDENTITY
