entry	current_name	pre_body_ranges	repair_ranges	post_body_ranges	repair_bytes	repair_sha256	repair_instruction_count	repair_instruction_layout_sha256	normalized_sha256	demo_entry	demo_repair_ranges	demo_repair_sha256	demo_raw_diff_bytes	owner_jump_rows	loose_instruction_rows_pre	runtime_grade	mutation_scope
0x00462640	CFEPMain__Process	0x00462640-0x0046282b	0x0046282b-0x00462b64	0x00462640-0x00462b64	825	602073f946d6e1e341e457c1380095acf21437d0f33e9eaeb7f3b0e504ebfa8f	217	de34d73566e51df0b362abfb3fa24d009a0bab5bd684548db0927f9dbcc6b8a7	3841aa1319e8d21910e1fdd96ef6de5878296e38575cfa72f97938922c831ed1	0x00462650	0x0046283b-0x00462b74	8903899314fcbf8731ff8b30951bcbffb5281a9a72f67930743db1a754d3d37d	147	3	215	RUNTIME_RANGE_HIT_NONREADY_WRAPPER	BODY_RANGE_AND_BOUNDED_DISASSEMBLY_ONLY
0x0046ff10	CGame__HandleEvent	0x0046ff10-0x0047004a;0x0047005d-0x004700da;0x004700f0-0x004700f6	0x004700da-0x004700f0	0x0046ff10-0x0047004a;0x0047005d-0x004700f6	22	59cc0004d6e08aa752cc8b5f2dbf4a33ca5b90e228c36470519b3e3b54f58056	4	593ae21f5ff65e1c74f99b86d9299b0b3315130c1d2e19bf18f0a219e8319062	95a645f8f09735e577c59c32637daa3646516261447a18dfea9437f9906b1f09	0x0046fde0	0x0046ffaa-0x0046ffc0	09d2a01d5e67a361885a1add809b63e0001202a1971e8df28bcd1a93e352230d	6	1	6	NO_RETAINED_FRAGMENT_RUNTIME_HIT	BODY_RANGE_AND_BOUNDED_DISASSEMBLY_ONLY
0x00482590	CHud__RenderTargetIndicatorOverlay	0x00482590-0x00482725;0x00482741-0x00483505	0x00482725-0x00482741	0x00482590-0x00483505	28	d2fd9fafc81d67e549b96bfaa397fabb4ede9c20a1c5cdfbb4f905d9ebced4bd	8	de4b7349500380475aad70a53948a65d1eba46376d1f09f4cdfe16b018c7a7af	27ad51befc96bdab82ca4c9afb5e0bdb27bf7b1e4930ffdd771b69eb39765fd7	0x00482380	0x00482515-0x00482531	d2fd9fafc81d67e549b96bfaa397fabb4ede9c20a1c5cdfbb4f905d9ebced4bd	0	1	2	RUNTIME_JMP_TABLE_CASE_HIT_READY	BODY_RANGE_AND_BOUNDED_DISASSEMBLY_ONLY
0x004be420	CExplosionInitThing__SelectNextPathStepDirection	0x004be420-0x004be82d;0x004be93d-0x004be94c	0x004be82d-0x004be93d	0x004be420-0x004be94c	272	bce7be99d9bb1ac6ae9392eb1d01ff4517311b039bbe880301bab989bd83368e	60	39e6b689d8a28be12277902ca0ea1f79c28a727d382e49f5893da03b7af65c20	dc68c051f29205874226f0a5739830f72b25669c40cc78eb2ee8bccc6772afe2	0x004be330	0x004be73d-0x004be84d	bd267136ff034e489940c03dbb956a1f0174ef20a39541d095f8cfdc4b8b68be	52	5	60	RUNTIME_FULL_FRAGMENT_COVERED_READY	BODY_RANGE_AND_BOUNDED_DISASSEMBLY_ONLY
0x00559410	CDXTexture__CreateMipmaps	0x00559410-0x0055954c;0x005595bb-0x00559b6a	0x0055954c-0x005595bb	0x00559410-0x00559b6a	111	4db8a4b32fc6bd4d9e50583999f90923b383ffd838dfae6410dcf72200d1d951	36	fa027672196521123d445b21cd1a63cb0292dd49da96ede408ab747a8fab6747	02808c1f56b383c7ba42da32e24678d80f5790a19700955a5dae587cafa26c39	0x00559ab0	0x00559bec-0x00559c5b	fe3a809b49509d389a76797b6e0660e601eed95ab51bcf1f4cad3148a3b1f9c7	4	2	19	NO_RETAINED_FRAGMENT_RUNTIME_HIT	BODY_RANGE_AND_BOUNDED_DISASSEMBLY_ONLY
