retail_va	demo_va	current_name	retail_body_bytes	retail_instruction_count	retail_body_sha256	demo_body_bytes	demo_instruction_count	demo_body_sha256	retail_logical_rows	demo_logical_rows	demo_auxiliary_rows	differing_or_inserted_rows	cross_build_result
0x00518bf0	0x00518c90	CCredits__BuildDefaultEntries	5109	986	ffd876bc48a6b6bbc7c362a27e2046755b32fef765aceda9985de3fcd02963d7	5685	1095	d2340c8a710274c6ed955ef2b76ca57a834b9b0cbbd053d963394deb160c1d87	222	247	0	25	DEMO_INSERTS_25_CREDITS_ROWS
0x00524830	0x00524b40	Localization__GetStringById	6248	2061	9ca8630f096477241c5055d9429f0c97c6fbea41cc48bf6b90807e7178a29004	6286	2069	e124508cde93c0960f72afecbb9f7cfc8d5411a12ba9184d43f7486273c5d383	1245	1245	249	5	DIRECTX_8_TO_9_TEXT_PLUS_IDENTICAL_AMERICAN_ALIAS
