# Ghidra function-name table -- address -> current saved symbol
# Purpose : the resolution authority for tools/re_function_doc_names_check.py.
#           It is a name index, not a database and not a disassembly.
# Derived : live maintainer Ghidra project (C:\Users\david\Ghidra\Projects), exported headless by
#           tools/ExportFullFunctionInventory.java on 2026-07-27 17:49 local, after
#           the 580-creation / AIF / DPI mutation waves, the 533-name vtable naming
#           wave, and both destructor demotions (0x0048c300, 0x005386d0).
# Specimen: BEA.exe MD5 3b456964020070efe696d2cc09464a55,
#           SHA-256 74154bfae14ddc8ecb87a0766f5bc381c7b7f1ab334ed7a753040eda1e1e7750
# Source  : local-lab/re-ledger/naming-wave-2026-07-27/inv-LIVE2-functions.tsv
#           sha256 2f9d352eaec3005d1827660f86403d25e45b67158eeba1b98363565a30811228
#           (gitignored; this file is the promoted 4-column projection of it)
# Reproduced: an independent export of the same database (inv-LIVE1-functions.tsv)
#           agrees with it on all 7555 names, 0 differences.
# DATED PROJECTION: reverse-engineering/ghidra/ was promoted from the 8,125-function
#           live project on 2026-08-09. This 7,555-row table remains the historical
#           2026-07-27 name index used by its owning documentation check; it is no
#           longer a current database projection.
# Columns : address, name, bodyMin, bodyMax (hex). 67 functions have
#           non-contiguous bodies, so bodyMin..bodyMax over-covers for those;
#           6 of the 7555 spans overlap their predecessor.
# text_range: 0x00401000-0x005d7fff
address	name	bodyMin	bodyMax
0x00402d20	SharedVFunc__ReturnThis_00402d20	0x00402d20	0x00402d22
0x00402d30	CAirUnit__dtor_base	0x00402d30	0x00402dcb
0x00402dd0	SharedShadowVFunc__AnyBoundsCornerAboveSampledHeight_00402dd0	0x00402dd0	0x00402f98
0x00402fa0	CAirUnit__UpdateMotionAndTrailEffects	0x00402fa0	0x0040364b
0x00403650	CMeshRenderer__CopyBasisAndRefreshTime	0x00403650	0x00403689
0x00403690	CAirUnit__ReleaseAllAttachedParticleNodes	0x00403690	0x00403723
0x00403730	CAirUnit__VFunc_68_TimestampAndCrashIfNoAirSupport	0x00403730	0x0040375d
0x00403760	CAirUnit__VFunc_69_ResetD0AndCrashIfNoSupportModes	0x00403760	0x00403797
0x004037a0	CAirUnit__ApplyDamageAndResolveSlot19Vector_004037a0	0x004037a0	0x00403a4f
0x00403a50	CAirUnit__VFunc_117_HasPositionDeltaWhileFlag4Clear	0x00403a50	0x00403a8e
0x00403a90	CAirUnit__ForwardVectorToField208WithHeightAdjustedLimit_00403a90	0x00403a90	0x00403b51
0x00403b60	CAirUnit__ReturnFlag2cScaledSlot40Float_00403b60	0x00403b60	0x00403b93
0x00403ba0	CThing__Hit_TriggerDieOnUnitOrTypeMask02100000	0x00403ba0	0x00403beb
0x00403bf0	CBigAirUnit__Hit_TriggerDieOnTypeMask00100000	0x00403bf0	0x00403c36
0x00403c40	FUN_00403c40	0x00403c40	0x00403c5e
0x00403d30	CAnimal__Init	0x00403d30	0x00403f3d
0x00403f40	CResourceDescriptor__ctor	0x00403f40	0x00403f76
0x00403f80	CResourceDescriptor__dtor	0x00403f80	0x00403fe1
0x00403ff0	CResourceDescriptorTable__DestroyEmbeddedDescriptor_Thunk	0x00403ff0	0x00404005
0x00404010	CAnimal__dtor_base	0x00404010	0x00404092
0x004040a0	CThing__CopyVector14ToOut_004040a0	0x004040a0	0x004040c3
0x004040d0	CComplexThing__CopyBlock34ToOut_004040d0	0x004040d0	0x004040e6
0x004040f0	CAnimal__GetClassNameString	0x004040f0	0x004040f5
0x00404100	CAnimal__GetTypeId1D	0x00404100	0x00404105
0x00404110	CAnimal__SetThingTypeMask80000001	0x00404110	0x0040411e
0x00404120	CAnimal__CopyVector7CToOut	0x00404120	0x00404143
0x00404150	CAnimal__SetVector7CFromInput	0x00404150	0x0040416f
0x00404170	CAnimal__AddVectorTo7C	0x00404170	0x0040419c
0x004041a0	CAnimal__CopyVector8CToOut	0x004041a0	0x004041c6
0x004041d0	CAnimal__CopyMatrix9CToOut	0x004041d0	0x004041e9
0x004041f0	CAnimal__scalar_deleting_dtor	0x004041f0	0x0040420f
0x00404210	CAnimal__Process	0x00404210	0x004045c8
0x004045d0	CAnimal__RenderViaCThingRender	0x004045d0	0x004045dc
0x004045e0	FUN_004045e0	0x004045e0	0x004045fe
0x004046d0	CAnimation__ctor	0x004046d0	0x0040474c
0x00404750	CAnimation__VFunc_0_00404750	0x00404750	0x00404783
0x00404790	CAnimation__Process	0x00404790	0x0040485d
0x00404860	CAnimation__SetAnimMode	0x00404860	0x004048b9
0x004048c0	CAnimation__GetRenderFrame	0x004048c0	0x004048e0
0x004048f0	CMesh__IsValidProfileIndex_1to10	0x004048f0	0x00404905
0x00404910	FUN_00404910	0x00404910	0x00404910
0x00404920	CAtmospheric__Link	0x00404920	0x00404955
0x00404960	CAtmospheric__Unlink	0x00404960	0x00404990
0x004049a0	FUN_004049a0	0x004049a0	0x004049f0
0x00404a00	Atmospherics__Init	0x00404a00	0x00404b81
0x00404b90	Atmospherics__ResetAndUpdate	0x00404b90	0x00404bc8
0x00404bd0	Atmospherics__UpdateAll	0x00404bd0	0x00404bea
0x00404bf0	Atmospherics__RenderAll	0x00404bf0	0x00404c0a
0x00404c10	Atmospherics__Shutdown	0x00404c10	0x00404c88
0x00404c90	Atmospherics__NotifyAll	0x00404c90	0x00404cb1
0x00404cc0	FUN_00404cc0	0x00404cc0	0x00404cde
0x00404dd0	CBattleEngine__Init	0x00404dd0	0x004058f9
0x00405900	CCockpit__VFunc_3_00405900	0x00405900	0x00405905
0x00405910	SharedVFunc__ReturnMinusOne_00405910	0x00405910	0x00405913
0x00405920	SharedVFunc__ReturnOneRet4_00405920	0x00405920	0x00405927
0x00405930	SharedVFunc__ReturnZero_00405930	0x00405930	0x00405932
0x00405940	SharedVFunc__ReturnZeroRet4_00405940	0x00405940	0x00405944
0x00405950	CCockpit__VFunc_22_00405950	0x00405950	0x00405956
0x00405960	FUN_00405960	0x00405960	0x00405966
0x00405970	CDXCockpit__scalar_deleting_dtor	0x00405970	0x0040598f
0x00405990	CDXCockpit__dtor_base_thunk	0x00405990	0x00405994
0x004059a0	CCylinder__VFunc_01_004059a0	0x004059a0	0x004059bf
0x004059c0	SharedVFunc__Return2_004059c0	0x004059c0	0x004059c5
0x004059d0	CGeneralVolume__VFunc_0_004059d0	0x004059d0	0x004059f1
0x00405a00	CMCMech__VFunc_13_00405a00	0x00405a00	0x00405a05
0x00405a10	CMCMech__dtor_base_thunk	0x00405a10	0x00405a14
0x00405a20	CRadarWarningReceiver__scalar_deleting_dtor	0x00405a20	0x00405a3f
0x00405a40	CBattleEngine__dtor_base	0x00405a40	0x00405d75
0x00405d80	CParticleManager__RemoveOwnerLinkFromGlobalList_Thunk	0x00405d80	0x00405d84
0x00405d90	CUnit__ReturnField130PackedConst_00405d90	0x00405d90	0x00405daf
0x00405db0	SharedVFunc__NoOpRet8_00405db0	0x00405db0	0x00405db2
0x00405dc0	CUnit__ReturnFloat005d858c_00405dc0	0x00405dc0	0x00405dc6
0x00405dd0	CUnit__ReturnFloat005d8b9c_00405dd0	0x00405dd0	0x00405dd6
0x00405de0	CUnit__TestField168Or214OrFlag2c_00405de0	0x00405de0	0x00405e02
0x00405e10	CUnit__SetField1f0One_00405e10	0x00405e10	0x00405e1a
0x00405e20	CUnit__ClearField1f0_00405e20	0x00405e20	0x00405e2a
0x00405e30	CUnit__SetField15c_00405e30	0x00405e30	0x00405e3c
0x00405e40	CUnit__ReturnField15c_00405e40	0x00405e40	0x00405e46
0x00405e50	CUnit__ReturnField210_00405e50	0x00405e50	0x00405e56
0x00405e60	CUnit__ReturnFloat005d8ba0_00405e60	0x00405e60	0x00405e66
0x00405e70	CUnit__IsField168Null_00405e70	0x00405e70	0x00405e7d
0x00405e80	SharedVFunc__WriteZeroVectorRet04_00405e80	0x00405e80	0x00405e90
0x00405ea0	CUnit__ReturnFloat005d8578_00405ea0	0x00405ea0	0x00405ea6
0x00405eb0	CUnit__CopyVector1cToOut_00405eb0	0x00405eb0	0x00405ecf
0x00405ed0	CBattleEngine__VFunc_7_00405ed0	0x00405ed0	0x00405ed5
0x00405ee0	SharedVFunc__Return3_00405ee0	0x00405ee0	0x00405ee5
0x00405ef0	CBattleEngine__VFunc_15_00405ef0	0x00405ef0	0x00405ef6
0x00405f00	CBattleEngine__VFunc_38_00405f00	0x00405f00	0x00405f11
0x00405f20	CBattleEngine__VFunc_85_00405f20	0x00405f20	0x00405f3b
0x00405f40	CBattleEngine__VFunc_43_00405f40	0x00405f40	0x00405f45
0x00405f50	CBattleEngine__VFunc_91_00405f50	0x00405f50	0x00405f56
0x00405f60	CBattleEngine__scalar_deleting_dtor	0x00405f60	0x00405f7f
0x00405f80	CBattleEngine__FinalizeLinkedSetAndVFunc02	0x00405f80	0x00405ff7
0x00406000	CBattleEngine__VFunc_22_00406000	0x00406000	0x0040601c
0x00406020	CBattleEngine__VFunc_23_00406020	0x00406020	0x0040603c
0x00406040	CBattleEngine__GetTrackedPositionX_00406040	0x00406040	0x00406049
0x00406050	CBattleEngine__VFunc_0_00406050	0x00406050	0x004060a4
0x004060b0	FUN_004060b0	0x004060b0	0x004062c2
0x004062d0	Mat34__SetFromEulerAngles_004062d0	0x004062d0	0x00406390
0x004063a0	CBattleEngine__GetFloatAt0x118_AsDouble	0x004063a0	0x004063a6
0x004063b0	CBattleEngine__UpdateWeaponEffect	0x004063b0	0x00406458
0x00406460	CBattleEngine__SwapPrimarySecondaryPartReadersForState	0x00406460	0x00406556
0x00406560	CBattleEngine__HandleLocks	0x00406560	0x00406d12
0x00406d20	CSPtrSet__First	0x00406d20	0x00406d2e
0x00406d30	CSPtrSet__Next	0x00406d30	0x00406d42
0x00406d50	Vec3__NormalizeInPlace	0x00406d50	0x00406d9a
0x00406da0	CBattleEngine__SelectNearestForwardTargetFromGlobalSet	0x00406da0	0x00406fba
0x00406fc0	CBattleEngine__AddTrackedActiveReader	0x00406fc0	0x0040705a
