0x00402000 CUnitAI__SetStateTimestampCCToNow
0x00403760 CUnitAI__ProcessAndCrashIfNoAirOrHoverSupport
0x0040d0f0 CEngine__CanUseBallisticArcNoLocks
0x00482210 CDXEngine__RenderSegmentedMeterBar
0x00490220 CEngine__ClearNearbyProjectileBurstSlots
0x00490280 CEngine__ResetBurstTrackingState
0x004902b0 CEngine__TrackBurstEventIfNearby
0x004eba30 CEngine__SetVertexShaderPathEnabled
0x004f3ac0 CUnitAI__GetWorldPositionForTargeting
0x004fc080 CUnitAI__TrySpawnOrFinalizeAttachedUnit
0x004fc170 CUnitAI__FinalizeSpawnAndAdvanceState
0x004fcec0 CUnitAI__GetAttachedNodeReadyState
0x004fd7e0 CUnitAI__AreSpawnedChildrenReady
0x004fda10 CUnitAI__GetWeaponNodeState120
0x004fde10 CUnitAI__IsDeployAnimationState
0x004fdeb0 CUnitAI__HandleDeployAndFireAnimationCompletion
0x0055e64e CRT__WStrCpy
0x0055eb00 CRT__WcsNcpyZeroPad
0x0055f807 CRT__MbsNcpy_LocaleLock
0x0055f8a1 CRT__MbsIcmp_LocaleLock
