address	name	signature	status
0x00445ad0	CUnitAI__UpdateDoorWingEngagement_CloseRange	double __fastcall CUnitAI__UpdateDoorWingEngagement_CloseRange(void * param_1)	OK
0x00445f40	CUnitAI__UpdateDoorWingEngagement_MidRange	double __fastcall CUnitAI__UpdateDoorWingEngagement_MidRange(void * param_1)	OK
0x00446150	CUnitAI__UpdateDoorWingEngagement_LongRange	double __fastcall CUnitAI__UpdateDoorWingEngagement_LongRange(void * param_1)	OK
0x00446400	CUnitAI__EnterDoorWingOpenTrackingState	void __fastcall CUnitAI__EnterDoorWingOpenTrackingState(int param_1)	OK
0x004496e0	CCareer__AreSecondaryObjectivesComplete	int __fastcall CCareer__AreSecondaryObjectivesComplete(int param_1)	OK
