target_addr	target_name	xref_rows	caller_funcs	caller_prefixes
00414cb0	CExplosionInitThing__Unk_00414cb0	1	CExplosionInitThing__Unk_00487d10	CExplosionInitThing:1
00444620	CExplosionInitThing__Unk_00444620	1
00447d50	CExplosionInitThing__Unk_00447d50	3	CUnitAI__Unk_00447a40;CUnitAI__Unk_00447bb0	CUnitAI:3
0044a6e0	CExplosionInitThing__Unk_0044a6e0	1	CResourceAccumulator__ReadResourceFile	CResourceAccumulator:1
0044adb0	CExplosionInitThing__Unk_0044adb0	19	CActor__ctor_like_004f7e90;CMonitor__Unk_004081c0;CUnit__Init;FrontendUpdate_CheatChecks;OID_Unk_005078f0__Wrapper_00410c50	CActor:2;CUnit:2;FrontendUpdate_CheatChecks:1;CMonitor:1;OID_Unk_005078f0:1
0044d560	CExplosionInitThing__Unk_0044d560	1	CFrontEnd__Process	CFrontEnd:1
0046baf0	CExplosionInitThing__Unk_0046baf0	5	CFEPMultiplayerStart__Process;CFEPWingmen__Update	CFEPWingmen:3;CFEPMultiplayerStart:2
00477ba0	CExplosionInitThing__Unk_00477ba0	6	CUnitAI__Unk_00476fe0;CUnitAI__Unk_00478510;CUnitAI__Unk_00479200	CUnitAI:6
00479770	CExplosionInitThing__Unk_00479770	1	CMeshCollisionVolume__Unk_004ac140	CMeshCollisionVolume:1
00479db0	CExplosionInitThing__Unk_00479db0	1
0047a160	CExplosionInitThing__Unk_0047a160	1
004804c0	CExplosionInitThing__Unk_004804c0	1
00480ed0	CExplosionInitThing__Unk_00480ed0	6	CUnitAI__Unk_00480a30;CUnitAI__Unk_00480c90;CUnitAI__Unk_00480db0;CUnitAI__Unk_00480e10;CUnitAI__Unk_00481060	CUnitAI:6
00482210	CExplosionInitThing__Unk_00482210	3	CUnitAI__Unk_00483530;CUnitAI__Unk_004b8850	CUnitAI:3
004879e0	CExplosionInitThing__Unk_004879e0	1	CExplosionInitThing__Unk_00487bc0	CExplosionInitThing:1
00487bc0	CExplosionInitThing__Unk_00487bc0	1	CDXEngine__PostRender	CDXEngine:1
00487d10	CExplosionInitThing__Unk_00487d10	1	CDXEngine__PostRender	CDXEngine:1
00488ea0	CExplosionInitThing__Unk_00488ea0	1	CCollisionSeekingInfantryBloke__VFunc_01_00488e80	CCollisionSeekingInfantryBloke:1
0048ddd0	CExplosionInitThing__Unk_0048ddd0	1	CParticleSet__LoadParticleSetFile	CParticleSet:1
0048ff90	CExplosionInitThing__Unk_0048ff90	2	CPauseMenu__Unk_004d0810;CUnitAI__Unk_00472b40	CUnitAI:1;CPauseMenu:1
004968f0	CExplosionInitThing__Unk_004968f0	1	CMeshPart__CanOptimizePart_Strict	CMeshPart:1
0049c250	CExplosionInitThing__Unk_0049c250	6	CMeshPart__CanMergeInOptimizePass;CMeshPart__CanOptimizePart_Strict	CMeshPart:6
004adf90	CExplosionInitThing__Unk_004adf90	6	CMesh__Deserialize;CMesh__InitStatic;CMesh__Load;CMesh__Unk_004a50b0;CMesh__Unk_004a52d0	CMesh:6
004b6260	CExplosionInitThing__Unk_004b6260	6	CSphere__Unk_00482590	CSphere:1
004b82a0	CExplosionInitThing__Unk_004b82a0	1	CMessageLog__Unk_004b9a80	CMessageLog:1
004bc2e0	CExplosionInitThing__Unk_004bc2e0	4	CMechGuide__VFunc_03_004a0bc0;CSquadNormal__Unk_004e7110	CMechGuide:1;CSquadNormal:1
004bc510	CExplosionInitThing__Unk_004bc510	3	CExplosionInitThing__Unk_004be1d0;CExplosionInitThing__Unk_004beea0	CExplosionInitThing:3
004bcbf0	CExplosionInitThing__Unk_004bcbf0	1	CWorld__LoadWorld	CWorld:1
004bd5c0	CExplosionInitThing__Unk_004bd5c0	2	CEngine__Unk_004bc3e0;CEngine__Unk_004bc480	CEngine:2
004bdff0	CExplosionInitThing__Unk_004bdff0	3	CWorld__LoadWorld	CWorld:3
004be1d0	CExplosionInitThing__Unk_004be1d0	1	CExplosionInitThing__Unk_004bc2e0	CExplosionInitThing:1
004bed30	CExplosionInitThing__Unk_004bed30	1	CExplosionInitThing__Unk_004be1d0	CExplosionInitThing:1
004beea0	CExplosionInitThing__Unk_004beea0	1	CExplosionInitThing__Unk_004be1d0	CExplosionInitThing:1
004bff40	CExplosionInitThing__Unk_004bff40	1	CSphereTrigger__VFunc_01_004bfda0	CSphereTrigger:1
004c7950	CExplosionInitThing__Unk_004c7950	1	CEngine__Unk_004c5d50	CEngine:1
004c7db0	CExplosionInitThing__Unk_004c7db0	3	CEngine__Unk_004c5d50;CPDSimpleSprite__VFunc_23_004c8040	CPDSimpleSprite:1;CEngine:1
004d1f90	CExplosionInitThing__Unk_004d1f90	1
