address	old_name	inferred_owner	xref_count	top_counts
0x00408120	CUnitAI__Unk_00408120		3	CMonitor:1;CUnitAI:1
0x00415140	CUnitAI__Unk_00415140		1
0x00415780	CUnitAI__Unk_00415780		1
0x004157c0	CUnitAI__Unk_004157c0		1
0x00415970	CUnitAI__Unk_00415970		1
0x00415a50	CUnitAI__Unk_00415a50		1
0x00423840	CUnitAI__Unk_00423840		7	CResourceAccumulator:2;CMesh:2;CCutscene:1
0x004238c0	CUnitAI__Unk_004238c0		3	CResourceAccumulator:1;CMesh:1;CCutscene:1
0x00423900	CUnitAI__Unk_00423900		4	CResourceAccumulator:1;CMesh:1;CCutscene:1
0x00423990	CUnitAI__Unk_00423990		8	CWorld:2;CDXTexture:2;CResourceAccumulator:1;CMesh:1;CDXMeshVB:1
0x004239f0	CUnitAI__Unk_004239f0		1
0x00424a20	CUnitAI__Unk_00424a20		1
0x00424be0	CUnitAI__Unk_00424be0		1	CUnitAI:1
0x00424ca0	CUnitAI__Unk_00424ca0		1	CUnitAI:1
0x004250f0	CUnitAI__Unk_004250f0		1	CUnitAI:1
0x00425760	CUnitAI__Unk_00425760		10
0x00428110	CUnitAI__Unk_00428110		3
0x00428500	CUnitAI__Unk_00428500		3	VFuncSlot_00_00428710:1;VFuncSlot_01_00428770:1;CUnitAI:1
0x00428800	CUnitAI__Unk_00428800		2
0x004289b0	CUnitAI__Unk_004289b0		2
0x00428c70	CUnitAI__Unk_00428c70		3
0x00428cf0	CUnitAI__Unk_00428cf0		3
0x0042ee90	CUnitAI__Unk_0042ee90		1
0x0042efd0	CUnitAI__Unk_0042efd0		2	CUnitAI:1;CComponentStatement:1
0x0042f280	CUnitAI__Unk_0042f280		2	CUnitAI:1
0x00430b30	CUnitAI__Unk_00430b30		2	CUnitAI:1
0x00430fa0	CUnitAI__Unk_00430fa0		9	CWeaponStatement:1;CWeaponModeStatement:1;CRoundStatement:1;CSpawnerStatement:1;CExplosionStatement:1
0x00431470	CUnitAI__Unk_00431470		2	CUnitAI:1
0x004318c0	CUnitAI__Unk_004318c0		2	CUnitAI:1
0x00438050	CUnitAI__Unk_00438050		1
0x00440b70	CUnitAI__Unk_00440b70		1
0x00444f00	CUnitAI__Unk_00444f00		1
0x00444f20	CUnitAI__Unk_00444f20		1
0x00445570	CUnitAI__Unk_00445570		2	CUnitAI:2
0x004455c0	CUnitAI__Unk_004455c0		2	CUnitAI:2
0x00445610	CUnitAI__Unk_00445610		1
0x00445ad0	CUnitAI__Unk_00445ad0		1
0x00445f40	CUnitAI__Unk_00445f40		1
0x00446150	CUnitAI__Unk_00446150		1
0x00446400	CUnitAI__Unk_00446400		1	CUnitAI:1
0x00447a40	CUnitAI__Unk_00447a40		1
0x00447ac0	CUnitAI__Unk_00447ac0		1
0x00447b10	CUnitAI__Unk_00447b10		1
0x00447b60	CUnitAI__Unk_00447b60		1
0x00447bb0	CUnitAI__Unk_00447bb0		1
0x00447fa0	CUnitAI__Unk_00447fa0		1
0x004480c0	CUnitAI__Unk_004480c0		1
0x00448110	CUnitAI__Unk_00448110		1
0x00448120	CUnitAI__Unk_00448120		1
0x004496e0	CUnitAI__Unk_004496e0		4	CCareer:2;CGame:2
0x0044a690	CUnitAI__Unk_0044a690		2	CMapWho:1;CVBufTexture:1
0x0044a6b0	CUnitAI__Unk_0044a6b0		2	con_navmapon:1;con_navmapoff:1
0x0044cd20	CUnitAI__Unk_0044cd20		1
0x0044d1f0	CUnitAI__Unk_0044d1f0		5
0x0044d210	CUnitAI__Unk_0044d210		1
0x0044dea0	CUnitAI__Unk_0044dea0		10	CFEPMain:1;CMonitor:1;CMenuItemDropdown:1;CFEPLevelSelect:1;CFEPMultiplayerStart:1
0x00451a40	CUnitAI__Unk_00451a40		3
0x00452ce0	CUnitAI__Unk_00452ce0		3	CFrontEnd:1;CFEPMultiplayerStart:1;CFEPMain:1
0x004659a0	CUnitAI__Unk_004659a0		43	FrontendUpdate_CheatChecks:15;CDXEngine:15;CMessageLog:4;CFrontEnd:3;CMenuItemDropdown:3
0x004691c0	CUnitAI__Unk_004691c0		1
0x00469390	CUnitAI__Unk_00469390		7	CFEPMultiplayerStart:1;CFEPCredits:1
0x00469550	CUnitAI__Unk_00469550		4	CFEPMultiplayerStart:1;CFEPLevelSelect:1
0x00469c20	CUnitAI__Unk_00469c20		2	CFEPMultiplayerStart:1;CFEPLevelSelect:1
0x00469cf0	CUnitAI__Unk_00469cf0		2	CDXEngine:1;CUnitAI:1
0x0046a1f0	CUnitAI__Unk_0046a1f0		1
0x0046a210	CUnitAI__Unk_0046a210		1
0x0046a220	CUnitAI__Unk_0046a220		1
0x0046b1e0	CUnitAI__Unk_0046b1e0	CFEPSaveGame	9	CFEPSaveGame:9
0x00472ad0	CUnitAI__Unk_00472ad0		1
0x00478160	CUnitAI__Unk_00478160		2	CMapWho:1;CPolyBucket:1
0x00478c20	CUnitAI__Unk_00478c20		1
0x00479d10	CUnitAI__Unk_00479d10		1
0x00479f30	CUnitAI__Unk_00479f30		1
0x0047a0b0	CUnitAI__Unk_0047a0b0		1
0x0047bf60	CUnitAI__Unk_0047bf60		4
0x0047c040	CUnitAI__Unk_0047c040		1
0x0047cea0	CUnitAI__Unk_0047cea0		1
0x0047d420	CUnitAI__Unk_0047d420		1
0x0047d670	CUnitAI__Unk_0047d670		5
0x0047e870	CUnitAI__Unk_0047e870		1	CUnitAI:1
0x0047e8a0	CUnitAI__Unk_0047e8a0		2	CUnitAI:2
0x0047fb00	CUnitAI__Unk_0047fb00		1
0x00480c90	CUnitAI__Unk_00480c90		2	CHLCollisionDetector:1;CUnitAI:1
0x00480db0	CUnitAI__Unk_00480db0		1	CUnitAI:1
0x00481060	CUnitAI__Unk_00481060		1
0x00489040	CUnitAI__Unk_00489040		1
0x00489de0	CUnitAI__Unk_00489de0		1
0x00489ef0	CUnitAI__Unk_00489ef0		1
0x0048f210	CUnitAI__Unk_0048f210		2	CDXLandscape:1;CLandscapeVB:1
0x004901e0	CUnitAI__Unk_004901e0		16	CDXFrontEnd:3;CFEPMultiplayerStart:3;CDXEngine:2
0x00490900	CUnitAI__Unk_00490900		3
0x00490e10	CUnitAI__Unk_00490e10		1
0x00490e20	CUnitAI__Unk_0047e8a0		1
0x00490f40	CUnitAI__Unk_00490f40		1
0x00497140	CUnitAI__Unk_00497140		1
0x0049bbb0	CUnitAI__Unk_0049bbb0		9	CMesh:2;CMCTentacle:2;CDXEngine:1;CMCMech:1;CStaticShadows:1
0x0049bc10	CUnitAI__Unk_0049bc10		7	CMCMech:2;CMCTentacle:2;CStaticShadows:1
0x0049bc40	CUnitAI__Unk_0049bc40		13	CMesh:2;CMeshPart:2;CDXEngine:2;CMCMech:2;CMCTentacle:2
0x0049bc80	CUnitAI__Unk_0049bc80		13	CMesh:2;CMeshPart:2;CDXEngine:2;CMCMech:2;CMCTentacle:2
0x004b7300	CUnitAI__Unk_004b7300		1
0x004b7b70	CUnitAI__Unk_004b7b70		1
0x004b7b80	CUnitAI__Unk_004b7b80		3	IScript:1;CFrontEndPage:1
0x004b7ea0	CUnitAI__Unk_004b7ea0		1
0x004b8020	CUnitAI__Unk_004b8020		3	CUnitAI:2
0x004b8800	CUnitAI__Unk_004b8800		4	CSoundManager:1;CDXEngine:1;CGame:1;CUnitAI:1
0x004c0150	CUnitAI__Unk_004c0150		1
0x004c7d90	CUnitAI__Unk_004c7d90		9	CPDSimpleSprite:4;CDXEngine:4;CThing:1
0x004cab30	CUnitAI__Unk_004cab30		1
0x004cac40	CUnitAI__Unk_004cac40		1
0x004cbff0	CUnitAI__Unk_004cbff0		2	CUnitAI:1
0x004d1f10	CUnitAI__Unk_004d1f10		1
0x004d1fd0	CUnitAI__Unk_004d1fd0		1
