0x004e0b30 CSoundManager__PlaySample
0x004e0f70 CSoundManager__StopSoundEvent
0x004e1040 CSoundManager__SortEventList
0x004e1130 CSoundManager__KillSamplesForThing
0x004e1190 CSoundManager__KillSample
0x004e12b0 CSoundManager__KillAllSamples
0x004e1300 CSoundManager__PauseAllSamples
0x004e1330 CSoundManager__UnPauseAllSamples
0x004e1360 CSoundManager__UpdateSoundPosition
0x004e18d0 CSoundManager__SetPitch
0x004e2360 CSoundManager__GetDebugMenuText
