address	old_name	inferred_owner	xref_count	top_counts
0x0053d4c0	CDXEngine__Unk_0053d4c0		1
0x0053df40	CDXEngine__Unk_0053df40		3
0x00540970	CDXEngine__Unk_00540970		1	CConsole:1
0x00541f50	CDXEngine__Unk_00541f50		1
0x00542740	CDXEngine__Unk_00542740		1
0x005428d0	CDXEngine__Unk_005428d0		1	CGame:1
0x00542990	CDXEngine__Unk_00542990		1
0x00542a30	CDXEngine__Unk_00542a30		1	CImposter:1
0x00542a50	CDXEngine__Unk_00542a50		1
0x00542ee0	CDXEngine__Unk_00542ee0		1
0x00542f90	CDXEngine__Unk_00542f90		1
0x00543300	CDXEngine__Unk_00543300		2
0x005438c0	CDXEngine__Unk_005438c0		1
0x00544040	CDXEngine__Unk_00544040		1	CEngine:1
0x00544060	CDXEngine__Unk_00544060		1
0x005440a0	CDXEngine__Unk_005440a0		1
0x005441a0	CDXEngine__Unk_005441a0		1	CResourceAccumulator:1
0x005441b0	CDXEngine__Unk_005441b0		1
0x005473b0	CDXEngine__Unk_005473b0		2	CStaticShadows:1;CUnitAI:1
0x005475d0	CDXEngine__Unk_005475d0		4	CGame:1;CWorld:1
0x00547860	CDXEngine__Unk_00547860		1
0x00547a60	CDXEngine__Unk_00547a60		1	CDXLandscape:1
0x00548d70	CDXEngine__Unk_00548d70		1
0x00548ec0	CDXEngine__Unk_00548ec0		1
0x00548f90	CDXEngine__Unk_00548f90		1	CLTShell:1
0x005490c0	CDXEngine__Unk_005490c0		1
0x00549290	CDXEngine__Unk_00549290		2	CFrontEnd:1
0x005492b0	CDXEngine__Unk_005492b0		1
0x00549400	CDXEngine__Unk_00549400		2
0x00549570	CDXEngine__Unk_00549570		1	CMeshRenderer:1
0x0054b800	CDXEngine__Unk_0054b800		1	CHudComponent:1
0x0054f6e0	CDXEngine__Unk_0054f6e0		1
0x0054f740	CDXEngine__Unk_0054f740		1
0x0054f760	CDXEngine__Unk_0054f760		1
0x0054f7e0	CDXEngine__Unk_0054f7e0		2	CDXFrontEnd:1
