0x004b8e70 CMessageLog__LoadTextures
0x004b8ef0 CMessageLog__EnqueueMessageNode
0x004b9010 CMessageLog__RenderPanelFrame
0x004b9a80 CMessageLog__RenderMessageCard
0x004b9ea0 CMessageLog__ResetRenderState
0x004d04d0 CPauseMenu__ReloadSharedBlankTexture
0x004d0510 CPauseMenu__LoadPauseTextures
0x004d06e0 CPauseMenu__ResumeGameAndPersistOptions
0x004d0810 CPauseMenu__ButtonPressed
0x004d0de0 CPauseMenu__GetBindingCapacityError
0x004d0ff0 CPauseMenu__InitPauseSession
