address	name	signature	status
0x00453a50	CMenuItem__VFunc_01_00453a50	undefined CMenuItem__VFunc_01_00453a50(void)	OK
0x00453a60	CMenuItem__VFunc_03_00453a60	undefined CMenuItem__VFunc_03_00453a60(void)	OK
0x00453a70	CMenuItem__VFunc_06_00453a70	undefined CMenuItem__VFunc_06_00453a70(void)	OK
0x00453a80	CMenuItem__VFunc_09_00453a80	undefined CMenuItem__VFunc_09_00453a80(void)	OK
0x00453a90	CMenuItem__scalar_deleting_dtor	undefined CMenuItem__scalar_deleting_dtor(void)	OK
0x00405930	CControllerDefinition__VFunc_03_00405930	undefined CControllerDefinition__VFunc_03_00405930(void)	OK
0x004a3140	CMenuItem__Clone	undefined CMenuItem__Clone(void)	OK
0x004a3190	CMenuItem__GetText	undefined CMenuItem__GetText(void)	OK
0x004a3420	CMenuItem__GetTextWidth	undefined CMenuItem__GetTextWidth(void)	OK
