address	cstring
0x00633b64	GunA
0x00633b5c	GunB
0x00633b54	GunC
0x00633b4c	GunD
0x00633b44	GunE
0x00633b3c	GunF
0x00633b34	GunG
0x00633b2c	GunH
0x00633b24	GunI
0x00633c64	SpawnerA
0x00633c58	SpawnerB
0x00633c4c	SpawnerC
0x00633c40	SpawnerD
0x00633c34	SpawnerE
