target_addr	target_name	target_owner	winner_owner	winner_calls	second_calls	total_owner_calls	total_calls_seen	strength	owners
0x00404860	CAtmospheric__Unk_00404860	CAtmospheric	CThing	1	0	1	1	weak	CThing:1
0x00406560	CBattleEngine__Unk_00406560	CBattleEngine	CMonitor	1	0	1	1	weak	CMonitor:1
0x00407940	CGeneralVolume__Unk_00407940	CGeneralVolume	CEngine	1	0	1	2	weak	CEngine:1
0x0040b660	CGeneralVolume__Unk_0040b660	CGeneralVolume	CMonitor	1	0	1	1	weak	CMonitor:1
0x0040c570	CGeneralVolume__Unk_0040c570	CGeneralVolume	IScript	1	0	1	1	weak	IScript:1
0x0040f2f0	CCockpit__Unk_0040f2f0	CCockpit	CBattleEngine	1	0	1	1	weak	CBattleEngine:1
0x00411500	CMonitor__Unk_00411500	CMonitor	OID_Unk_005078f0	1	0	1	1	weak	OID_Unk_005078f0:1
0x00411630	CMonitor__Unk_00411630	CMonitor	OID_Unk_005078f0	1	0	1	1	weak	OID_Unk_005078f0:1
0x00411aa0	CMonitor__Unk_00411aa0	CMonitor	OID_Unk_005078f0	1	0	1	1	weak	OID_Unk_005078f0:1
0x00411b70	CGeneralVolume__Unk_00411b70	CGeneralVolume	CMonitor	1	0	1	1	weak	CMonitor:1
0x004121b0	CGeneralVolume__Unk_004121b0	CGeneralVolume	CExplosionInitThing	1	0	1	1	weak	CExplosionInitThing:1
0x004122b0	CGeneralVolume__Unk_004122b0	CGeneralVolume	CExplosionInitThing	1	0	1	1	weak	CExplosionInitThing:1
0x00412310	CGeneralVolume__Unk_00412310	CGeneralVolume	CExplosionInitThing	1	0	1	1	weak	CExplosionInitThing:1
0x00412370	CGeneralVolume__Unk_00412370	CGeneralVolume	CExplosionInitThing	1	0	1	1	weak	CExplosionInitThing:1
0x00412cf0	CCockpit__Unk_00412cf0	CCockpit	CBattleEngine	1	0	1	1	weak	CBattleEngine:1
0x004135d0	CGeneralVolume__Unk_004135d0	CGeneralVolume	CMonitor	1	0	1	2	weak	CMonitor:1
0x00413b90	CCylinder__Unk_00413b90	CCylinder	CMonitor	1	0	1	1	weak	CMonitor:1
0x00414410	CGeneralVolume__Unk_00414410	CGeneralVolume	CExplosionInitThing	1	0	1	1	weak	CExplosionInitThing:1
0x00414470	CGeneralVolume__Unk_00414470	CGeneralVolume	CExplosionInitThing	1	0	1	1	weak	CExplosionInitThing:1
0x004144c0	CGeneralVolume__Unk_004144c0	CGeneralVolume	CExplosionInitThing	1	0	1	1	weak	CExplosionInitThing:1
0x004144f0	CCockpit__Unk_004144f0	CCockpit	CExplosionInitThing	1	0	1	1	weak	CExplosionInitThing:1
0x00414520	CGeneralVolume__Unk_00414520	CGeneralVolume	CExplosionInitThing	1	0	1	1	weak	CExplosionInitThing:1
0x004145a0	CGeneralVolume__Unk_004145a0	CGeneralVolume	CExplosionInitThing	1	0	1	1	weak	CExplosionInitThing:1
0x00414cb0	CExplosionInitThing__Unk_00414cb0	CExplosionInitThing	CDXEngine	1	0	1	1	weak	CDXEngine:1
0x0042d7a0	CController__Unk_0042d7a0	CController	CLTShell	1	0	1	1	weak	CLTShell:1
0x0043e630	CFlexArray__Unk_0043e630	CFlexArray	CPhysicsScript	1	0	1	1	weak	CPhysicsScript:1
