slot	entry_addr	ptr	ptr_name	ptr_signature
0	005dc650	004a4610	CMenuItemRange__ScalarDestructor	undefined CMenuItemRange__ScalarDestructor(void)
1	005dc654	004a4d20	CMenuItemRange__HandleKeyPress	undefined CMenuItemRange__HandleKeyPress(void)
2	005dc658	004a4cd0	CMenuItemRange__ProcessInput	undefined CMenuItemRange__ProcessInput(void)
3	005dc65c	00453a80	CMenuItem__VFunc_09_00453a80	byte __thiscall CMenuItem__VFunc_09_00453a80(void * this)
4	005dc660	00614ff0	<none>	<none>
5	005dc664	004a4e60	CMenuItemRangeVariant__ScalarDestructor	undefined CMenuItemRangeVariant__ScalarDestructor(void)
6	005dc668	004a4d20	CMenuItemRange__HandleKeyPress	undefined CMenuItemRange__HandleKeyPress(void)
7	005dc66c	004a4cd0	CMenuItemRange__ProcessInput	undefined CMenuItemRange__ProcessInput(void)
8	005dc670	00401480	<none>	<none>
9	005dc674	bf63d70a	<none>	<none>
10	005dc678	47ae147b	<none>	<none>
11	005dc67c	3f847ae1	<none>	<none>
12	005dc680	3eaaaaab	<none>	<none>
13	005dc684	006150a8	<none>	<none>
14	005dc688	004b6d90	COggLoader__VFunc_00_004b6d90	void __fastcall COggLoader__VFunc_00_004b6d90(int param_1)
15	005dc68c	00615008	<none>	<none>
