slot	entry_addr	ptr	ptr_name	ptr_signature
0	005e2eb0	004f36d0	CThing__Unk_004f36d0	void __thiscall CThing__Unk_004f36d0(void * this, int param_1, uint param_2)
1	005e2eb4	004f3710	CThing__Unk_004f3710	void __fastcall CThing__Unk_004f3710(int param_1)
2	005e2eb8	0050e870	<none>	<none>
3	005e2ebc	00403bf0	CThing__Unk_00403bf0	void __thiscall CThing__Unk_00403bf0(void * this, void * param_1, int param_2, int param_3)
4	005e2ec0	004037a0	<none>	<none>
5	005e2ec4	00401510	<none>	<none>
6	005e2ec8	004f4120	CThing__SetName	undefined CThing__SetName(void)
7	005e2ecc	00417610	<none>	<none>
8	005e2ed0	004014a0	<none>	<none>
9	005e2ed4	0050e900	<none>	<none>
10	005e2ed8	004fdc90	<none>	<none>
11	005e2edc	00417620	<none>	<none>
12	005e2ee0	004bfc60	<none>	<none>
13	005e2ee4	00405930	CControllerDefinition__VFunc_03_00405930	int __thiscall CControllerDefinition__VFunc_03_00405930(void * this)
14	005e2ee8	00403690	CUnit__Unk_00403690	int __fastcall CUnit__Unk_00403690(int param_1)
15	005e2eec	00452b60	CFrontEndPage__Process_NoOp	void __stdcall CFrontEndPage__Process_NoOp(void * this, int state)
16	005e2ef0	004f3d30	<none>	<none>
17	005e2ef4	00405e50	<none>	<none>
18	005e2ef8	004fdcb0	CUnit__Unk_004fdcb0	void __thiscall CUnit__Unk_004fdcb0(void * this, int param_1, int param_2)
19	005e2efc	004fdc20	CUnit__Unk_004fdc20	void __fastcall CUnit__Unk_004fdc20(int param_1)
20	005e2f00	00405e30	<none>	<none>
21	005e2f04	00405e40	<none>	<none>
22	005e2f08	004f9220	<none>	<none>
23	005e2f0c	004fdeb0	CUnitAI__Helper_004fdeb0	int __fastcall CUnitAI__Helper_004fdeb0(void * param_1)
24	005e2f10	004f44a0	CThing__AddTrail	undefined CThing__AddTrail(void)
25	005e2f14	00403a90	<none>	<none>
26	005e2f18	004f45e0	CExplosionInitThing__Helper_004f45e0	void __stdcall CExplosionInitThing__Helper_004f45e0(void * param_1)
27	005e2f1c	004fdd60	<none>	<none>
28	005e2f20	00459990	CFrontEndPage__DeActiveNotification	void __cdecl CFrontEndPage__DeActiveNotification(void * this)
29	005e2f24	00405930	CControllerDefinition__VFunc_03_00405930	int __thiscall CControllerDefinition__VFunc_03_00405930(void * this)
30	005e2f28	004162e0	<none>	<none>
31	005e2f2c	00401f70	<none>	<none>
32	005e2f30	004d20a0	CFEPMultiplayerStart__Unk_004d20a0	void __fastcall CFEPMultiplayerStart__Unk_004d20a0(void * param_1)
33	005e2f34	0047bf60	CUnitAI__Unk_0047bf60	void __fastcall CUnitAI__Unk_0047bf60(void * param_1)
34	005e2f38	00402020	CGeneralVolume__Helper_00402020	void __fastcall CGeneralVolume__Helper_00402020(int param_1)
35	005e2f3c	00405db0	VFuncSlot_12_00405db0	void VFuncSlot_12_00405db0(void)
36	005e2f40	00405dc0	<none>	<none>
37	005e2f44	00405dd0	<none>	<none>
38	005e2f48	004fc080	CUnitAI__Helper_004fc080	int __fastcall CUnitAI__Helper_004fc080(void * param_1)
39	005e2f4c	004fc3c0	<none>	<none>
40	005e2f50	00405de0	<none>	<none>
41	005e2f54	004fa4b0	CUnit__Unk_004fa4b0	int CUnit__Unk_004fa4b0(void)
42	005e2f58	004f9a10	<none>	<none>
43	005e2f5c	004175c0	<none>	<none>
44	005e2f60	004175d0	<none>	<none>
45	005e2f64	004175e0	<none>	<none>
46	005e2f68	00405e10	<none>	<none>
47	005e2f6c	00405e20	<none>	<none>
48	005e2f70	004fc000	CUnit__Unk_004fc000	int __fastcall CUnit__Unk_004fc000(int param_1)
49	005e2f74	00417600	<none>	<none>
50	005e2f78	004fbcb0	CUnit__Unk_004fbcb0	int __fastcall CUnit__Unk_004fbcb0(void * param_1)
51	005e2f7c	004fc170	CUnitAI__Helper_004fc170	void __fastcall CUnitAI__Helper_004fc170(int param_1)
52	005e2f80	004fc4e0	CUnit__UpdateTransform	undefined CUnit__UpdateTransform(void)
53	005e2f84	004fd440	<none>	<none>
54	005e2f88	004fd4d0	CCannon__Helper_004fd4d0	void __thiscall CCannon__Helper_004fd4d0(void * this, void * param_1, int param_2)
55	005e2f8c	004bfc60	<none>	<none>
56	005e2f90	004fb270	<none>	<none>
57	005e2f94	00459990	CFrontEndPage__DeActiveNotification	void __cdecl CFrontEndPage__DeActiveNotification(void * this)
58	005e2f98	00405e60	<none>	<none>
59	005e2f9c	004f9260	<none>	<none>
60	005e2fa0	004f9490	CExplosionInitThing__ctor_like_004f9490	void __fastcall CExplosionInitThing__ctor_like_004f9490(int param_1)
61	005e2fa4	004014a0	<none>	<none>
62	005e2fa8	004fda90	<none>	<none>
63	005e2fac	004fdc10	CFrontEndPage__Init_ReturnTrue	int CFrontEndPage__Init_ReturnTrue(void)
