target_addr	target_name	from_addr	from_function_addr	from_function	ref_type
00595079	CDXTexture__Helper_00595079	00592edb	00592eb6	CDXTexture__Helper_00592eb6	UNCONDITIONAL_CALL
00595079	CDXTexture__Helper_00595079	00592f32	00592eb6	CDXTexture__Helper_00592eb6	UNCONDITIONAL_CALL
00595079	CDXTexture__Helper_00595079	005931bb	00593043	CDXTexture__Helper_00593043	UNCONDITIONAL_CALL
00595079	CDXTexture__Helper_00595079	0059cd57	0059cd4b	CTexture__Helper_0059cd4b	UNCONDITIONAL_CALL
00595079	CDXTexture__Helper_00595079	0059cd95	0059cd62	CMeshCollisionVolume__Helper_0059cd62	UNCONDITIONAL_CALL
00595079	CDXTexture__Helper_00595079	0059dead	0059dda2	CDXTexture__ProcessIdatChunkDataAndQueueDecode	UNCONDITIONAL_CALL
005950a2	CDXTexture__Helper_005950a2	0057ba58	0057b9ce	CDXTexture__DecodePngFromMemory	UNCONDITIONAL_CALL
005950a2	CDXTexture__Helper_005950a2	00592eaa	00592dc2	CDXTexture__Helper_00592dc2	UNCONDITIONAL_CALL
005950e0	CDXTexture__Helper_005950e0	0057b9ef	0057b9ce	CDXTexture__DecodePngFromMemory	UNCONDITIONAL_CALL
005950e0	CDXTexture__Helper_005950e0	00592ef0	00592eb6	CDXTexture__Helper_00592eb6	UNCONDITIONAL_CALL
005950e0	CDXTexture__Helper_005950e0	00592f0a	00592eb6	CDXTexture__Helper_00592eb6	UNCONDITIONAL_CALL
0059519a	CDXTexture__Helper_0059519a	0059cd5d	0059cd4b	CTexture__Helper_0059cd4b	UNCONDITIONAL_CALL
005951e9	CDXTexture__Helper_005951e9	0057ba1d	0057b9ce	CDXTexture__DecodePngFromMemory	UNCONDITIONAL_CALL
