slot	entry_addr	ptr	ptr_name	ptr_signature
0	005e1c4c	004ba9d0	CMenuItem__Unk_004ba9d0	int __fastcall CMenuItem__Unk_004ba9d0(void * param_1)
1	005e1c50	00452b60	CFrontEndPage__Process_NoOp	void __stdcall CFrontEndPage__Process_NoOp(void * this, int state)
2	005e1c54	004f3d30	<none>	<none>
3	005e1c58	00405e50	<none>	<none>
4	005e1c5c	004fdcb0	CUnit__Unk_004fdcb0	void __thiscall CUnit__Unk_004fdcb0(void * this, int param_1, int param_2)
5	005e1c60	004fdc20	CUnit__Unk_004fdc20	void __fastcall CUnit__Unk_004fdc20(int param_1)
6	005e1c64	00405e30	<none>	<none>
7	005e1c68	00405e40	<none>	<none>
8	005e1c6c	004f9220	<none>	<none>
9	005e1c70	004fdeb0	CUnit__Unk_004fdeb0	int __fastcall CUnit__Unk_004fdeb0(void * param_1)
10	005e1c74	004f44a0	CThing__AddTrail	undefined CThing__AddTrail(void)
11	005e1c78	004fce00	<none>	<none>
12	005e1c7c	004f45e0	CUnit__Unk_004f45e0	void __stdcall CUnit__Unk_004f45e0(void * param_1)
13	005e1c80	004fdd60	<none>	<none>
14	005e1c84	004fcf00	CUnit__Unk_004fcf00	void __fastcall CUnit__Unk_004fcf00(int param_1)
15	005e1c88	00405930	CControllerDefinition__VFunc_03_00405930	int __thiscall CControllerDefinition__VFunc_03_00405930(void * this)
16	005e1c8c	004ba4d0	<none>	<none>
17	005e1c90	0047c8b0	<none>	<none>
18	005e1c94	00402000	CUnit__Unk_00402000	void __fastcall CUnit__Unk_00402000(int param_1)
19	005e1c98	00402010	CUnit__Unk_00402010	void __fastcall CUnit__Unk_00402010(int param_1)
