address	name	calls	clues	lines
0x00403650	CMeshRenderer__Helper_00403650			18
0x004048f0	CMesh__Helper_004048f0			14
0x00409e60	CGeneralVolume__Helper_00409e60			13
0x0040acc0	CBattleEngine__Helper_0040acc0	CGenericActiveReader__SetReader, CSquadNormal__BuildOrientationMatrixFromEuler, CBattleEngine__ComputeProjectileMetricFromTargetProfile, CPlayer__GetCurrentViewPoint, CPlayer__GetCurrentViewOrientation, Vec3__SetXYZ, Mat34__SetRows, CGeneralVolume__ctor_like_0040b100, CGeneralVolume__ctor_like_004098e0, OID__TraceLineAndSelectBestTargetHit, CDXCompass__GetSubtreeHealthOrFallbackValue, Random__NextLCGAbs, CEventManager__AddEvent_AtTime	CGenericActiveReader__SetReader, CSquadNormal__BuildOrientationMatrixFromEuler, CBattleEngine__ComputeProjectileMetricFromTargetProfile, CPlayer__GetCurrentViewPoint, CPlayer__GetCurrentViewOrientation, Vec3__SetXYZ, Mat34__SetRows, CGeneralVolume__ctor_like_0040b100	125
0x0040c5b0	CRepairPadAI__Helper_0040c5b0			15
0x0040c5e0	CRepairPadAI__Helper_0040c5e0			24
0x0040d320	CMCBuggy__Helper_0040d320			126
0x0041ad10	CMCTentacle__Helper_0041ad10			14
0x004239b0	CWorld__Helper_004239b0			11
0x004404f0	CThing__Helper_004404f0			19
0x00440ad0	CWaterRenderSystem__Helper_00440ad0			59
0x00441730	CLIParams__Helper_00441730			12
0x00441b10	CGame__Helper_00441b10			26
0x00441e20	CDXFrontEndVideo__Helper_00441e20			12
0x00441e30	CDXFrontEndVideo__Helper_00441e30	CONCAT31	CONCAT31	16
0x00441e40	CGame__Helper_00441e40			12
0x00442890	CDestroyableSegment__Helper_00442890			43
0x00445010	CMCBuggy__Helper_00445010			31
0x00449560	CMine__Helper_00449560			21
0x00449ef0	CFrontEnd__Helper_00449ef0	CMCBuggy__Helper_0040d320	CMCBuggy__Helper_0040d320	69
0x0044c440	CFearGrid__Helper_0044c440	CFearGrid__Helper_004daff0, ROUND, CEventManager__AddEvent_AtTime	ROUND, CEventManager__AddEvent_AtTime	169
0x0044d560	CFrontEnd__Helper_0044d560	ROUND	ROUND	78
0x00465c10	CDXBitmapFont__Helper_00465c10	CONCAT11, CONCAT22, CONCAT31	CONCAT11, CONCAT22, CONCAT31	83
0x00465dd0	CFEPVirtualKeyboard__Helper_00465dd0			17
0x00465f00	CVBufTexture__Helper_00465f00	CONCAT31	CONCAT31	15
0x0046baf0	CFEPWingmen__Helper_0046baf0			61
0x004780f0	CWorld__Helper_004780f0			29
0x0047eb80	CStaticShadows__Helper_0047eb80			32
0x0047eff0	CLandscapeTexture__Helper_0047eff0			271
0x004a25c0	CLTShell__Helper_004a25c0	DebugTrace	DebugTrace	34
0x004aa4e0	CRTMesh__Helper_004aa4e0			17
0x004aa500	CRTMesh__Helper_004aa500			79
0x004aa6b0	CDestructableSegmentsController__Helper_004aa6b0			21
0x004aa8a0	CDestroyableSegment__Helper_004aa8a0			25
0x004adf80	CMesh__Helper_004adf80			12
0x004b0cd0	CMesh__Helper_004b0cd0			20
0x004b5e80	CSphere__Helper_004b5e80	Vec3__SetXYZ, Mat34__SetRows, CSquadNormal__TransformVec3ByOrientationMatrix, Vec3__Add, CMCBuggy__Helper_0040d320, CMeshRenderer__RenderMesh	Vec3__SetXYZ, Mat34__SetRows, CSquadNormal__TransformVec3ByOrientationMatrix, Vec3__Add, CMCBuggy__Helper_0040d320, CMeshRenderer__RenderMesh	112
0x004b6cd0	COggLoader__Helper_004b6cd0	COggFileRead__ctor_like_00524600, CWaitingThread__ctor_like_00528bf0	COggFileRead__ctor_like_00524600, CWaitingThread__ctor_like_00528bf0	26
0x004c0370	CParticleDescriptor__Helper_004c0370			47
0x004c0450	CParticleDescriptor__Helper_004c0450			25
0x004c0510	CParticleManager__Helper_004c0510	CParticleManager__Helper_004cdba0		24
0x004c10c0	CPDSimpleSprite__Helper_004c10c0	CPDSimpleSprite__Helper_0055e3ea, ROUND, _rand	ROUND, _rand	153
0x004cb040	CWorldPhysicsManager__Helper_004cb040			13
0x004cd7a0	CWorldPhysicsManager__Helper_004cd7a0			28
0x004cdba0	CParticleManager__Helper_004cdba0			21
