address	name	signature	status
0x00415a50	CUnitAI__CanCompleteDeployUndeployTransition	int __fastcall CUnitAI__CanCompleteDeployUndeployTransition(void * param_1)	OK
0x00424ca0	CUnitAI__UpdateDeployTrackingTransformTowardTarget	void __fastcall CUnitAI__UpdateDeployTrackingTransformTowardTarget(int param_1)	OK
0x004250f0	CUnitAI__DecayDeployTrackingTransformToNeutral	void __fastcall CUnitAI__DecayDeployTrackingTransformToNeutral(int param_1)	OK
0x00430b30	CUnitAI__ComputeRecursiveNodeSize_NodeTreeA	int __fastcall CUnitAI__ComputeRecursiveNodeSize_NodeTreeA(int param_1)	OK
0x00431470	CUnitAI__ComputeRecursiveNodeSize_NodeTreeB	int __fastcall CUnitAI__ComputeRecursiveNodeSize_NodeTreeB(int param_1)	OK
