target_addr	target_name	unique_caller_names	unique_caller_count	call_count
0x00472570	CGame__Unk_00472570	CMesh__Deserialize	1	1
0x004725f0	CGame__Unk_004725f0	CExplosionInitThing__Helper_00485d50	1	1
0x00472650	CGame__Unk_00472650	CWorldMeshList__Add	1	1
0x004661e0	CFrontEnd__Unk_004661e0	Unwind@005d26af; Unwind@005d270f; Unwind@005d788f	3	3
0x004661f0	CFrontEnd__Unk_004661f0	Unwind@005d26c8	1	1
0x0044a0d0	CEngine__Unk_0044a0d0	CDXEngine__Render; CExplosionInitThing__Unk_004879e0	2	2
0x004815c0	CHud__Unk_004815c0	CGame__InitRestartLoop	1	1
0x00481af0	CHud__Unk_00481af0	CGame__PostLoadProcess	1	1
0x00481b00	CHud__Unk_00481b00	<no_function>	1	1
0x0047a8b0	CGillMHead__Unk_0047a8b0	<no_function>	1	1
0x0047a900	CGillMHead__Unk_0047a900	<no_function>	1	1
