address	name	signature	status
0x00598a56	CFastVB__InitNodeType9	void __fastcall CFastVB__InitNodeType9(void * param_1)	OK
0x00598f82	CFastVB__NodeType9_scalar_deleting_dtor	int __thiscall CFastVB__NodeType9_scalar_deleting_dtor(void * this, void * param_1, int param_2)	OK
0x00598b48	CFastVB__InitNodeType10	void __fastcall CFastVB__InitNodeType10(void * param_1)	OK
0x00598b81	CFastVB__NodeType10_dtor	void __fastcall CFastVB__NodeType10_dtor(void * param_1)	OK
0x00598fa4	CFastVB__NodeType10_scalar_deleting_dtor	void * __thiscall CFastVB__NodeType10_scalar_deleting_dtor(void * this, void * param_1, int param_2)	OK
