address	expected_name	actual_name	status
0x00465f00	CVBufTexture__Helper_00465f00	CVBufTexture__Helper_00465f00	ok
0x00569814	CDXTexture__Helper_00569814	CDXTexture__Helper_00569814	ok
0x0056982f	CDXTexture__Helper_0056982f	CDXTexture__Helper_0056982f	ok
0x00575d51	CFastVB__Helper_00575d51	CFastVB__Helper_00575d51	ok
0x00575d75	CFastVB__Helper_00575d75	CFastVB__Helper_00575d75	ok
0x00599ffd	CFastVB__Helper_00599ffd	CFastVB__Helper_00599ffd	ok
0x0059d47a	CDXTexture__Helper_0059d47a	CDXTexture__Helper_0059d47a	ok
0x0059d614	CDXTexture__Helper_0059d614	CDXTexture__Helper_0059d614	ok
0x005a4d98	CFastVB__Helper_005a4d98	CFastVB__Helper_005a4d98	ok
0x005b3ec0	CDXTexture__Helper_005b3ec0	CDXTexture__Helper_005b3ec0	ok
