address	name	xref_count	owners	top_counts	unambiguous_non_cdxtexture
0x0055d6a0	CDXTexture__Unk_0055d6a0	1	CDXTexture	CDXTexture:1	false
0x0055d6db	CDXTexture__Unk_0055d6db	1	CDXTexture	CDXTexture:1	false
0x0055d6e2	CDXTexture__Unk_0055d6e2	2	CDXTexture,CTexture	CDXTexture:1;CTexture:1	false
0x0055d767	CDXTexture__Unk_0055d767	1	CDXTexture	CDXTexture:1	false
0x0055d7bb	CDXTexture__Unk_0055d7bb	1	CDXTexture	CDXTexture:1	false
0x0055da5e	CDXTexture__Unk_0055da5e	3	_longjmp	_longjmp:1	false
0x0055da76	CDXTexture__Unk_0055da76	2	CDXTexture	CDXTexture:1	false
0x0055da8d	CDXTexture__Unk_0055da8d	1	CDXTexture	CDXTexture:1	false
0x0055dc8a	CDXTexture__Unk_0055dc8a	1	eh_vector_constructor_iterator	eh_vector_constructor_iterator:1	false
0x0055dcb0	CDXTexture__Unk_0055dcb0	41	CAtmospheric,CBattleEngine,CEngine,CExplosionInitThing,CGame,CMonitor,CPanCamera,CSpawnerThng,CUnitAI,CWorld,OID	OID:9;CEngine:4;CExplosionInitThing:4;CBattleEngine:3;CMonitor:3;CAtmospheric:1;CGame:1;CPanCamera:1	false
0x0055dccd	CDXTexture__Unk_0055dccd	1	CDXTexture	CDXTexture:1	false
0x0055dd7b	CDXTexture__Unk_0055dd7b	1	entry	entry:1	false
0x0055dda8	CDXTexture__Unk_0055dda8	2	CFastVB,entry	CFastVB:1;entry:1	false
0x0055ddca	CDXTexture__Unk_0055ddca	2	CDXTexture	CDXTexture:1	false
0x0055de81	CDXTexture__Unk_0055de81	4	CDXTexture	CDXTexture:4	false
0x0055df28	CDXTexture__Unk_0055df28	1	CDXTexture	CDXTexture:1	false
0x0055dfa6	CDXTexture__Unk_0055dfa6	87	CDXFrontEndVideo,CLTShell	CDXFrontEndVideo:1;CLTShell:1	false
0x0055e3ea	CDXTexture__Unk_0055e3ea	44	CConsole,CControllerDefinition,CEngine,CFEPMain,CFEPVirtualKeyboard,CFrontEnd,CMenuItem,CMenuItemDropdown,CMenuItemSlider,CPDSimpleSprite,CUnitAI,CVBufTexture,ControlsUI,FrontendUpdate_CheatChecks	CPDSimpleSprite:11;CEngine:5;CControllerDefinition:2;CFEPMain:2;CVBufTexture:2;CConsole:1;CFEPVirtualKeyboard:1;CFrontEnd:1	false
0x0055e412	CDXTexture__Unk_0055e412	1	FatalError	FatalError:1	false
0x0055e42a	CDXTexture__Unk_0055e42a	1			false
0x0055e598	CDXTexture__Unk_0055e598	2	ControlsUI	ControlsUI:1	true
0x0055e624	CDXTexture__Unk_0055e624	44	CFEPOptions,CFEPSaveGame,CFEPVirtualKeyboard,CMenuItem,ControlsUI	ControlsUI:22;CFEPSaveGame:4;CMenuItem:3;CFEPOptions:2;CFEPVirtualKeyboard:2	false
0x0055e6e2	CDXTexture__Unk_0055e6e2	1	CFastVB	CFastVB:1	true
