0x0056c70a CRT__InitLocaleDefaults
0x0056c724 CRT__ResolveLocaleCodePageToken
0x0056c78a CRT__IsCodePageSupportedByLocaleMap
0x0056c80b CRT__IsWindowsNtPlatform
0x0056c841 CRT__GetLocaleInfoACompatFallback
0x0056c981 CRT__StrToLong
0x0056d176 CRT__IsFiniteDoubleWords
0x0056d18a CRT__ClassifyDoubleWords
0x0056e0ec CRT__UIntToAsciiBase
0x0056e148 CRT__UIntToAsciiBase_ReturnBuffer
